quest_id,win_pt,time_pt_rate,bonus_pos_1,bonus_param_1,bonus_pos_2,bonus_param_2,threshold_pt_1,threshold_pt_2
"100111","5000","50","0","0","0","0","20000","30000"
"100112","5000","50","0","0","0","0","20000","30000"
"100113","5000","50","0","0","0","0","20000","30000"
"100121","12500","125","0","0","0","0","30000","45000"
"100122","12500","125","0","0","0","0","30000","45000"
"100123","12500","125","0","0","0","0","30000","45000"
"100131","20000","200","0","0","0","0","40000","60000"
"100132","20000","200","0","0","0","0","40000","60000"
"100133","20000","200","0","0","0","0","40000","60000"
"100211","5000","50","0","0","0","0","20000","30000"
"100212","5000","50","0","0","0","0","20000","30000"
"100213","5000","50","0","0","0","0","20000","30000"
"100221","12500","125","0","0","0","0","30000","45000"
"100222","12500","125","0","0","0","0","30000","45000"
"100223","12500","125","0","0","0","0","30000","45000"
"100231","20000","200","0","0","0","0","40000","60000"
"100232","20000","200","0","0","0","0","40000","60000"
"100233","20000","200","0","0","0","0","40000","60000"
