df7d7a2485ff845c6df6e367d2230cc8de7e9953b810020e24d6611c4f45c4e2,cf5c76f7d6e9fb50955acb773372b624e5026deea60d170e4ff92af2fe056258,f0f697e7dddb30ad25002247ca0da81c755735ba12c773f00e22c6795a955af9,0c057f5c79f61fcad18010f7a1e1fae257d56e8361dd71937cfeec7a89e77546,004674cdaa989d9f2bfa36cf5417fb493808b4f7a8e0cdc32c098597920e5018,a4c8fff057c6b9f04d422ef7862e172455f23e06de290c46f594e740110e37fe,fc6297eae96d240aa29fed4382b5d333503be45e69ba824c8221f4d87258ab3b,0f83824c4ab9127a29738b0236624f73ceb5fd0fea1ce065169536db6bbd5258,98ec413d84cf003df0cf0d67b3fe4be2a9ac4256364458f31ec8628991070c50,ec86561a621c6a6ad133955eedd1cb54a06309785955d8016493c149f2ac9e7d,2b1fc8a2195bc8f1a43b086ccb1b4454345f0249d647ccfedff51c4e13ce5076,825be6cea8be12af2a33aeb73164fffcd5da385e4fa334455c5b6aec3caaa4c7,00494cba432756b27a8ad04c84c60e8d92d924b159a5c5d94f3fc8e940d49fa9,e1bd47ddd31311897738c07e6e49c351c31c083b5b0f55fdac71d54b9547c5a5,641981794d8d0183a7103635ba9cca0435694693880f56e25eaa011511ff0572,3946bc3848925277c4ee0cda1ed9d8c6436a4fdedcd9003270465958e1d0f8c1,00eeec2efd6c7f5749a8578e954fb2502712c0557499ea1ee3e00e15d207ddd8,596a7ef2b02278445ecd0752db8a4ee44b3883e6c8bf9e74722a9d714220f973,50d3cdc891acf3d10b93e7ca71057f72bb036658c4a9282364a3af927a6a009d
"-60","","3","289","1","1","0","610132007","0","610132501","3","10132","0","12","5","0","5.5","1","0"
"-60","","0","289","2","1","0","610132008","0","610132502","1","10132","0","0","5","0","1.5","1","70"
"-60","","0","289","3","1","0","610132009","0","0","1","10132","0","0","5","0","1.5","1","0"
"-50","","3","292","1","1.85","0","610134007","0","0","1","10134","0","0","5","0","5.5","1","55"
"-50","","0","292","2","1.85","0","610134008","0","610134502","3","10134","0","30","5","0","1.5","1","0"
"-50","","0","292","3","1.85","0","610134009","0","0","1","10134","0","0","5","0","1.5","1","0"
"0","","3","295","1","1.1","0","610136007","600","610136501","2","10136","0","0","5","0","5.5","1","0"
"-50","","0","295","2","1.5","0","610136008","0","0","1","10136","0","0","5","0","1.5","1","84"
"-50","","0","295","3","1.5","0","610136009","0","0","1","10136","0","0","5","0","1.5","1","0"
"0","","0","295","1","0.85","0","610137007","0","0","1","10137","0","0","5","0","5.5","1","75"
"0","","0","295","2","0.85","0","610137008","0","0","1","10137","0","0","5","0","1.5","1","50"
"0","","0","295","3","0.85","0","610137009","0","0","1","10137","0","0","5","0","1.5","1","0"
"0","","3","298","1","1.4","0","610140007","0","0","1","10140","0","0","5","0","5.5","1","77"
"0","","0","298","2","1.4","0","610140008","0","0","1","10140","0","0","5","0","1.5","1","52"
"0","","0","298","3","1.4","0","610140009","0","0","1","10140","0","0","5","0","1.5","1","0"
"-33","","3","301","1","1.45","0","610142007","0","0","1","10142","0","0","5","0","5.5","1","76"
"-40","","3","301","2","1.23","0","610142008","600","610142502","2","10142","0","0","5","0","1.5","1","0"
"-33","","0","301","3","1.45","0","610142009","0","0","1","10142","0","0","5","0","1.5","1","0"
"-33","","3","304","1","1","0","610144007","0","0","1","10144","0","0","5","0","5.5","1","65"
"-40","","3","304","2","0.85","0","610144008","600","610144502","2","10144","0","0","5","0","1.5","1","0"
"-33","","0","304","3","1","0","610144009","0","0","1","10144","0","0","5","0","1.5","1","0"
"-45","","3","307","1","0.87","0","610146007","600","610146501","2","10146","0","0","5","0","5.5","1","0"
"-45","","0","307","2","1.18","0","610146008","0","0","1","10146","0","0","5","0","1.5","1","58"
"-45","","0","307","3","1.18","0","610146009","0","0","1","10146","0","0","5","0","1.5","1","0"
"-50","","3","310","1","1.4","0","610148007","600","610148501","2","10148","0","0","5","0","5.5","1","0"
"-50","","0","310","2","1.7","0","610148008","0","0","1","10148","0","0","5","0","1.5","1","68"
"-50","","0","310","3","1.7","0","610148009","0","0","1","10148","0","0","5","0","1.5","1","0"
"-33","","3","313","1","1.35","0","610150007","0","0","1","10150","0","0","5","0","5.5","1","71"
"-33","","3","313","2","1.35","0","610150008","0","0","1","10150","0","0","5","0","1.5","1","50"
"-33","","0","313","3","1.35","0","610150009","0","0","1","10150","0","0","5","0","1.5","1","0"
