a17772346ba0b3247a8ee7a3ee0d3ed9c1dbc58f5f25008786a847648a8dd744,20705f7d38bd6a4c9ca0685fcb453cfc6d69eda1cb399ccc574f95e133ee6995,f740c168691615bd2b32acc1c86a485e66ba11c83789295cdb358704068b9271,81c7484b97660887ca7b0888da2ea47f2abc4f6719b3e25eb675e489c0f8d71c,772ac75273c0282adc9b2f11203856a30267a1f4e4f16444c278b37856e6a858
"94002","100101","5000000","12","1"
"90008","100102","2000","2","2"
"25001","100103","20","2","3"
"90008","100104","2500","2","4"
"25001","100105","30","2","5"
"91002","100106","300","8","6"
"41000","100107","1","2","7"
"94002","100108","5000000","12","8"
"94002","100109","1000000","12","9"
"94002","100110","1000000","12","10"
"94002","100111","1000000","12","11"
"20004","100112","400","2","12"
"20004","100113","300","2","13"
"20004","100114","200","2","14"
"94002","100115","1000000","12","15"
"94002","100116","1000000","12","16"
"94002","100117","1000000","12","17"
"20004","100118","400","2","18"
"20004","100119","300","2","19"
"20004","100120","200","2","20"
"94002","100121","1000000","12","21"
"94002","100122","1000000","12","22"
"94002","100123","1000000","12","23"
"20004","100124","400","2","24"
"20004","100125","300","2","25"
"20004","100126","200","2","26"
"94002","100201","5000000","12","27"
"90008","100202","2000","2","28"
"25001","100203","20","2","29"
"90008","100204","2500","2","30"
"25001","100205","30","2","31"
"91002","100206","300","8","32"
"41000","100207","1","2","33"
"94002","100208","5000000","12","34"
"94002","100209","1000000","12","35"
"94002","100210","1000000","12","36"
"94002","100211","1000000","12","37"
"20004","100212","400","2","38"
"20004","100213","300","2","39"
"20004","100214","200","2","40"
"94002","100215","1000000","12","41"
"94002","100216","1000000","12","42"
"94002","100217","1000000","12","43"
"20004","100218","400","2","44"
"20004","100219","300","2","45"
"20004","100220","200","2","46"
"94002","100221","1000000","12","47"
"94002","100222","1000000","12","48"
"94002","100223","1000000","12","49"
"20004","100224","400","2","50"
"20004","100225","300","2","51"
"20004","100226","200","2","52"
"94002","100301","5000000","12","53"
"90008","100302","2000","2","54"
"25001","100303","20","2","55"
"90008","100304","2500","2","56"
"25001","100305","30","2","57"
"91002","100306","300","8","58"
"41000","100307","1","2","59"
"94002","100308","5000000","12","60"
"94002","100309","1000000","12","61"
"94002","100310","1000000","12","62"
"94002","100311","1000000","12","63"
"20004","100312","400","2","64"
"20004","100313","300","2","65"
"20004","100314","200","2","66"
"94002","100315","1000000","12","67"
"94002","100316","1000000","12","68"
"94002","100317","1000000","12","69"
"20004","100318","400","2","70"
"20004","100319","300","2","71"
"20004","100320","200","2","72"
"94002","100321","1000000","12","73"
"94002","100322","1000000","12","74"
"94002","100323","1000000","12","75"
"20004","100324","400","2","76"
"20004","100325","300","2","77"
"20004","100326","200","2","78"
"94002","100401","5000000","12","79"
"90008","100402","2000","2","80"
"25001","100403","20","2","81"
"90008","100404","2500","2","82"
"25001","100405","30","2","83"
"91002","100406","300","8","84"
"41000","100407","1","2","85"
"94002","100408","5000000","12","86"
"94002","100409","1000000","12","87"
"94002","100410","1000000","12","88"
"94002","100411","1000000","12","89"
"20004","100412","400","2","90"
"20004","100413","300","2","91"
"20004","100414","200","2","92"
"94002","100415","1000000","12","93"
"94002","100416","1000000","12","94"
"94002","100417","1000000","12","95"
"20004","100418","400","2","96"
"20004","100419","300","2","97"
"20004","100420","200","2","98"
"94002","100421","1000000","12","99"
"94002","100422","1000000","12","100"
"94002","100423","1000000","12","101"
"20004","100424","400","2","102"
"20004","100425","300","2","103"
"20004","100426","200","2","104"
"94002","100501","5000000","12","105"
"90008","100502","2000","2","106"
"25001","100503","20","2","107"
"90008","100504","2500","2","108"
"25001","100505","30","2","109"
"91002","100506","300","8","110"
"41000","100507","1","2","111"
"94002","100508","5000000","12","112"
"94002","100509","1000000","12","113"
"94002","100510","1000000","12","114"
"94002","100511","1000000","12","115"
"20004","100512","400","2","116"
"20004","100513","300","2","117"
"20004","100514","200","2","118"
"94002","100515","1000000","12","119"
"94002","100516","1000000","12","120"
"94002","100517","1000000","12","121"
"20004","100518","400","2","122"
"20004","100519","300","2","123"
"20004","100520","200","2","124"
"94002","100521","1000000","12","125"
"94002","100522","1000000","12","126"
"94002","100523","1000000","12","127"
"20004","100524","400","2","128"
"20004","100525","300","2","129"
"20004","100526","200","2","130"
"94002","100601","5000000","12","131"
"90008","100602","2000","2","132"
"25001","100603","20","2","133"
"90008","100604","2500","2","134"
"25001","100605","30","2","135"
"91002","100606","300","8","136"
"41000","100607","1","2","137"
"94002","100608","5000000","12","138"
"94002","100609","1000000","12","139"
"94002","100610","1000000","12","140"
"94002","100611","1000000","12","141"
"20004","100612","400","2","142"
"20004","100613","300","2","143"
"20004","100614","200","2","144"
"94002","100615","1000000","12","145"
"94002","100616","1000000","12","146"
"94002","100617","1000000","12","147"
"20004","100618","400","2","148"
"20004","100619","300","2","149"
"20004","100620","200","2","150"
"94002","100621","1000000","12","151"
"94002","100622","1000000","12","152"
"94002","100623","1000000","12","153"
"20004","100624","400","2","154"
"20004","100625","300","2","155"
"20004","100626","200","2","156"
"94002","100701","5000000","12","157"
"90008","100702","2000","2","158"
"25001","100703","20","2","159"
"90008","100704","2500","2","160"
"25001","100705","30","2","161"
"91002","100706","300","8","162"
"41000","100707","1","2","163"
"94002","100708","5000000","12","164"
"94002","100709","1000000","12","165"
"94002","100710","1000000","12","166"
"94002","100711","1000000","12","167"
"20004","100712","400","2","168"
"20004","100713","300","2","169"
"20004","100714","200","2","170"
"94002","100715","1000000","12","171"
"94002","100716","1000000","12","172"
"94002","100717","1000000","12","173"
"20004","100718","400","2","174"
"20004","100719","300","2","175"
"20004","100720","200","2","176"
"94002","100721","1000000","12","177"
"94002","100722","1000000","12","178"
"94002","100723","1000000","12","179"
"20004","100724","400","2","180"
"20004","100725","300","2","181"
"20004","100726","200","2","182"
"94002","100801","5000000","12","183"
"90008","100802","2000","2","184"
"25001","100803","20","2","185"
"90008","100804","2500","2","186"
"25001","100805","30","2","187"
"91002","100806","300","8","188"
"41000","100807","1","2","189"
"94002","100808","5000000","12","190"
"94002","100809","1000000","12","191"
"94002","100810","1000000","12","192"
"94002","100811","1000000","12","193"
"20004","100812","400","2","194"
"20004","100813","300","2","195"
"20004","100814","200","2","196"
"94002","100815","1000000","12","197"
"94002","100816","1000000","12","198"
"94002","100817","1000000","12","199"
"20004","100818","400","2","200"
"20004","100819","300","2","201"
"20004","100820","200","2","202"
"94002","100821","1000000","12","203"
"94002","100822","1000000","12","204"
"94002","100823","1000000","12","205"
"20004","100824","400","2","206"
"20004","100825","300","2","207"
"20004","100826","200","2","208"
"94002","100901","5000000","12","209"
"90008","100902","2000","2","210"
"25001","100903","20","2","211"
"90008","100904","2500","2","212"
"25001","100905","30","2","213"
"91002","100906","300","8","214"
"41000","100907","1","2","215"
"94002","100908","5000000","12","216"
"94002","100909","1000000","12","217"
"94002","100910","1000000","12","218"
"94002","100911","1000000","12","219"
"20004","100912","400","2","220"
"20004","100913","300","2","221"
"20004","100914","200","2","222"
"94002","100915","1000000","12","223"
"94002","100916","1000000","12","224"
"94002","100917","1000000","12","225"
"20004","100918","400","2","226"
"20004","100919","300","2","227"
"20004","100920","200","2","228"
"94002","100921","1000000","12","229"
"94002","100922","1000000","12","230"
"94002","100923","1000000","12","231"
"20004","100924","400","2","232"
"20004","100925","300","2","233"
"20004","100926","200","2","234"
