0f5eb88ce53948e7473e706fe34483d25822b93720d699226362011c3a96b368,5cbaee14744980eeb3ca0bf6a872a1b25e827c85a350dca3cf3f751b74e81ccb,1ce67ec214b163d1ecc4bc37ebd90dcc7592d7ceba0403851ceaf8f33a0dc3ed,6923bd3ce51bfbefafc20ea0d297e83a9c7132f1d03a1f074ab3ce60ee434e05,e4abd7846b12abc8b4afbe1d08d116957d29f9bc60d1097feaa79f362c9f49d4,f08277add9277bd1a41e2d431aa42e5b968fa81a58416ffd14cc7d2ead0dc56c,798b9536f9606c920da9e9faa2d0be33ae9518a9d5396861807230892612e4bd,b9a0755a9be65fee90882bb2ee6d833792ecc9e683a40b5d93d3cebe2c8f7821,7302b9601e31303f7106b87d1f0e18bbdb3a98a4c44353cdc46dccab2e912aaa
"100101","2","2","6","1","1","2","3","3"
"100201","1","1","5","2","3","1","2","3"
"100301","1","3","7","3","1","2","3","2"
"100401","2","2","13","3","1","2","3","2"
"100501","2","2","18","2","2","3","1","3"
"100601","1","2","25","2","1","3","2","3"
"100701","2","3","26","2","3","1","2","3"
"100801","2","3","40","3","3","1","1","2"
"100901","1","3","34","2","1","3","3","2"
"101001","1","1","8","2","3","1","2","3"
"101101","3","2","56","2","2","1","2","3"
"101201","3","2","43","2","1","2","3","1"
"101301","1","2","33","3","1","3","1","3"
"101401","1","1","11","2","3","2","1","2"
"101501","1","1","42","3","3","1","2","2"
"101601","3","2","46","3","2","1","1","3"
"101701","3","2","10","2","1","2","1","3"
"101801","1","1","45","3","3","2","1","2"
"102001","2","1","12","1","2","2","3","3"
"102101","1","1","30","3","1","2","2","3"
"102201","3","1","24","3","1","2","2","1"
"102301","2","2","31","1","1","3","3","3"
"102501","3","1","29","2","3","1","1","2"
"102601","2","1","51","1","3","1","2","3"
"102701","2","3","36","3","2","1","3","1"
"102801","2","1","28","3","2","1","1","2"
"102901","2","1","52","2","2","1","2","3"
"103001","1","2","39","3","2","2","1","3"
"103101","2","3","27","1","3","1","3","2"
"103201","2","2","19","2","3","1","3","1"
"103301","1","2","48","1","2","2","3","3"
"103401","2","1","20","2","2","3","2","1"
"103601","2","3","14","2","3","3","1","1"
"103701","2","3","17","3","1","3","1","2"
"103801","1","3","49","1","3","3","2","2"
"104001","3","1","44","1","2","3","2","1"
"104201","2","3","53","2","3","2","1","2"
"104301","3","3","9","2","1","1","3","2"
"104401","1","3","23","1","3","2","3","2"
"104501","1","1","38","2","2","3","2","2"
"104601","3","2","21","1","3","1","2","2"
"104701","3","3","15","2","1","3","1","2"
"104801","3","3","22","3","1","2","2","1"
"104901","2","1","55","2","2","1","3","2"
"105001","3","1","47","2","2","2","1","3"
"105101","3","3","35","1","3","2","1","1"
"105201","2","2","50","2","2","1","2","3"
"105301","2","3","37","3","1","1","3","2"
"105401","3","2","54","1","2","1","2","3"
"105501","1","1","41","1","2","3","3","2"
"105601","3","3","32","2","1","1","2","3"
"105701","2","1","67","2","1","2","2","3"
"105801","2","2","1","2","2","1","2","3"
"105901","1","1","2","2","3","2","2","2"
"106001","3","3","3","1","2","3","1","2"
"106101","2","2","58","2","1","2","3","3"
"106301","2","1","68","1","1","2","3","3"
"106401","2","1","4","2","1","3","2","3"
"106501","2","3","61","2","1","3","1","3"
"106601","2","2","62","1","3","3","1","3"
"106701","1","3","60","2","2","2","1","2"
"106801","2","1","57","2","1","3","1","1"
"107001","1","3","59","1","3","2","2","1"
"107101","2","3","16","3","1","2","2","1"
"109201","1","1","70","2","2","2","2","2"
"109301","3","2","72","2","2","1","2","3"
"109401","3","3","71","3","1","2","1","2"
"110801","3","1","64","2","1","2","2","2"
"110901","2","2","65","3","2","1","1","2"
"111001","1","3","63","1","3","2","1","3"
"111401","3","2","69","1","2","3","2","2"
"118001","3","2","66","2","3","2","1","1"
