ec37a59c7f1edfaa2b7ac293cc68365508fc031e19d5b4ad269efd785374a786,4069f431d4b16d53f6299d2ef4dac6268b27840d3c52cb7ce8e198f7afb5687c,c8ad824f1394acaeb4efcb71651cdd1920c4f3e6aaca3feb6f853c35970c51a9,bdd586681a95fc63fd7e12f0a86819488d96b3baa78d4823b38fd82ce8f2e3a5,95c78a95a77bc26a7a9ce72a8837a100a2339944dfea86a6c4f133e3ce3f9075,2bda15301ffadccdf3aaea0ae1c223c7a5c974358ca56730f21aa3de5845f53e,001da506256735615868c4d624e2f798abc6873a91ffec0aff02a67000968361,95012503e026b9f34534ac5d310e07c4f33b4c70d5e3ee78080467d1829865e1,229cb6c2237323d755a86daaf915f877d5f09f8ab63c0b08f8cadb7d26ad310d,1174f161f7d006d2fb1858b662785d5c0c247ac46db456b6da83d29e4c9e74c1
"1","","1","1010001","vo_10011600_0101","0","vo_10011600","2","0","0"
"2","　明日から","1","1010002","0","0","0","1","0","8"
"3","","1","1010003","0","1.625","0","4","1","0"
"4","聖テレサ女学院に通うことになっちゃった！","1","1010004","0","0","0","1","0","10"
"5","","1","1010005","0","4","0","4","1","0"
"6","","1","1010006","vo_10011600_0102","0","vo_10011600","2","0","0"
"7","　なんで、","1","1010007","0","0","0","1","0","8"
"8","","1","1010008","0","1.375","0","4","1","0"
"9","どうしてこんなことになっちゃったんだろう。\n","1","1010009","0","0","0","1","0","9"
"10","","1","1010010","0","3.33333333333333","0","4","1","0"
"11","","1","1010011","vo_10011600_0103","0","vo_10011600","2","0","0"
"12","ミサト先生は","1","1010012","0","0","0","1","0","8"
"13","","1","1010013","0","1.75","0","4","1","0"
"14","私ならきっとやれると言ってくれたけど……","1","1010014","0","0","0","1","0","10"
"15","","1","1010015","0","3","0","4","1","0"
"16","絶対ムリだー！\n","1","1010016","0","0","0","1","0","8"
"17","","1","1010017","0","3.875","0","4","1","0"
"18","","1","1010018","vo_10011600_0104","0","vo_10011600","2","0","0"
"19","でも。","1","1010019","0","0","0","1","0","8"
"20","","1","1010020","0","2.375","0","4","1","0"
"21","でも……","1","1010021","0","0","0","1","0","8"
"22","","1","1010022","0","2.5","0","4","1","0"
"23","","1","1010023","vo_10011600_0105","0","vo_10011600","2","0","0"
"24","でも、","1","1010024","0","0","0","1","0","8"
"25","","1","1010025","0","1.375","0","4","1","0"
"26","もしも、","1","1010026","0","0","0","1","0","8"
"27","","1","1010027","0","1.5","0","4","1","0"
"28","私が聖テレサ女学院で頑張ることが出来たら。\n\n","1","1010028","0","0","0","1","0","8"
"29","","1","1010029","0","4.875","0","4","1","0"
"30","","1","1010030","vo_10011600_0106","0","vo_10011600","2","0","0"
"31","……友達、","1","1010031","0","0","0","1","0","6"
"32","","1","1010032","0","1.58333333333333","0","4","1","0"
"33","できるかな？","1","1010033","0","0","0","1","0","8"
"34","","1","1010034","0","1.75","0","4","1","0"
"1","","2","1020001","vo_10011600_0201","0","vo_10011600","2","0","0"
"2","　ごきげんようという挨拶で","2","1020002","0","0","0","1","0","8"
"3","","2","1020003","0","2.375","0","4","1","0"
"4","私のぼっち心は最初から爆発寸前。\n","2","1020004","0","0","0","1","0","8"
"5","","2","1020005","0","4","0","4","1","0"
"6","","2","1020006","vo_10011600_0202","0","vo_10011600","2","0","0"
"7","ところが、","2","1020007","0","0","0","1","0","8"
"8","","2","1020008","0","1.125","0","4","1","0"
"9","なんとそこにBB団の団長さんが登場！","2","1020009","0","0","0","1","0","8"
"10","","2","1020010","0","3.75","0","4","1","0"
"11","","2","1020011","vo_10011600_0203","0","vo_10011600","2","0","0"
"12","　BB団の絆は","2","1020012","0","0","0","1","0","8"
"13","","2","1020013","0","1.875","0","4","1","0"
"14","どんな場所だろうと離れることはないんですね！\n","2","1020014","0","0","0","1","0","8"
"15","","2","1020015","0","3.75","0","4","1","0"
"16","","2","1020016","vo_10011600_0204","0","vo_10011600","2","0","0"
"17","そして、","2","1020017","0","0","0","1","0","8"
"18","","2","1020018","0","1","0","4","1","0"
"19","あの人と一緒にやってきた","2","1020019","0","0","0","1","0","8"
"20","","2","1020020","0","2","0","4","1","0"
"21","聖テレサ女学院","2","1020021","0","0","0","1","0","8"
"22","","2","1020022","0","1.125","0","4","1","0"
"23","（なかよし部）のみなさんとお知り合いに。","2","1020023","0","0","0","1","0","8"
"24","","2","1020024","0","3.5","0","4","1","0"
"25","","2","1020025","vo_10011600_0205","0","vo_10011600","2","0","0"
"26","　なんだかとても個性的な方々で、","2","1020026","0","0","0","1","0","8"
"27","","2","1020027","0","3","0","4","1","0"
"28","仲良くなれるか心配……","2","1020028","0","0","0","1","0","6"
"29","","2","1020029","0","2.83333333333333","0","4","1","0"
"1","","3","1030001","vo_10011600_0301","0","vo_10011600","2","0","0"
"2","　やっちゃった。","3","1030002","0","0","0","1","0","8"
"3","","3","1030003","0","3","0","4","1","0"
"4","","3","1030004","vo_10011600_0302","0","vo_10011600","2","0","0"
"5","　自己紹介というぼっちの前に立ちふさがる巨大な壁。","3","1030005","0","0","0","1","0","8"
"6","","3","1030006","0","5.125","0","4","1","0"
"7","","3","1030007","vo_10011600_0303","0","vo_10011600","2","0","0"
"8","　何度もイメージトレーニングしたのに、","3","1030008","0","0","0","1","0","8"
"9","","3","1030009","0","2.625","0","4","1","0"
"10","ものの見事に玉砕しちゃった。","3","1030010","0","0","0","1","0","8"
"11","","3","1030011","0","2.75","0","4","1","0"
"12","","3","1030012","vo_10011600_0304","0","vo_10011600","2","0","0"
"13","　クラスメイトのみんなの目がこっちを向いた瞬間、","3","1030013","0","0","0","1","0","8"
"14","","3","1030014","0","3.5","0","4","1","0"
"15","頭の中は真っ白、","3","1030015","0","0","0","1","0","8"
"16","","3","1030016","0","2","0","4","1","0"
"17","また訳の分からないことを口にしちゃった。\n","3","1030017","0","0","0","1","0","10"
"18","","3","1030018","0","4.5","0","4","1","0"
"19","","3","1030019","vo_10011600_0305","0","vo_10011600","2","0","0"
"20","みんなは楽しそうに笑ってくれたけど、","3","1030020","0","0","0","1","0","8"
"21","","3","1030021","0","3","0","4","1","0"
"22","これから先が不安……","3","1030022","0","0","0","1","0","8"
"23","","3","1030023","0","2.25","0","4","1","0"
"1","","4","1040001","vo_10011600_0401","0","vo_10011600","2","0","0"
"2","　ユニさんは","4","1040002","0","0","0","1","0","8"
"3","","4","1040003","0","1.75","0","4","1","0"
"4","とっても頭がいい人みたい。","4","1040004","0","0","0","1","0","8"
"5","","4","1040005","0","2.625","0","4","1","0"
"6","","4","1040006","vo_10011600_0402","0","vo_10011600","2","0","0"
"7","　なんだか難しい言葉をよく使ってるんだけど、","4","1040007","0","0","0","1","0","8"
"8","","4","1040008","0","3.75","0","4","1","0"
"9","理解できない単語があったりするし、","4","1040009","0","0","0","1","0","8"
"10","","4","1040010","0","3.125","0","4","1","0"
"11","これからは辞書を持ち歩こうかな？\n","4","1040011","0","0","0","1","0","8"
"12","","4","1040012","0","4","0","4","1","0"
"13","","4","1040013","vo_10011600_0403","0","vo_10011600","2","0","0"
"14","　象牙の塔っていう場所でいつも研究をしてて、","4","1040014","0","0","0","1","0","8"
"15","","4","1040015","0","3.75","0","4","1","0"
"16","普段はそこからほとんど出ないらし\nく、","4","1040016","0","0","0","1","0","8"
"17","","4","1040017","0","3.25","0","4","1","0"
"18","私と同じぼっちの匂いがします。","4","1040018","0","0","0","1","0","8"
"19","","4","1040019","0","3.375","0","4","1","0"
"20","","4","1040020","vo_10011600_0404","0","vo_10011600","2","0","0"
"21","　ぼっちはぼっちを呼ぶ、","4","1040021","0","0","0","1","0","8"
"22","","4","1040022","0","2.5","0","4","1","0"
"23","と","4","1040023","0","0","0","1","0","8"
"24","","4","1040024","0","1.125","0","4","1","0"
"25","誰が言ったのか知らないけど、","4","1040025","0","0","0","1","0","8"
"26","","4","1040026","0","2.75","0","4","1","0"
"27","もしかしたら……\n","4","1040027","0","0","0","1","0","8"
"28","","4","1040028","0","2","0","4","1","0"
"29","","4","1040029","vo_10011600_0405","0","vo_10011600","2","0","0"
"30","同じ宿命を持つ者同士、","4","1040030","0","0","0","1","0","8"
"31","","4","1040031","0","2.375","0","4","1","0"
"32","仲良くなれるかも？","4","1040032","0","0","0","1","0","8"
"33","","4","1040033","0","2.125","0","4","1","0"
"1","","5","1050001","vo_10011600_0501","0","vo_10011600","2","0","0"
"2","　クロエさんは私と同じ","5","1050002","0","0","0","1","0","8"
"3","","5","1050003","0","1.875","0","4","1","0"
"4","エルフ、","5","1050004","0","0","0","1","0","8"
"5","","5","1050005","0","1.5","0","4","1","0"
"6","なんだけど……","5","1050006","0","0","0","1","0","8"
"7","","5","1050007","0","1.625","0","4","1","0"
"8","雰囲気が少し、","5","1050008","0","0","0","1","0","8"
"9","","5","1050009","0","1.375","0","4","1","0"
"10","独特な人。\n","5","1050010","0","0","0","1","0","8"
"11","","5","1050011","0","2.625","0","4","1","0"
"12","","5","1050012","vo_10011600_0502","0","vo_10011600","2","0","0"
"13","もしかしたら同じエルフ同士で仲良くなれるかも、","5","1050013","0","0","0","1","0","8"
"14","","5","1050014","0","3.625","0","4","1","0"
"15","と思ったりもしたんだけど、","5","1050015","0","0","0","1","0","8"
"16","","5","1050016","0","2.125","0","4","1","0"
"17","そもそも話しかけられない！\n","5","1050017","0","0","0","1","0","8"
"18","","5","1050018","0","3.125","0","4","1","0"
"19","","5","1050019","vo_10011600_0503","0","vo_10011600","2","0","0"
"20","あの人が言うには","5","1050020","0","0","0","1","0","8"
"21","","5","1050021","0","1.65","0","4","1","0"
"22","世話焼きで優しい、","5","1050022","0","0","0","1","0","8"
"23","","5","1050023","0","1.625","0","4","1","0"
"24","らしいんだけど……\n","5","1050024","0","0","0","1","0","8"
"25","","5","1050025","0","3.125","0","4","1","0"
"26","","5","1050026","vo_10011600_0504","0","vo_10011600","2","0","0"
"27","そういえばあの、","5","1050027","0","0","0","1","0","8"
"28","","5","1050028","0","2","0","4","1","0"
"29","ぷー……","5","1050029","0","0","0","1","0","8"
"30","","5","1050030","0","1.5","0","4","1","0"
"31","っていうため息（？）、","5","1050031","0","0","0","1","0","8"
"32","","5","1050032","0","2.375","0","4","1","0"
"33","","5","1050033","vo_10011600_0505","0","vo_10011600","2","0","0"
"34","とても言えないけど……\n","5","1050034","0","0","0","1","0","8"
"35","","5","1050035","0","2.375","0","4","1","0"
"36","なんかかわいいな、","5","1050036","0","0","0","1","0","8"
"37","","5","1050037","0","1.375","0","4","1","0"
"38","と思っちゃった。","5","1050038","0","0","0","1","0","8"
"39","","5","1050039","0","1","0","4","1","0"
"1","","6","1060001","vo_10011600_0601","0","vo_10011600","2","0","0"
"2","　チエルさんはリア充。","6","1060002","0","0","0","1","0","8"
"3","","6","1060003","0","2.375","0","4","1","0"
"4","間違いない。\n","6","1060004","0","0","0","1","0","8"
"5","","6","1060005","0","2.5","0","4","1","0"
"6","","6","1060006","vo_10011600_0602","0","vo_10011600","2","0","0"
"7","かわいらしくて友達いっぱい、","6","1060007","0","0","0","1","0","8"
"8","","6","1060008","0","2.5","0","4","1","0"
"9","私のようなぼっちとは対極の人。","6","1060009","0","0","0","1","0","8"
"10","","6","1060010","0","2.875","0","4","1","0"
"11","","6","1060011","vo_10011600_0603","0","vo_10011600","2","0","0"
"12","見つめるだけで目が焼かれちゃいそう。\n","6","1060012","0","0","0","1","0","8"
"13","","6","1060013","0","3.25","0","4","1","0"
