a04388395d8504c10380470b2f332f0f975d27b54d471ada5d0b6d05835bd462,7fec90e1f97e1985f58668104a1ce783a9d7c488649ad5d7429868c69b2202f3,8c5a32409601b41d5fc49869fc8115727b3547c01a23c75eeae8f39288638af3,519ca220493ae1191ca22e5deabaffe97a95143dc2279646e7d3369b49fa8478,d2661c1d4018723334bec1343b4cc27e7d7415d14d0cab743b36c272731cf1e3,1346d64235baa23dbe1f4405d8025cb20dc2198b6bb21ce952d18a7c274e3460,2413814d7b42575f3692e65f4a23651878d14790f154fa8ddec8152547802dc7
"1","0","3","0","1","0","料理入手イベント"
"2","0","1","0","2","0","ダイス入手イベント1"
"3","0","2","0","2","0","ダイス入手イベント2"
"4","3","0","1","3","0","ターン数カウントスキップ"
"5","2","100","0","4","1","マイル+100%"
"6","2","100","0","5","1","ミニゲームマイル+100%"
"7","3","300","0","6","1","ショップ割引イベント"
"8","3","300","0","6","1","ショップ割引イベント"
"98001","3","0","2","3","0","ターン数カウントスキップ1"
"98011","3","0","1","3","0","ターン数カウントスキップ1"
"98012","3","0","2","3","0","ターン数カウントスキップ2"
