82c745aca41dcb4f652e3014f242edaf57121990b0e450e150257dcc34bb466d,cc20df9455ae012c977ad664c5415c4208b8d1de3851296e053d2dad3fcabd3b,b56a9e28f64f5cac870fbdca6f2da5fb6ccc2177f92a7777fc5aefc3ef603a29,4b14a5383b9cb3c22034a8b12f00a3f9f83f75803746eb636b7adaacc4086aff,3051f86c2aaf82d9a5f09560f6e67463834f85b7734ec0332723b17bb2cdc2af,fff6badee0bccbfa41cd42338cfca6a1ef3da78b93b391d9cc203f76924d49f8,5420f59e8852aa47fe379b4930fb25b21fe13b32a6609e258317b39df8971cec,687f58e5c086c229415067562d95a628a24647150e56022a5f30e83cc2e29762,d3bbc4d4875f9bc3060347601186c268dd5aab12600b686db2de118a1bb10702,44753d47da5c3b689de4ab9c3417969a49f63a9ae6c408a67589709bb96425f8
"0","0","10174","1","10174101","0","ウヅキとリンのメモリー","0","0","7001"
"0","0","10174","2","10174103","0","ニュージェネレーションズのメモリー","0","0","7002"
"0","0","10174","4","10174103","0","ウヅキとミオのメモリー","0","0","7003"
"0","0","10174","6","10174105","0","美食殿のメモリー","0","0","7004"
"0","0","10174","7","10174105","0","リンとミオのメモリー","0","0","7005"
"0","0","10174","8","10174105","0","ニュージェネレーションズのメモリー","0","0","7006"
"0","0","10174","9","10174107","0","ニュージェネレーションズと美食殿のメモリー","0","0","7007"
"0","0","10174","10","10174107","0","美食殿のメモリー","0","0","7008"
"0","0","10175","14","10175105","0","ニュージェネレーションズと美食殿のメモリー","0","0","7009"
"0","0","10174","3","10174103","0","ニュージェネレーションズのメモリー","0","0","7102"
"0","0","10174","5","10174103","0","美食殿のメモリー","0","0","7103"
"0","0","10174","11","10174107","0","ニュージェネレーションズと美食殿のメモリー","0","0","7104"
"0","0","10175","12","10175105","0","ニュージェネレーションズと美食殿のメモリー","0","0","7105"
"0","0","10175","13","10175105","0","ニュージェネレーションズと美食殿のメモリー","0","0","7106"
"1","2405","10174","15","10174101","7","","0","1","7201"
