af14ae66b9f6988d443a5096f4d6352d95060c159e58357e1dca13d28cbd3ff6,ed42b429ba24b4c16e021d61d7baa92aa2a474e809ed66b696d1b3b72b642961,a0742052eb9a910f25978d2692cda04188010cfbe0d961dcc5bc968354fc08d8,53904f221c885ceb1bfe11a9e487fd0abc1fdae59b07dbcc40b8f4af247def77,b8e7162ab1659fc394d288fdc67c4c1d6c8c62d3c1767034305986c78655c969,339a3814a423f78a771639d6123447fd082a6e53630f85c674e882068e4da251,b264f20778ebdb1bf2d858d3c79b4efd9392f2b743d68ad2cea6820326158813,349edff7762b733972f5111edcc56b5a48018c8ab201448f3f65cc707383c2d6,6a5bf4052d32202999b413cbac81b4db582d11ea68040e451757e93e49af4f98,cf9216aa71d98a14a2f043eff622567c471a37b64dcfca8bbac13eeb1859d966,a3144c0d32ae47d097c180048f687778816af4e9753016d6d16d5af7f58749be,07b1b8be46bba23e8f9e1a8f66488b3d4495616365c95cdff31c3ed37fdeafa9,a108bd06493723a91a9e7081fe6f5bae9ff85d896f272d46edd21d74acf82a8c,cc0357d43e3c2b9fff9e25506db9b37277d29aa7d34d5b15751ac16df346574f,bc3173ca25a723e39c6b2e97d489d5575dc6bf2b392f793e795ccf15f5f3b327,92492a264eb284a1c18a107c318d5acd93c434b74fa92d770d69f2028f9704c5
"ヒヨリ","A","0","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","トゥインクルウィッシュ","2","東山奈央","人助けが大好き！　前向き格闘娘","獣人族","100101","8","人助け、応援","155","16","27","44"
"ユイ","O","0","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","トゥインクルウィッシュ","2","種田梨沙","戦闘のサポートが得意な、心優しい少女","ヒューマン","100201","4","料理、人間観察","158","17","5","47"
"レイ","B","0","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","トゥインクルウィッシュ","2","早見沙織","クールで何事にも真っ直ぐな剣士","魔族","100301","1","読書、乗馬、お茶","163","18","12","46"
"ミソギ","O","0","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","リトルリリカル","5","諸星すみれ","探検好きのイタズラっ子","ヒューマン","100401","8","いたずら、探検","128","9","10","27"
"マツリ","O","0","？？？","王宮騎士団（NIGHTMARE）","8","下田麻美","ヒーローに憧れる騎士見習いの少女","獣人族","100501","11","ヒーローごっこ","146","12","25","40"
"アカリ","O","0","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","悪魔偽王国軍（ディアボロス）","7","浅倉杏美","甘え上手なみんなの人気者","魔族","100601","11","サックス","150","13","22","42"
"ミヤコ","B","0","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","悪魔偽王国軍（ディアボロス）","7","雨宮天","プリン大好きゴースト娘","魔族","100701","1","プリンを食べること","130","14","23","32"
"ユキ","AB","0","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","ヴァイスフリューゲル　ランドソル支部","15","大空直美","ボクは誰よりも美しい","エルフ","100801","10","鏡で自分を見ること","150","14","10","40"
"アンナ","A","0","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","トワイライトキャラバン","13","髙野麻美","前世を信じる中二病患者、「疾風の冥姫」","魔族","100901","7","小説執筆","159","17","5","45"
"マホ","O","0","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","自警団（カォン）","10","内田真礼","マホマホ王国のプリンセス","獣人族","101001","9","空想、ぬいぐるみ集め","155","16","22","42"
