631ac109c9606fbdf9617e0eb27d12ff7bacd3ac38b358207138053082ccfa5a,dd7f777ed0b5e8cc8625f81f2000923f750577e2e265311a9d91599e198d525b,465cb2c63641dee4dcccd1db4aa53e9dd96de327eb0b6baeaafafc91d95a9116,6bfbd619915f7a3039706d0d1d7db37a85c8058091c2aae89279dd36b1b10899,57f2c97ba45c8a735912c63abfada0d40e08bb43402291360a161a2904dadcd6,7cb819d189e4cf73f688c70d4aa2a72a3606ae4d7bf43cf559a0b6d039dd915b,d2ffb2761d0897df8db00161071b921505c8e6ae63fbde6eedcc21c71e269529
"0","10201101","2025/01/31 12:00:00","5201401","1","10201","10201101"
"0","10201102","2025/02/06 12:00:00","5201402","1","10201","10201151"
"5201010","10201201","2025/01/31 12:00:00","5201411","2","10201","13"
"0","10202101","2025/02/28 12:00:00","5202401","1","10202","10202101"
"0","10202201","2025/02/28 12:00:00","5202411","2","10202","7"
"0","10203101","2025/03/31 12:00:00","5203401","1","10203","10203101"
"5203007","10203201","2025/03/31 12:00:00","5203411","2","10203","7"
"0","10204101","2025/04/30 12:00:00","5204401","1","10204","10204101"
"5204006","10204201","2025/04/30 12:00:00","5204411","2","10204","7"
"0","10205101","2025/05/31 12:00:00","5205401","1","10205","10205101"
"0","10205201","2025/05/31 12:00:00","5205411","2","10205","7"
"0","10206101","2025/06/30 12:00:00","5206401","1","10206","10206101"
"5206007","10206201","2025/06/30 12:00:00","5206411","2","10206","7"
"0","10207101","2025/07/31 12:00:00","5207401","1","10207","10207101"
"5207007","10207201","2025/07/31 12:00:00","5207411","2","10207","23"
"0","10208101","2025/08/31 12:00:00","5208401","1","10208","10208101"
"5208007","10208201","2025/08/31 12:00:00","5208411","2","10208","23"
"0","10209101","2025/09/30 12:00:00","5209401","1","10209","10209101"
"5209007","10209201","2025/09/30 12:00:00","5209411","2","10209","23"
"0","10210101","2025/10/31 12:00:00","5210401","1","10210","10210101"
"5210000","10210201","2025/10/31 12:00:00","5210411","2","10210","23"
"0","10211101","2025/11/30 12:00:00","5211401","1","10211","10211101"
"5211006","10211201","2025/11/30 12:00:00","5211411","2","10211","23"
"0","10212101","2025/12/31 12:00:00","5212401","1","10212","10212101"
"5212007","10212201","2025/12/31 12:00:00","5212411","2","10212","23"
"0","10213101","2026/01/31 12:00:00","5213401","1","10213","10213101"
"0","10213102","2026/02/12 12:00:00","5213402","1","10213","10213151"
"5213013","10213201","2026/01/31 12:00:00","5213411","2","10213","23"
"0","10213302","2026/02/12 12:00:00","5213602","3","10213","0"
"0","10214101","2026/02/28 12:00:00","5214401","1","10214","10214101"
"5214006","10214201","2026/02/28 12:00:00","5214411","2","10214","23"
"0","10215101","2026/03/31 12:00:00","5215401","1","10215","10215101"
"5215006","10215201","2026/03/31 12:00:00","5215411","2","10215","23"
"0","10216101","2026/04/30 12:00:00","5216401","1","10216","10216101"
"5216007","10216201","2026/04/30 12:00:00","5216411","2","10216","23"
"0","10217101","2026/05/31 12:00:00","5217401","1","10217","10217101"
"5217007","10217201","2026/05/31 12:00:00","5217411","2","10217","23"
"0","10218101","2026/06/30 12:00:00","5218401","1","10218","10218101"
"5218006","10218201","2026/06/30 12:00:00","5218411","2","10218","23"
"0","10219101","2026/07/31 12:00:00","5219401","1","10219","10219101"
"5219007","10219201","2026/07/31 12:00:00","5219411","2","10219","23"
"0","10220101","2026/08/31 12:00:00","5220401","1","10220","10220101"
"5220007","10220201","2026/08/31 12:00:00","5220411","2","10220","23"
