b47d787962780fd4349b3100c40ebcea212b8830d92cf646f666b1935e3cbf3b,55074927469283d889156a021cc6896a7ecc18b2d4839de7e95c4cb600eaf11a,e1ff7063bb45f75d2e75e8901837320b2c8f4eca331127af2ba569b921a63d9e,4f38097d8c10c552e011b8a06fe0a8da33986e2fbca7b19087c38a859c373eb5,54bc890fea30c0060a74f1b2b362b83d9d5f27ca363bacc7171886bf95749606,56d34c662198b9cd958c67bdcb7e361de01505a31684f52288ed3b6ca9349bbf
"10201001","10201","2","201","5","5201083"
"10213001","10213","2","1021301","3","5213062"
"10213002","10213","3","5213063","2","1021301"
"10213003","10213","2","1021302","3","5213064"
"10213004","10213","3","5213065","2","1021302"
"10213005","10213","2","1021303","3","5213066"
"10213006","10213","3","5213067","2","1021303"
"10213007","10213","2","1021304","3","5213068"
"10213008","10213","3","5213069","2","1021304"
"10213009","10213","2","1021305","3","5213070"
"10213010","10213","3","5213071","2","1021305"
"10213011","10213","2","1021306","3","5213072"
"10213012","10213","3","5213073","2","1021306"
"10213013","10213","2","1021307","3","5213074"
"10213014","10213","3","5213075","2","1021307"
"10213015","10213","2","1021311","3","5213076"
"10213016","10213","3","5213077","2","1021311"
"10213017","10213","2","1021312","3","5213078"
"10213018","10213","3","5213079","2","1021312"
"10213019","10213","2","1021313","3","5213080"
"10213020","10213","3","5213081","2","1021313"
"10213021","10213","2","1021314","3","5213082"
"10213022","10213","3","5213083","2","1021314"
"10213023","10213","2","1021315","3","5213084"
"10213024","10213","3","5213085","2","1021315"
"10213025","10213","2","1021316","3","5213086"
"10213026","10213","3","5213087","2","1021316"
"10213027","10213","2","1021317","3","5213088"
"10213028","10213","3","5213089","2","1021317"
"10213029","10213","2","1021321","3","5213090"
"10213030","10213","3","5213091","2","1021321"
"10213031","10213","2","1021322","3","5213092"
"10213032","10213","3","5213093","2","1021322"
"10213033","10213","2","1021323","3","5213094"
"10213034","10213","3","5213095","2","1021323"
"10213035","10213","2","1021324","3","5213096"
"10213036","10213","3","5213097","2","1021324"
"10213037","10213","2","1021325","3","5213098"
"10213038","10213","3","5213099","2","1021325"
"10213039","10213","2","1021326","3","5213100"
"10213040","10213","3","5213101","2","1021326"
"10213041","10213","2","1021327","3","5213102"
"10213042","10213","3","5213103","2","1021327"
