c85aefb22c6656f9bebb1e342d3984b4f215b11bc4b8e7f89229bb6d6b1d1b7f,aaecbee464f1414f8344b732414692ccb4e8a958e69b99a2368eec60dc364f94,fd488d8c95272ff8d8526c448a33a86525bd1b251ef5492f2e63c78e17397c30,589dee0ffb746112f07cd6c99ec01799dfd66fcd9774f3bde1b1fa6e0bf7f45c,75637553616c240cc280325cb3b4d8fffb992cd78b2234331a93c6ffc3d4fd99
"8000000","12","1001","94002","1"
"40","2","1001","90005","2"
"8000000","12","1002","94002","3"
"50","2","1002","90005","4"
"8000000","12","1003","94002","5"
"60","2","1003","90005","6"
"8000000","12","1004","94002","7"
"70","2","1004","90005","8"
"150","8","1005","91002","9"
"8000000","12","1005","94002","10"
"80","2","1005","90005","11"
"8000000","12","1006","94002","12"
"90","2","1006","90005","13"
"300","8","1007","91002","14"
"8000000","12","1007","94002","15"
"100","2","1007","90005","16"
"8000000","12","2001","94002","17"
"8000000","12","2002","94002","18"
"8000000","12","2003","94002","19"
"8000000","12","2004","94002","20"
"8000000","12","2005","94002","21"
"8000000","12","2006","94002","22"
"8000000","12","2007","94002","23"
"8000000","12","2008","94002","24"
"8000000","12","2009","94002","25"
"8000000","12","2010","94002","26"
"8000000","12","7001","94002","27"
"5","2","7001","90005","28"
"8000000","12","7002","94002","29"
"5","2","7002","90005","30"
"8000000","12","7003","94002","31"
"5","2","7003","90005","32"
"8000000","12","7004","94002","33"
"10","2","7004","90005","34"
"8000000","12","7005","94002","35"
"10","2","7005","90005","36"
"8000000","12","7006","94002","37"
"10","2","7006","90005","38"
"8000000","12","7007","94002","39"
"15","2","7007","90005","40"
"8000000","12","7008","94002","41"
"15","2","7008","90005","42"
"8000000","12","7009","94002","43"
"15","2","7009","90005","44"
"8000000","12","7010","94002","45"
"20","2","7010","90005","46"
"8000000","12","7011","94002","47"
"20","2","7011","90005","48"
"8000000","12","7012","94002","49"
"20","2","7012","90005","50"
"8000000","12","7013","94002","51"
"25","2","7013","90005","52"
"8000000","12","7014","94002","53"
"25","2","7014","90005","54"
"8000000","12","7015","94002","55"
"25","2","7015","90005","56"
"8000000","12","7016","94002","57"
"30","2","7016","90005","58"
"8000000","12","7017","94002","59"
"30","2","7017","90005","60"
"8000000","12","7018","94002","61"
"30","2","7018","90005","62"
"8000000","12","7019","94002","63"
"35","2","7019","90005","64"
"8000000","12","7020","94002","65"
"35","2","7020","90005","66"
"8000000","12","7021","94002","67"
"35","2","7021","90005","68"
"8000000","12","7022","94002","69"
"40","2","7022","90005","70"
"8000000","12","8001","94002","71"
"1000","2","8001","90008","72"
"8000000","12","8002","94002","73"
"1250","2","8002","90008","74"
"8000000","12","8003","94002","75"
"1500","2","8003","90008","76"
"8000000","12","8004","94002","77"
"1750","2","8004","90008","78"
"8000000","12","8005","94002","79"
"2000","2","8005","90008","80"
"8000000","12","8006","94002","81"
"2250","2","8006","90008","82"
"8000000","12","8007","94002","83"
"2500","2","8007","90008","84"
