cae04a73d62505a9a6343eef47ebb8ad937a167b31fe2b622f56edd29f0ccbce,80afb5520439f96736f73e0eba246c44249f38a5063c798c8e096b237da278d3,4f4bd8bf67359a677da8f2381750131abe4573e3407f9741646b7e883da130b3,097aaac7d4b8626c78c486451a18fdbe891bc8538d3c5b01a67b988671adb302,27f19fe6c4677ec3f023ce443107efc6379dda39d8d7aeb1d1a4777e2243f95d,3e3a63f6b0256a4dbbfd441031ea4c6bff9235ad03cdf6eb5bb1732733f148e9
"1","100111","5000","0","0","2991180"
"1","100121","10000","0","0","2991167"
"1","100122","2000","0","0","2991168"
"1","100131","1000","0","0","2991172"
"1","100211","5000","0","0","2991102"
"1","100221","1000","0","0","2991181"
"1","100222","2000","0","0","2991182"
"1","100231","5000","0","0","2991187"
"1","100311","5000","0","0","2991183"
"1","100312","2000","0","0","2991184"
"1","100321","5000","0","0","2991185"
"1","100322","1000","0","0","2991186"
"1","100331","30000","0","0","2991188"
"1","100411","2000","0","0","2991190"
"1","100421","1000","0","0","2991103"
"1","100422","1000","0","0","2991104"
"1","100431","5000","0","0","2991105"
"1","100432","10000","0","0","2991106"
"1","100511","2000","0","0","2991189"
"1","100521","10000","0","0","2991107"
"1","100522","5000","0","0","2991108"
"1","100523","5000","0","0","2991109"
"1","100531","50000","0","0","2991110"
"14","110011","5","0","0","14"
"1","110021","10000","0","0","2991117"
"1","110031","10000","0","0","2991120"
"14","110041","1","0","0","16"
"1","110051","1000","0","0","2991101"
"14","120011","1000","0","0","109"
"1","120021","3000","0","0","2991121"
"1","120031","3000","0","0","2991124"
"1","120041","1000","0","0","2991127"
"1","120051","1000","0","0","2991128"
"1","130011","1000","0","0","2991129"
"14","130021","1000","0","0","100"
"14","130022","1000","0","0","101"
"14","130031","3000","0","0","107"
"14","130041","1000","0","0","6"
"14","130042","1000","0","0","7"
"14","130051","10","0","0","9"
"14","140011","1000","0","0","108"
"1","140021","5000","0","0","2991132"
"1","140031","5000","0","0","2991133"
"14","140041","1000","0","0","2"
"14","140042","1000","0","0","4"
"14","140051","1000","0","0","3"
"14","140052","1000","0","0","5"
"14","150011","1000","0","0","110"
"14","150021","1000","0","0","1"
"1","150031","50000","0","0","2991134"
"1","150041","50000","0","0","2991149"
"1","150051","5000","0","0","2991164"
"14","210011","10","0","0","14"
"1","210021","20000","0","0","2991118"
"1","210031","20000","0","0","2991120"
"14","210041","3","0","0","16"
"1","210051","2000","0","0","2991101"
"14","220011","2000","0","0","109"
"1","220021","6000","0","0","2991122"
"1","220031","6000","0","0","2991125"
"1","220041","1500","0","0","2991127"
"1","220051","1500","0","0","2991128"
"1","230011","2000","0","0","2991129"
"14","230021","2000","0","0","100"
"14","230022","2000","0","0","101"
"14","230031","6000","0","0","107"
"14","230041","2000","0","0","6"
"14","230042","2000","0","0","7"
"14","230051","20","0","0","9"
"14","240011","2000","0","0","108"
"1","240021","10000","0","0","2991132"
"1","240031","10000","0","0","2991133"
"14","240041","2000","0","0","2"
"14","240042","2000","0","0","4"
"14","240051","2000","0","0","3"
"14","240052","2000","0","0","5"
"14","250011","2000","0","0","110"
"14","250021","2000","0","0","1"
"1","250031","100000","0","0","2991139"
"1","250041","100000","0","0","2991154"
"1","250051","10000","0","0","2991165"
"14","300011","5000","0","0","104"
"14","310011","15","0","0","14"
"1","310021","30000","0","0","2991119"
"1","310031","30000","0","0","2991120"
"14","310041","5","0","0","16"
"1","310051","3000","0","0","2991101"
"14","320011","3000","0","0","109"
"1","320021","9000","0","0","2991123"
"1","320031","9000","0","0","2991126"
"1","320041","2000","0","0","2991127"
"1","320051","2000","0","0","2991128"
"1","330011","3000","0","0","2991129"
"14","330021","3000","0","0","100"
"14","330022","3000","0","0","101"
"14","330031","9000","0","0","107"
"14","330041","3000","0","0","6"
"14","330042","3000","0","0","7"
"14","330051","30","0","0","9"
"14","340011","3000","0","0","108"
"1","340021","15000","0","0","2991132"
"1","340031","15000","0","0","2991133"
"14","340041","3000","0","0","2"
"14","340042","3000","0","0","4"
"14","340051","3000","0","0","3"
"14","340052","3000","0","0","5"
"14","350011","3000","0","0","110"
"14","350021","3000","0","0","1"
"1","350031","150000","0","0","2991144"
"1","350041","150000","0","0","2991159"
"1","350051","15000","0","0","2991166"
