f9a864d2cc2f694a328d8c6d9918bd341a2769dd2f8b6e41d994fb52f3387337,cd36c7df1aba7f9031be33dcc75f672931dc19f140925fedad6ff5be224089dd,c9a9400a6cd301bb038346ffab32f3fc0492c739b909a9ea537385a3dbae9740,b792069753e00a593064fad18285451107caf6f411b41a0de76e73db5fa744f4,3dcde8d1cc43648b426920d60df3115adbc1f79194d85699dd715b60b32dbabe,d364ac697897eac25e64830334668e6592aa175824963df0dd9d5a9e3a7f4a5c,32cc70ab242273c3340e42a688880ebaeb49bc3acd8058ca3075c0596b0f72cb,4068850d9126de402556ec0d8316025871937f5cd717d18a9f673768631a5f5f,f3204ac9e1b336fc023ea4572fb4dd9f9f2652925306e39eab3987673f5cbf06,72fe4740dc556a8692f52b059d057dc5435e6d8bfd4cd53833f3937e0ca3a183,81664345c404fda1f7840aa60f005ce06f13cb62858df8c9e68e3b9413d4451a
"1","1001","taq_karin_idle","1.65","72","-194","1","100","1","118511","1"
"1","1002","","","0","","21","0","vo_minigame_1009","vo_minigame_1009_top_001",""
"1","1003","0","0","0","0","11","8","118511","賞品も用意して\nいますので頑張って\nくださいね♪","0"
"1","1004","","0.2","","","3","1","118511","taq_karin_talk_normal",""
"1","1005","","","","","91","","1003","",""
"1","1006","","0.2","","","3","1","118511","taq_karin_idle",""
"2","2001","taq_karin_idle","1.65","72","-194","1","100","1","118511","1"
"2","2002","","","0","","21","0","vo_minigame_1009","vo_minigame_1009_top_002",""
"2","2003","0","0","0","0","11","8","118511","みなさんの知識が\n試されますよ","0"
"2","2004","","0.2","","","3","1","118511","taq_karin_talk_thinking",""
"2","2005","","","","","91","","2003","",""
"2","2006","","0.2","","","3","1","118511","taq_karin_idle",""
"3","3001","taq_karin_idle","1.65","72","-194","1","100","1","118511","1"
"3","3002","","","0","","21","0","vo_minigame_1009","vo_minigame_1009_top_003",""
"3","3003","0","0","0","0","11","8","118511","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","0"
"3","3004","","0.2","","","3","1","118511","taq_karin_talk_surprise",""
"3","3005","","","","","91","","3003","",""
"3","3006","","0.2","","","3","1","118511","taq_karin_idle",""
"4","4001","taq_karin_idle","1.65","72","-194","1","100","1","118511","1"
"4","4002","","","0","","21","0","vo_minigame_1009","vo_minigame_1009_top_004",""
"4","4003","0","0","0","0","11","8","118511","わからないときは\n勘に頼ってみても\nいいと思います","0"
"4","4004","","0.2","","","3","1","118511","taq_karin_talk_normal2",""
"4","4005","","","","","91","","4003","",""
"4","4006","","0.2","","","3","1","118511","taq_karin_idle",""
"5","5001","taq_karin_idle","1.65","72","-194","1","100","1","118511","1"
"5","5002","","","0","","21","0","vo_minigame_1009","vo_minigame_1009_top_005",""
"5","5003","0","0","0","0","11","7","118511","仲よく協力して\n全問正解を\n目指してくださいね♪","0"
"5","5004","","0.2","","","3","1","118511","taq_karin_talk_joy3",""
"5","5005","","","","","91","","5003","",""
"5","5006","","0.2","","","3","1","118511","taq_karin_idle",""
