c68261d1aa6c56ecfb0fff4f98185bd259439a1230d690991f73d9414634e7c2,4acfa52c9346bed2d3ca8862f8cafe3d370f6e426ff5f185affbf32bec53e938,26bdc7c938a9320e5699f71f2aa27338e7578561d0a00af3a0327bd57877b0c5,68114e5cded52c314958767d5d85d5a487f2c7f27908b13d74d6cca2bf079321,a4ba494c78d35a7b57e5cf92b10e6f8e59f23ebedca708a7edb9aeb58fef6bea,245e8f7c670dd259b52f7570201d178d7eec76353cdc37479f07476afb12b7db,1a9f742368a51330b02c05a3f40ed21231d2e550ba1af60765eaa60d009ca805,a71b7a01b60510526f859ab1ab38658cef605e63c3d66dafe9a47213119a1e6c,f883be5d7eaba2bf93c43bdf06e3ebf04b7c0f657c78b9ebb88f99b8458b2d61,4ae4b3882dc213b1f9b19750dda0d1108c1fe643862fd0fe99801e0ca72da247,4873258818605b54b3939c0cbc379be8b3590af272d95d05c6e2a914ab8bd33e,010725fb94cf8b8b25b05dd6095f8b0adb718c38c03997274ecb8078d2a70843
"101","0","0","104","1","1","2","0","0","11041","0","4"
"201","0","0","14","2","2","3","0","0","10141","1","2"
"301","0","0","103","3","3","2","0","0","11031","2","2"
"401","0","0","102","4","4","1","0","0","11021","3","1"
"501","0","0","104","5","5","2","0","0","11041","4","4"
"601","0","0","1","6","6","3","0","0","10011","5","1"
"701","0","0","101","7","7","4","0","0","11011","6","3"
"801","0","0","100","8","8","3","0","0","11001","7","1"
"901","0","0","104","9","9","2","0","0","11041","8","4"
"1001","0","0","1","10","10","3","0","0","10011","9","2"
"1101","0","0","51","11","11","4","0","0","10511","10","1"
"1201","0","0","52","12","12","3","0","0","10521","11","2"
"1301","0","0","104","13","13","2","0","0","11041","12","4"
"1401","0","0","103","14","14","1","0","0","11031","13","1"
"1501","0","0","102","15","15","2","0","0","11021","14","1"
"1601","0","0","1","16","16","3","0","0","10011","15","1"
"1701","0","0","104","17","17","2","0","0","11041","16","4"
"1801","0","0","50","18","18","3","0","0","10501","17","2"
"1901","0","0","101","19","19","4","0","0","11011","18","3"
"2001","0","0","100","20","20","3","0","0","11001","19","2"
"2101","0","0","104","21","21","2","0","0","11041","20","4"
"2201","0","0","1","22","22","1","0","0","10011","21","3"
"2301","0","0","100","23","23","3","0","0","11001","22","2"
"2401","0","0","101","24","24","2","0","0","11011","23","2"
"2501","0","0","104","25","25","3","0","0","11041","24","4"
"2601","0","0","50","26","26","4","0","0","10501","25","3"
"2701","0","0","52","27","27","3","0","0","10521","26","3"
"2801","0","0","50","28","28","1","0","0","10501","27","1"
"2901","0","0","104","29","29","2","0","0","11041","28","4"
"3001","0","0","51","30","30","1","0","0","10511","29","3"
"3101","0","0","100","31","31","2","0","0","11001","30","2"
"3201","0","0","101","32","32","3","0","0","11011","31","1"
"3301","0","0","104","33","33","4","0","0","11041","32","4"
"3401","0","0","100","34","34","3","0","0","11001","33","3"
"3501","0","0","104","35","35","2","0","0","11041","34","4"
"3601","0","0","103","36","36","3","0","0","11031","35","2"
"3701","0","0","102","37","37","2","0","0","11021","36","1"
"3801","0","0","50","38","38","1","0","0","10501","37","2"
"3901","0","0","102","39","39","3","0","0","11021","38","3"
"4001","0","0","104","40","40","4","0","0","11041","39","4"
"4101","0","0","100","41","41","3","0","0","11001","40","1"
"4201","0","0","52","42","42","2","0","0","10521","41","3"
"4301","0","0","104","43","43","1","0","0","11041","42","4"
"4401","0","0","103","44","44","2","0","0","11031","43","1"
"4501","0","0","104","45","45","1","0","0","11041","44","4"
"4601","0","0","101","46","46","3","0","0","11011","45","3"
"4701","0","0","102","47","47","4","0","0","11021","46","1"
"4801","0","0","104","48","48","2","0","0","11041","47","4"
"4901","0","0","103","49","49","3","0","0","11031","48","2"
"5001","0","0","104","50","50","2","0","0","11041","49","4"
"5101","0","0","101","51","51","1","0","0","11011","50","2"
"5201","0","0","102","52","52","2","0","0","11021","51","3"
"5301","0","0","104","53","53","3","0","0","11041","52","4"
"5401","0","0","52","54","54","4","0","0","10521","53","1"
"5501","0","0","103","55","55","3","0","0","11031","54","3"
"5601","0","0","104","56","56","4","0","0","11041","55","4"
"5701","0","0","100","57","57","2","0","0","11001","56","1"
"5801","0","0","101","58","58","3","0","0","11011","57","3"
"5901","0","0","103","59","59","4","0","0","11031","58","2"
"6001","0","0","104","60","60","3","0","0","11041","59","4"
"6101","0","0","102","61","61","1","0","0","11021","60","1"
"6201","0","0","50","62","62","2","0","0","10501","61","3"
"6301","0","0","104","63","63","1","0","0","11041","62","4"
"6401","0","0","103","64","64","2","0","0","11031","63","2"
"6501","0","0","102","65","65","3","0","0","11021","64","1"
"6601","0","0","104","66","66","2","0","0","11041","65","4"
