5ac713510c67a95e067403a10cff35a17124e74cca94263444a8f42bc58a15dc,a76621d4b4a50974633d35a1e67e8f37cbef5224d192c90035eee5b2f176bf67,a90f9ff32808ebe65b03ab222a4d98cae0c53bd1e05888066ba065665632d7f3,bccfe3e9210ed83db751a1793490d2ad480f5a0c023eeef4bef32ab8fee33745
"2","1","20","20"
"3","1","30","30"
"3","2","80","50"
"3","3","160","80"
"4","1","60","60"
"4","2","160","100"
"4","3","340","180"
"4","4","700","360"
"4","5","1200","500"
"5","1","100","100"
"5","2","260","160"
"5","3","540","280"
"5","4","1020","480"
"5","5","1800","780"
"6","1","100","100"
"6","2","260","160"
"6","3","540","280"
"6","4","1020","480"
"6","5","1800","780"
"7","1","100","100"
"7","2","260","160"
"7","3","540","280"
"7","4","1020","480"
"7","5","1800","780"
"8","1","100","100"
"8","2","260","160"
"8","3","540","280"
"8","4","1020","480"
"8","5","1800","780"
"9","1","100","100"
"9","2","260","160"
"9","3","540","280"
"9","4","1020","480"
"9","5","1800","780"
"10","1","100","100"
"10","2","260","160"
"10","3","540","280"
"10","4","1020","480"
"10","5","1800","780"
"11","1","100","100"
"11","2","260","160"
"11","3","540","280"
"11","4","1020","480"
"11","5","1800","780"
