f7474174074354de418f6e91b12eae761e55cf623c9c9fe480d1df56010fa34f,0e6a105f9ad9f4b593b3eaecddff396eddb43cba76d5f092a46acad65c5ad582,f133b477200752044660a19b50f0a8f0527d8f3970b30d99644357fe3e812a2e,2c5741489805f43278f72cf0e6e1310576f73441f3022f3ce45701eeb29ddd6c,6bd8b0700248f141903c3a36b51f3583c6c0a51d100881b60fe73686c0ffa3ec
"2700","1","0","1","1"
"3600","2","0","1","2"
"5400","3","0","1","3"
"3600","1","1","1","4"
"5400","2","1","1","5"
"7200","3","1","1","6"
"1800","1","0","2","7"
"2700","2","0","2","8"
"3600","3","0","2","9"
"2700","1","1","2","10"
"4050","2","1","2","11"
"5400","3","1","2","12"
"1800","1","0","3","13"
"2700","2","0","3","14"
"3600","3","0","3","15"
"2700","1","1","3","16"
"4050","2","1","3","17"
"5400","3","1","3","18"
"1800","1","0","4","19"
"2700","2","0","4","20"
"3600","3","0","4","21"
"2700","1","1","4","22"
"4050","2","1","4","23"
"5400","3","1","4","24"
