9f5294d066e5d3d26b1a64b67075c597ff9728826e0e1cc57f5617ea38c379b0,8238f955f24d2a8a9abb7f5e1911d6c98fc42f89c98efd73aaa0be12b44c3c13,fe8827b5706d62e20c958bf9f543136e10a3718f8e46b573a888d668c8ff7cae,5523f00478517211bd549e57b9d73c267519d5010622834e77891eb3161d8bb6,a41634ccf4eee9fd82e6d0a1ccc2669bd64047895b601aebf261ac4ed5725006,a2954b1c66a3aca49b43abb77006fa07611f6472df8ef091979d0550d8514f3d,032feed463c05573a34028a81479283d0037a3be9fc92d8d41fc2a945250f4ec,9043d7affaaf1ee21b54c5959f259c92c604f29882ad1d47935b3681bddc779a,7d2037a4a99ea7217081c270b44acf19fdbe2c528e85cad156a60d8eba852663
"2","1","2","1","6","3","3","2","100101"
"1","3","1","2","5","2","3","1","100201"
"3","1","2","3","7","3","2","1","100301"
"2","1","2","3","13","3","2","2","100401"
"2","2","3","2","18","1","3","2","100501"
"2","1","3","2","25","2","3","1","100601"
"3","3","1","2","26","2","3","2","100701"
"3","3","1","3","40","1","2","2","100801"
"3","1","3","2","34","3","2","1","100901"
"1","3","1","2","8","2","3","1","101001"
"2","2","1","2","56","2","3","3","101101"
"2","1","2","2","43","3","1","3","101201"
"2","1","3","3","33","1","3","1","101301"
"1","3","2","2","11","1","2","1","101401"
"1","3","1","3","42","2","2","1","101501"
"2","2","1","3","46","1","3","3","101601"
"2","1","2","2","10","1","3","3","101701"
"1","3","2","3","45","1","2","1","101801"
"1","2","2","1","12","3","3","2","102001"
"1","1","2","3","30","2","3","1","102101"
"1","1","2","3","24","2","1","3","102201"
"2","1","3","1","31","3","3","2","102301"
"1","3","1","2","29","1","2","3","102501"
"1","3","1","1","51","2","3","2","102601"
"3","2","1","3","36","3","1","2","102701"
"1","2","1","3","28","1","2","2","102801"
"1","2","1","2","52","2","3","2","102901"
"2","2","2","3","39","1","3","1","103001"
"3","3","1","1","27","3","2","2","103101"
"2","3","1","2","19","3","1","2","103201"
"2","2","2","1","48","3","3","1","103301"
"1","2","3","2","20","2","1","2","103401"
"3","3","3","2","14","1","1","2","103601"
"3","1","3","3","17","1","2","2","103701"
"3","3","3","1","49","2","2","1","103801"
"1","2","3","1","44","2","1","3","104001"
"3","3","2","2","53","1","2","2","104201"
"3","1","1","2","9","3","2","3","104301"
"3","3","2","1","23","3","2","1","104401"
"1","2","3","2","38","2","2","1","104501"
"2","3","1","1","21","2","2","3","104601"
"3","1","3","2","15","1","2","3","104701"
"3","1","2","3","22","2","1","3","104801"
"1","2","1","2","55","3","2","2","104901"
"1","2","2","2","47","1","3","3","105001"
"3","3","2","1","35","1","1","3","105101"
"2","2","1","2","50","2","3","2","105201"
"3","1","1","3","37","3","2","2","105301"
"2","2","1","1","54","2","3","3","105401"
"1","2","3","1","41","3","2","1","105501"
"3","1","1","2","32","2","3","3","105601"
"1","1","2","2","67","2","3","2","105701"
"2","2","1","2","1","2","3","2","105801"
"1","3","2","2","2","2","2","1","105901"
"3","2","3","1","3","1","2","3","106001"
"2","1","2","2","58","3","3","2","106101"
"1","1","2","1","68","3","3","2","106301"
"1","1","3","2","4","2","3","2","106401"
"3","1","3","2","61","1","3","2","106501"
"2","3","3","1","62","1","3","2","106601"
"3","2","2","2","60","1","2","1","106701"
"1","1","3","2","57","1","1","2","106801"
"3","3","2","1","59","2","1","1","107001"
"3","1","2","3","16","2","1","2","107101"
"1","2","2","2","70","2","2","1","109201"
"2","2","1","2","72","2","3","3","109301"
"3","1","2","3","71","1","2","3","109401"
"1","1","2","2","64","2","2","3","110801"
"2","2","1","3","65","1","2","2","110901"
"3","3","2","1","63","1","3","1","111001"
"2","2","3","1","69","2","2","3","111401"
"2","3","2","2","66","1","1","3","118001"
