592e7200e861431436f4eacb74b322014eb0e935dd36b552ced0fe0fddff5255,4c449a50acb5051e59c1eadc382056c52c6f03b58a1c04412dfc8d3f535dfd26,2ad951cd165e3af3c03ee4bb66b91201a1a39d4b191bc164c5cf593b20b98fc6,4ecf855ebf2f718f409fd3070ef36aa748688c0ff32516c184f515b9abc630c7,c29dc24b999dde72490f1cb80738f744aed3251b4d5d1da910a504d25de72ebe,f726a905b6b7f3c4f64f5d49427a5c66c15925dc67510a181477b6684d5aef90,870ed177788d33c5b52e7271c54633dad26f112e2ab70d23f7fdb2c663ca84a9,a27653d915f9f4642eb471da76e531acbcc9ff88ac6e092db4cb8cdee9dca545,3b4a04f8f49419004517a3114d9393c031e4b6a8e7af0f304c971cdd5444baf6
"0","4101","1","★を累計3個獲得しよう","3","3","100000001","1001","100101"
"0","4101","2","★を累計6個獲得しよう","6","6","100000002","1001","100102"
"1","4101","3","★を累計9個獲得しよう","9","9","100000003","1001","100103"
"0","4101","4","★を累計12個獲得しよう","12","12","100000004","1001","100104"
"0","4101","5","★を累計15個獲得しよう","15","15","100000005","1001","100105"
"0","4101","6","★を累計18個獲得しよう","18","18","100000006","1001","100106"
"1","4101","7","★を累計21個獲得しよう","21","21","100000007","1001","100107"
"0","4101","8","★を累計24個獲得しよう","24","24","100000008","1001","100108"
"1","4101","9","★を累計27個獲得しよう","27","27","100000009","1001","100109"
"0","4101","10","★を累計30個獲得しよう","30","30","100000010","1001","100110"
"0","4101","11","★を累計33個獲得しよう","33","33","100000011","1001","100111"
"1","4101","12","★を累計36個獲得しよう","36","36","100000012","1001","100112"
"0","4101","13","★を累計39個獲得しよう","39","39","100000013","1001","100113"
"0","4101","14","★を累計42個獲得しよう","42","42","100000014","1001","100114"
"1","4101","15","★を累計45個獲得しよう","45","45","100000015","1001","100115"
"0","4101","16","★を累計48個獲得しよう","48","48","100000016","1001","100116"
"1","4101","17","★を累計51個獲得しよう","51","51","100000017","1001","100117"
"0","4101","18","★を累計54個獲得しよう","54","54","100000018","1001","100118"
"0","4101","1","★を累計3個獲得しよう","3","3","100200001","1002","100201"
"0","4101","2","★を累計6個獲得しよう","6","6","100200002","1002","100202"
"1","4101","3","★を累計9個獲得しよう","9","9","100200003","1002","100203"
"0","4101","4","★を累計12個獲得しよう","12","12","100200004","1002","100204"
"0","4101","5","★を累計15個獲得しよう","15","15","100200005","1002","100205"
"0","4101","6","★を累計18個獲得しよう","18","18","100200006","1002","100206"
"1","4101","7","★を累計21個獲得しよう","21","21","100200007","1002","100207"
"0","4101","8","★を累計24個獲得しよう","24","24","100200008","1002","100208"
"1","4101","9","★を累計27個獲得しよう","27","27","100200009","1002","100209"
"0","4101","10","★を累計30個獲得しよう","30","30","100200010","1002","100210"
"0","4101","11","★を累計33個獲得しよう","33","33","100200011","1002","100211"
"1","4101","12","★を累計36個獲得しよう","36","36","100200012","1002","100212"
"0","4101","13","★を累計39個獲得しよう","39","39","100200013","1002","100213"
"0","4101","14","★を累計42個獲得しよう","42","42","100200014","1002","100214"
"1","4101","15","★を累計45個獲得しよう","45","45","100200015","1002","100215"
"0","4101","16","★を累計48個獲得しよう","48","48","100200016","1002","100216"
"1","4101","17","★を累計51個獲得しよう","51","51","100200017","1002","100217"
"0","4101","18","★を累計54個獲得しよう","54","54","100200018","1002","100218"
"0","4101","1","★を累計3個獲得しよう","3","3","100300001","1003","100301"
"0","4101","2","★を累計6個獲得しよう","6","6","100300002","1003","100302"
"1","4101","3","★を累計9個獲得しよう","9","9","100300003","1003","100303"
"0","4101","4","★を累計12個獲得しよう","12","12","100300004","1003","100304"
"0","4101","5","★を累計15個獲得しよう","15","15","100300005","1003","100305"
"0","4101","6","★を累計18個獲得しよう","18","18","100300006","1003","100306"
"1","4101","7","★を累計21個獲得しよう","21","21","100300007","1003","100307"
"0","4101","8","★を累計24個獲得しよう","24","24","100300008","1003","100308"
"1","4101","9","★を累計27個獲得しよう","27","27","100300009","1003","100309"
"0","4101","10","★を累計30個獲得しよう","30","30","100300010","1003","100310"
"0","4101","11","★を累計33個獲得しよう","33","33","100300011","1003","100311"
"1","4101","12","★を累計36個獲得しよう","36","36","100300012","1003","100312"
"0","4101","13","★を累計39個獲得しよう","39","39","100300013","1003","100313"
"0","4101","14","★を累計42個獲得しよう","42","42","100300014","1003","100314"
"1","4101","15","★を累計45個獲得しよう","45","45","100300015","1003","100315"
"0","4101","16","★を累計48個獲得しよう","48","48","100300016","1003","100316"
"1","4101","17","★を累計51個獲得しよう","51","51","100300017","1003","100317"
"0","4101","18","★を累計54個獲得しよう","54","54","100300018","1003","100318"
"0","4101","1","★を累計3個獲得しよう","3","3","100400001","1004","100401"
"0","4101","2","★を累計6個獲得しよう","6","6","100400002","1004","100402"
"1","4101","3","★を累計9個獲得しよう","9","9","100400003","1004","100403"
"0","4101","4","★を累計12個獲得しよう","12","12","100400004","1004","100404"
"0","4101","5","★を累計15個獲得しよう","15","15","100400005","1004","100405"
"0","4101","6","★を累計18個獲得しよう","18","18","100400006","1004","100406"
"1","4101","7","★を累計21個獲得しよう","21","21","100400007","1004","100407"
"0","4101","8","★を累計24個獲得しよう","24","24","100400008","1004","100408"
"1","4101","9","★を累計27個獲得しよう","27","27","100400009","1004","100409"
"0","4101","10","★を累計30個獲得しよう","30","30","100400010","1004","100410"
"0","4101","11","★を累計33個獲得しよう","33","33","100400011","1004","100411"
"1","4101","12","★を累計36個獲得しよう","36","36","100400012","1004","100412"
"0","4101","13","★を累計39個獲得しよう","39","39","100400013","1004","100413"
"0","4101","14","★を累計42個獲得しよう","42","42","100400014","1004","100414"
"1","4101","15","★を累計45個獲得しよう","45","45","100400015","1004","100415"
"0","4101","16","★を累計48個獲得しよう","48","48","100400016","1004","100416"
"1","4101","17","★を累計51個獲得しよう","51","51","100400017","1004","100417"
"0","4101","18","★を累計54個獲得しよう","54","54","100400018","1004","100418"
"0","4101","1","★を累計3個獲得しよう","3","3","100500001","1005","100501"
