5efeaccd54d0eee63c668d3138f74d289ef9c4abc2e98cbc3b857bcf9092dd5e,80c84d3cc341be81f3b7f26f840de674526d47eb7ee1846b5fc0178c7a56a202,78524c13186fdf44e1eb14d94d0de00ceae6e414242ac22c11c0c647cb2f1a28,d541f0fe67c5555bd65ecf0f0c23064aab005e2c01e4095647dc004d3b65870e,3fc9a055f987e72472b0f2505935b63684b727b190bd815ca702d346851c5e97,03df27a2e4e2caa1b5fce69b05a50beeafe10e472fc5c501898e5de5e8b89895,9c1b47b1e5bdb0faacbbd7ed8b57c59e88d56084387f54179cc74627edb42458,42f89607c85ecad607b644bd3b8a48682f34137242f17c403d9c28401f6d396e,005d33322a359ba48ed18fcabffce0a8d583143072ee474c1594c4a2450a6228,0d8a39bc82a6d9ecabef1e40a92519266cb98634e8ff1f93956ee9288987dcb8,0ef5701b571a484cb1adab784e6d0db3f311f876231828966f6d4b18b5d31e7c
"91002","10","8","1","283001001","2","25013","8","2","25021","31"
"91002","10","8","2","283001002","2","25013","8","2","25021","31"
"91002","10","8","3","283001003","2","25013","8","2","25021","32"
"91002","10","8","4","283001004","2","25013","8","2","25021","32"
"91002","10","8","5","283001005","2","25013","8","2","25021","33"
"91002","10","8","6","283001006","2","25013","9","2","25021","33"
"91002","10","8","7","283001007","2","25013","9","2","25021","34"
"91002","10","8","8","283001008","2","25013","9","2","25021","35"
"91002","10","8","9","283001009","2","25013","9","2","25021","35"
"91002","30","8","10","283001010","2","25013","10","2","25021","37"
"91002","10","8","11","283001011","2","25013","10","2","25021","41"
"91002","10","8","12","283001012","2","25013","11","2","25021","43"
"91002","10","8","13","283001013","2","25013","11","2","25021","46"
"91002","10","8","14","283001014","2","25013","12","2","25021","48"
"91002","10","8","15","283001015","2","25013","12","2","25021","50"
"91002","10","8","16","283001016","2","25013","13","2","25021","53"
"91002","10","8","17","283001017","2","25013","14","2","25021","55"
"91002","10","8","18","283001018","2","25013","14","2","25021","58"
"91002","10","8","19","283001019","2","25013","15","2","25021","60"
"91002","30","8","20","283001020","2","25013","15","2","25021","62"
"91002","10","8","21","283001021","2","25013","16","2","25021","68"
"91002","10","8","22","283001022","2","25013","16","2","25021","70"
"91002","10","8","23","283001023","2","25013","16","2","25021","72"
"91002","10","8","24","283001024","2","25013","17","2","25021","75"
"91002","10","8","25","283001025","2","25013","18","2","25021","77"
"91002","10","8","26","283001026","2","25013","18","2","25021","79"
"91002","10","8","27","283001027","2","25013","19","2","25021","82"
"91002","10","8","28","283001028","2","25013","19","2","25021","84"
"91002","10","8","29","283001029","2","25013","19","2","25021","86"
"91002","30","8","30","283001030","2","25013","20","2","25021","89"
"91002","10","8","31","283001031","2","25013","20","2","25021","94"
"91002","10","8","32","283001032","2","25013","21","2","25021","96"
"91002","10","8","33","283001033","2","25013","21","2","25021","99"
"91002","10","8","34","283001034","2","25013","22","2","25021","101"
"91002","10","8","35","283001035","2","25013","22","2","25021","103"
"91002","10","8","36","283001036","2","25013","23","2","25021","106"
"91002","10","8","37","283001037","2","25013","23","2","25021","108"
"91002","10","8","38","283001038","2","25013","24","2","25021","111"
"91002","10","8","39","283001039","2","25013","25","2","25021","113"
"91002","30","8","40","283001040","2","25013","25","2","25021","115"
"91002","10","8","41","283001041","2","25013","26","2","25021","121"
"91002","10","8","42","283001042","2","25013","27","2","25021","123"
"91002","10","8","43","283001043","2","25013","28","2","25021","125"
"91002","10","8","44","283001044","2","25013","28","2","25021","128"
"91002","10","8","45","283001045","2","25013","29","2","25021","130"
"91002","10","8","46","283001046","2","25013","30","2","25021","132"
"91002","10","8","47","283001047","2","25013","30","2","25021","135"
"91002","10","8","48","283001048","2","25013","31","2","25021","137"
"91002","10","8","49","283001049","2","25013","31","2","25021","139"
"91002","30","8","50","283001050","2","25013","31","2","25021","142"
"91002","10","8","51","283001051","2","25013","32","2","25021","144"
"91002","10","8","52","283001052","2","25013","32","2","25021","146"
"91002","10","8","53","283001053","2","25013","32","2","25021","149"
"91002","10","8","54","283001054","2","25013","33","2","25021","152"
"91002","10","8","55","283001055","2","25013","33","2","25021","155"
"91002","10","8","56","283001056","2","25013","33","2","25021","157"
"91002","10","8","57","283001057","2","25013","34","2","25021","160"
"91002","10","8","58","283001058","2","25013","34","2","25021","163"
"91002","10","8","59","283001059","2","25013","34","2","25021","166"
"91002","30","8","60","283001060","2","25013","35","2","25021","169"
"91002","10","8","61","283001061","2","25013","35","2","25021","171"
"91002","10","8","62","283001062","2","25013","35","2","25021","174"
"91002","10","8","63","283001063","2","25013","36","2","25021","177"
"91002","10","8","64","283001064","2","25013","36","2","25021","180"
"91002","10","8","65","283001065","2","25013","36","2","25021","182"
"91002","10","8","66","283001066","2","25013","37","2","25021","185"
"91002","10","8","67","283001067","2","25013","37","2","25021","187"
