301caca3065fc2582f6944715842613bcb62c0d7606731009972b5b08fd8e841,b76a0c12ad6a70b6ae671515119604734b6c884ec154f96ea8d8287c3d9051fa,7dd927a0682174501c568e99a3322968627758fccfdabbf0b179a54cec386b92,07eab4ac8bf7ba6c3403d9f7696a0107d8482790f85e1b6ee2687f50e88f0a83,92449b69f61a13dedd987d0250d091f013d078b197d51c9f5c556cd04f94f40b
"ひよっこ","0","26999","1","1"
"未熟者","0","26999","1","2"
"稚魚","0","26999","1","3"
"ビギナーランナー","0","26999","3","4"
"赤ちゃん","0","26999","1","5"
"ベイビー","0","26999","1","6"
"小物","0","26999","1","7"
"へっぽこ","0","26999","1","8"
"素人","0","26999","1","9"
"小魚","27000","33999","1","10"
"初心者","27000","33999","1","11"
"エンジョイランナー","27000","33999","3","12"
"若輩者","27000","33999","1","13"
"ルーキー","27000","33999","1","14"
"ガール","27000","33999","1","15"
"注目株","27000","33999","1","16"
"原石","27000","33999","1","17"
"ニューホープ","27000","33999","2","18"
"探究者","34000","50399","1","19"
"暴れん坊","34000","50399","1","20"
"申し子","34000","50399","1","21"
"奇才","34000","50399","1","22"
"大物","34000","50399","1","23"
"麒麟児","34000","50399","1","24"
"ホープ","34000","50399","1","25"
"新星","34000","50399","1","26"
"逸材","34000","50399","1","27"
"マーメイド","50400","59999","1","28"
"先輩","50400","59999","1","29"
"中級者","50400","59999","1","30"
"ビーチフラッガー","50400","59999","3","31"
"魚","50400","59999","1","32"
"チーフ","50400","59999","1","33"
"キャプテン","50400","59999","1","34"
"一人前","50400","59999","1","35"
"セミプロ","50400","59999","1","36"
"大型新人","50400","59999","1","37"
"流れ星","60000","69999","1","38"
"先生","60000","69999","1","39"
"ドルフィン","60000","69999","1","40"
"職人","60000","69999","1","41"
"レーサー","60000","69999","1","42"
"トゥンヌス","60000","69999","1","43"
"中の中","60000","69999","1","44"
"ビッグネーム","60000","69999","2","45"
"異才","60000","69999","1","46"
"エリート","60000","69999","1","47"
"仕事人","60000","69999","1","48"
"玄人","60000","69999","1","49"
"オルカ","70000","83999","1","50"
"名人","70000","83999","1","51"
"魔術師","70000","83999","1","52"
"師匠","70000","83999","1","53"
"サブマリン","70000","83999","1","54"
"スプリンター","70000","83999","2","55"
"名手","70000","83999","1","56"
"エースランナー","70000","83999","2","57"
"プロ","70000","83999","1","58"
"看板選手","70000","83999","1","59"
"第一人者","70000","83999","1","60"
"ドン","70000","83999","1","61"
"スピードスター","84000","99999","2","62"
"豪傑","84000","99999","1","63"
"プリンセス","84000","99999","1","64"
"女神","84000","99999","1","65"
"マスター","84000","99999","1","66"
"ナンバーワン","84000","99999","2","67"
"寵児","84000","99999","1","68"
"ワイルドグリフォン","84000","99999","3","69"
"ワイバーン","84000","99999","1","70"
"エキスパート","84000","99999","2","71"
"トップランナー","84000","99999","2","72"
"韋駄天","100000","119999","1","73"
"クイーン","100000","119999","1","74"
"チャンピオン","100000","119999","2","75"
"天才ランナー","100000","119999","2","76"
"レコードホルダー","100000","119999","3","77"
"極致","100000","119999","1","78"
"ネプテリオン","100000","119999","2","79"
"シードレイク","100000","119999","2","80"
"女傑","100000","119999","1","81"
"革命家","100000","119999","1","82"
"ビッグスター","100000","119999","2","83"
"ファンタジスタ","120000","999999","2","84"
"スーパースター","120000","999999","2","85"
"ワールドチャンプ","120000","999999","3","86"
"レジェンド","120000","999999","1","87"
"超人","120000","999999","1","88"
"トルペドン","120000","999999","1","89"
"カルキノス","120000","999999","1","90"
"アクアリオス","120000","999999","2","91"
"至宝","120000","999999","1","92"
"グランドマスター","120000","999999","3","93"
"英雄","120000","999999","1","94"
"天下取り","120000","999999","1","95"
