ee18555f9352dabcd5d8161c5a46884e1019bf42b499ca3b0a75d46146764f1b,c3d806a43bbb21e0b9d8937cfb14783b3d50ffbfe0df5baf8d51b148b37f1e70,fee484c7cbc4ac827fc64355fd519c0f21934561034099b0b1131154b5447ffd,44d5df7b07fa612efcd89db23212abd5961691bcc7a22e0c7e616378bfe0ab61,eefc0b6cf90e9e9a94528d0d349714abb25d5940485f5446ef504739d10959cf,825fe0952f9a46b8945dd5293a9524ac133c7ff4e484ea60da1fdd378caca4c4,d7a48d9eafe08ce73ef952edc8b2ccf1baa35ad6c12b6028549411b307220fa4,05d000d75c5e1d4bd5cc3bfa2226849add91df9170ab43f45b30b17785164a07,41848bbaed7067426a02b07564c4d396c267c50f13a9d76bbdee18fe0a041f78,fed27e5d07d0a8881c8bfa6cb56285299e610514af64a1abec6fbe1edcfb4ff6,c3c9a7c2bacfc5b0955fd94f2561dae836dd1521523ed03e69bd455132df8652,5f0a7c28a6babebe3d0c695f8bad87089f057b167a9a119bc6e765727358111f
"0","0","279","30","0","26","1","0.05","0","0.025","0","22"
"0","0","270","29","0","25","2","0.05","0","0.025","0","21"
"0","0","261","28","0","24","3","0.05","0","0.025","0","20"
"0","0","252","27","0","23","4","0.05","0","0.025","0","19"
"0","0","243","26","0","22","5","0.05","0","0.025","0","18"
"0","0","234","25","0","21","6","0.05","0","0.025","0","17"
"0","0","225","24","0","20","7","0.05","0","0.025","0","16"
"0","0","216","23","0","19","8","0.05","0","0.025","0","15"
"0","0","207","22","0","18","9","0.05","0","0.025","0","14"
"0","0","198","21","0","17","10","0.05","0","0.025","0","13"
"0","0","189","20","0","16","11","0.05","0","0.025","0","12"
"0","0","180","19","0","15","12","0.05","0","0.025","0","11"
"0","0","171","18","0","14","13","0.05","0","0.025","0","10"
"0","0","161","17","0","13","14","0.05","0","0.025","0","9"
"0","0","152","16","0","12","15","0.05","0","0.025","0","8"
"0","0","143","15","0","11","16","0.05","0","0.025","0","7"
"0","0","134","14","0","10","17","0.05","0","0.025","0","6"
"0","0","125","13","0","9","18","0.05","0","0.025","0","5"
"0","0","116","12","0","8","19","0.05","0","0.025","0","4"
"0","0","107","11","0","7","20","0.05","0","0.025","0","3"
"0","0","101","10","0","6","21","0.05","0","0.025","0","2"
"0","0","1","0","0","0","22","0","0","0","0","0"
