153985bc0c038c533303496d9a90cce6b4cef24ef652b5129540e95232779246,680a49637243ac07e06daf08931a30e972f14b360f5bdce0f901a9fba3afdf49,05a9311b3408870e71e6c91dbf5443b0596ae31a3b096bc20dba8225992a92df,07a7881ca496ce019451f80ca92b3e49750629b3540c24235d9dc3f20da47270,383a9c9d884b9180845b4167966acac4fa659ca77f2bbd65ebd5d172fbeee976,3ee6df5b40fc8eae19d4160ceeb48f813c35f2d8f6d9f225b231c9270240cabf,653dded330ab23659b3f699a240bcd2ec8f72eed0dbcabb8d4217cd382b23041,f64e658f099cefdd4485c229943af72951f3669e52e3cf6e4aefaa49b3061705,aa1de190aa690d4eb92aefe3d5fb488deb665bad7e354d31fcc99846fedfdd28,84f04d9b0b3d68354638c26a13d8bdda591f603a4410d84a53efb52b389bffb6
"","0","0","1010001","2","vo_10011600","vo_10011600_0101","0","1","1"
"　明日から","0","8","1010002","1","0","0","0","1","2"
"","1","0","1010003","4","0","0","1.625","1","3"
"聖テレサ女学院に通うことになっちゃった！","0","10","1010004","1","0","0","0","1","4"
"","1","0","1010005","4","0","0","4","1","5"
"","0","0","1010006","2","vo_10011600","vo_10011600_0102","0","1","6"
"　なんで、","0","8","1010007","1","0","0","0","1","7"
"","1","0","1010008","4","0","0","1.375","1","8"
"どうしてこんなことになっちゃったんだろう。\n","0","9","1010009","1","0","0","0","1","9"
"","1","0","1010010","4","0","0","3.33333333333333","1","10"
"","0","0","1010011","2","vo_10011600","vo_10011600_0103","0","1","11"
"ミサト先生は","0","8","1010012","1","0","0","0","1","12"
"","1","0","1010013","4","0","0","1.75","1","13"
"私ならきっとやれると言ってくれたけど……","0","10","1010014","1","0","0","0","1","14"
"","1","0","1010015","4","0","0","3","1","15"
"絶対ムリだー！\n","0","8","1010016","1","0","0","0","1","16"
"","1","0","1010017","4","0","0","3.875","1","17"
"","0","0","1010018","2","vo_10011600","vo_10011600_0104","0","1","18"
"でも。","0","8","1010019","1","0","0","0","1","19"
"","1","0","1010020","4","0","0","2.375","1","20"
"でも……","0","8","1010021","1","0","0","0","1","21"
"","1","0","1010022","4","0","0","2.5","1","22"
"","0","0","1010023","2","vo_10011600","vo_10011600_0105","0","1","23"
"でも、","0","8","1010024","1","0","0","0","1","24"
"","1","0","1010025","4","0","0","1.375","1","25"
"もしも、","0","8","1010026","1","0","0","0","1","26"
"","1","0","1010027","4","0","0","1.5","1","27"
"私が聖テレサ女学院で頑張ることが出来たら。\n\n","0","8","1010028","1","0","0","0","1","28"
"","1","0","1010029","4","0","0","4.875","1","29"
"","0","0","1010030","2","vo_10011600","vo_10011600_0106","0","1","30"
"……友達、","0","6","1010031","1","0","0","0","1","31"
"","1","0","1010032","4","0","0","1.58333333333333","1","32"
"できるかな？","0","8","1010033","1","0","0","0","1","33"
"","1","0","1010034","4","0","0","1.75","1","34"
"","0","0","1020001","2","vo_10011600","vo_10011600_0201","0","2","1"
