a756e7fa6e880bcb1168f710a3e0c9b6fa7fd5761646b6d3e4587e35b3564e5c,82396c7a1430322d52d0f09d79060eaae47856a67617214419a7e44cd5a75bd4,0328f8f053a28ad09d767c9754d5b17bdded0d8d5f10e07122bd0601eabc4291,0b812fb8415b77e0f26273877dcad62fd31260873af51ac79d6c2f4158ba197a,5fbac6c620997b72b1507c2971d68110272bf26c015f3aa8c7ac4fa7a4c30fac
"1","1","150","0","1038"
"2","2","151","0","1038"
"3","3","152","0","1038"
"4","4","153","0","1038"
"5","5","154","0","1038"
"6","1","156","0","1039"
"7","2","157","0","1039"
"8","3","158","0","1039"
"9","4","159","0","1039"
"10","5","160","0","1039"
"11","1","162","0","1040"
"12","2","163","0","1040"
"13","3","164","0","1040"
"14","4","165","0","1040"
"15","5","166","0","1040"
"16","1","168","0","1041"
"17","2","169","0","1041"
"18","3","170","0","1041"
"19","4","171","0","1041"
"20","5","172","0","1041"
"21","1","174","0","1042"
"22","2","175","0","1042"
"23","3","176","0","1042"
"24","4","177","0","1042"
"25","5","178","0","1042"
"26","1","180","0","1043"
"27","2","181","0","1043"
"28","3","182","0","1043"
"29","4","183","0","1043"
"30","5","184","0","1043"
"31","1","186","0","1044"
"32","2","187","0","1044"
"33","3","188","0","1044"
"34","4","189","0","1044"
"35","5","190","0","1044"
"36","1","192","0","1045"
"37","2","193","0","1045"
"38","3","194","0","1045"
"39","4","195","0","1045"
"40","5","196","0","1045"
"41","1","198","0","1046"
"42","2","199","0","1046"
"43","3","200","0","1046"
"44","4","201","0","1046"
"45","5","202","0","1046"
"46","1","204","0","1047"
"47","2","205","0","1047"
"48","3","206","0","1047"
"49","4","207","0","1047"
"50","5","208","0","1047"
"51","1","210","0","1048"
"52","2","211","0","1048"
"53","3","212","0","1048"
"54","4","213","0","1048"
"55","5","214","0","1048"
"56","1","216","0","1049"
"57","2","217","0","1049"
"58","3","218","0","1049"
"59","4","219","0","1049"
"60","5","220","0","1049"
"61","1","222","0","1050"
"62","2","223","0","1050"
"63","3","224","0","1050"
"64","4","225","0","1050"
"65","5","226","0","1050"
"66","1","228","0","1051"
"67","2","229","0","1051"
"68","3","230","0","1051"
"69","4","231","0","1051"
"70","5","232","0","1051"
"71","1","234","0","1052"
"72","2","235","0","1052"
"73","3","236","0","1052"
"74","4","237","0","1052"
"75","5","238","0","1052"
"76","1","240","0","1053"
"77","2","241","0","1053"
"78","3","242","0","1053"
"79","4","243","0","1053"
"80","5","244","0","1053"
"81","1","246","0","1054"
"82","2","247","0","1054"
"83","3","248","0","1054"
"84","4","249","0","1054"
"85","5","250","0","1054"
"86","1","252","0","1055"
"87","2","253","0","1055"
"88","3","254","0","1055"
"89","4","255","0","1055"
"90","5","256","0","1055"
"91","1","258","0","1056"
"92","2","259","0","1056"
"93","3","260","0","1056"
"94","4","261","0","1056"
"95","5","262","0","1056"
"96","1","264","0","1057"
"97","2","265","0","1057"
"98","3","266","0","1057"
"99","4","267","0","1057"
"100","5","268","0","1057"
"101","1","270","0","1058"
"102","2","271","0","1058"
"103","3","272","0","1058"
"104","4","273","0","1058"
"105","5","274","0","1058"
"106","1","276","0","1059"
"107","2","277","0","1059"
"108","3","278","0","1059"
"109","4","279","0","1059"
"110","5","280","0","1059"
"111","1","282","0","1060"
"112","2","283","0","1060"
"113","3","284","0","1060"
"114","4","285","0","1060"
"115","5","286","0","1060"
"116","1","288","0","1061"
"117","2","289","0","1061"
"118","3","290","0","1061"
"119","4","291","0","1061"
"120","5","292","0","1061"
"121","1","294","0","1063"
"122","2","295","0","1063"
"123","3","296","0","1063"
"124","4","297","0","1063"
"125","1","299","0","1064"
"126","2","300","0","1064"
"127","3","301","0","1064"
"128","4","302","0","1064"
"129","1","304","0","1065"
"130","2","305","0","1065"
"131","3","306","0","1065"
"132","4","307","0","1065"
"133","1","308","0","1066"
"134","2","310","0","1066"
"135","3","311","0","1066"
"136","4","312","0","1066"
"137","1","313","0","1067"
"138","2","315","0","1067"
"139","3","316","0","1067"
"140","4","317","0","1067"
"141","1","318","0","1068"
"142","2","320","0","1068"
"143","3","321","0","1068"
"144","4","322","0","1068"
"145","1","323","0","1069"
"146","2","325","0","1069"
"147","3","326","0","1069"
"148","4","327","0","1069"
"149","1","328","0","1070"
