fdb1b95935acdaadffa207b0391d71bdb517953a9b31ed29684cabaafdbb1406,815c5ffd63f637819ced694a44f58db97c3bfa782dd0f51ba6133e79d0bc01d4,5a79dd255b9945877197711cba8877caaa406cf4deff3b007db65724b2264a25,b1392e581c0073749878423cb81002a8b2979dcbd1fe7a4bc7c616d01dcf4f90,4164d4ab8a1a5846c431d3e910ee840b78ee1a71145a2107f39f1e7a2d68328a,d245335c241dc6a693bb92a5df154a348da04c73939c407818ef382b37ab2ddc,760d0916cf2948c6f23bc8459ce08236f57bf4eacfddb1dffddd6dcc533eeae8,0c67c0dc4091674dfbef76f3d8d3b3f1e29bb969aeb126b256c8f4dc5882a0ea
"10012103","1","10012","0","0","1001201","0","0"
"10012107","2","10012","0","0","1001202","0","0"
"10012109","3","10012","0","0","1001203","0","0"
"10012114","4","10012","0","1001201","1001204","0","0"
"10012114","5","10012","0","1001202","1001204","0","0"
"10012114","6","10012","0","1001203","1001204","0","0"
"20012103","7","20012","0","0","2001201","0","0"
"20012107","8","20012","0","0","2001202","0","0"
"20012109","9","20012","0","0","2001203","0","0"
"20012114","10","20012","0","2001201","2001204","0","0"
"20012114","11","20012","0","2001202","2001204","0","0"
"20012114","12","20012","0","2001203","2001204","0","0"
