4dd064470b1d593ee68f61beeebbb5b5168ae2ecbfcf92c229ae0713de94e63c,35c9879aaa2cfc578bf5fd1109f17f97efa3bc691f6033b9b36d58cebd5f398b,3d1ed8aebe3f251a02b17544da90964be706927ab4f526c73f1a30ca105fcdb9,0f2782cfdbfed0bb1eea8155d40c7d0beeb6841ab5ba3f0732a85549ee8e2707,9f0801be94bb57b77c8e901d3c4a5373ebe8f0c415ce7b12f6fa5b1891d717f0,596c637ba180352f658c083620cc898c32a568af8571323758c6f2b74d7261af,e022505a31fe463f737c49017b248650983bf5ea8a99da85ef0d630eb723d359,68c6ddc3d839cbd6478bd5d39b6712b24793040a277825693bfd41dedd6af227,7a005ab595ef495283dcc0a674a3d7295d1866bc025d0c693309246e6f2b30be,264718a0f5b177a760efa41330bca4fe4f2c02d41fd8af90ba48adbe89d7b2d8,6224f71fae09f008a77b16157e9c51efbc3c22015e6650b6c1c5b33c02eb86c8
"31","2","8","25011","8","25021","10","91002","1","2","281001001"
"31","2","8","25011","8","25021","10","91002","2","2","281001002"
"32","2","8","25011","8","25021","10","91002","3","2","281001003"
"32","2","8","25011","8","25021","10","91002","4","2","281001004"
"33","2","8","25011","8","25021","10","91002","5","2","281001005"
"33","2","8","25011","9","25021","10","91002","6","2","281001006"
"34","2","8","25011","9","25021","10","91002","7","2","281001007"
"35","2","8","25011","9","25021","10","91002","8","2","281001008"
"35","2","8","25011","9","25021","10","91002","9","2","281001009"
"37","2","8","25011","10","25021","30","91002","10","2","281001010"
"41","2","8","25011","10","25021","10","91002","11","2","281001011"
"43","2","8","25011","11","25021","10","91002","12","2","281001012"
"46","2","8","25011","11","25021","10","91002","13","2","281001013"
"48","2","8","25011","12","25021","10","91002","14","2","281001014"
"50","2","8","25011","12","25021","10","91002","15","2","281001015"
"53","2","8","25011","13","25021","10","91002","16","2","281001016"
"55","2","8","25011","14","25021","10","91002","17","2","281001017"
"58","2","8","25011","14","25021","10","91002","18","2","281001018"
"60","2","8","25011","15","25021","10","91002","19","2","281001019"
"62","2","8","25011","15","25021","30","91002","20","2","281001020"
"68","2","8","25011","16","25021","10","91002","21","2","281001021"
"70","2","8","25011","16","25021","10","91002","22","2","281001022"
"72","2","8","25011","16","25021","10","91002","23","2","281001023"
"75","2","8","25011","17","25021","10","91002","24","2","281001024"
"77","2","8","25011","18","25021","10","91002","25","2","281001025"
"79","2","8","25011","18","25021","10","91002","26","2","281001026"
"82","2","8","25011","19","25021","10","91002","27","2","281001027"
"84","2","8","25011","19","25021","10","91002","28","2","281001028"
"86","2","8","25011","19","25021","10","91002","29","2","281001029"
"89","2","8","25011","20","25021","30","91002","30","2","281001030"
"94","2","8","25011","20","25021","10","91002","31","2","281001031"
"96","2","8","25011","21","25021","10","91002","32","2","281001032"
"99","2","8","25011","21","25021","10","91002","33","2","281001033"
"101","2","8","25011","22","25021","10","91002","34","2","281001034"
"103","2","8","25011","22","25021","10","91002","35","2","281001035"
"106","2","8","25011","23","25021","10","91002","36","2","281001036"
"108","2","8","25011","23","25021","10","91002","37","2","281001037"
"111","2","8","25011","24","25021","10","91002","38","2","281001038"
"113","2","8","25011","25","25021","10","91002","39","2","281001039"
"115","2","8","25011","25","25021","30","91002","40","2","281001040"
"121","2","8","25011","26","25021","10","91002","41","2","281001041"
"123","2","8","25011","27","25021","10","91002","42","2","281001042"
"125","2","8","25011","28","25021","10","91002","43","2","281001043"
"128","2","8","25011","28","25021","10","91002","44","2","281001044"
"130","2","8","25011","29","25021","10","91002","45","2","281001045"
"132","2","8","25011","30","25021","10","91002","46","2","281001046"
"135","2","8","25011","30","25021","10","91002","47","2","281001047"
"137","2","8","25011","31","25021","10","91002","48","2","281001048"
"139","2","8","25011","31","25021","10","91002","49","2","281001049"
"142","2","8","25011","31","25021","30","91002","50","2","281001050"
"144","2","8","25011","32","25021","10","91002","51","2","281001051"
"146","2","8","25011","32","25021","10","91002","52","2","281001052"
"149","2","8","25011","32","25021","10","91002","53","2","281001053"
"152","2","8","25011","33","25021","10","91002","54","2","281001054"
"155","2","8","25011","33","25021","10","91002","55","2","281001055"
"157","2","8","25011","33","25021","10","91002","56","2","281001056"
"160","2","8","25011","34","25021","10","91002","57","2","281001057"
"163","2","8","25011","34","25021","10","91002","58","2","281001058"
"166","2","8","25011","34","25021","10","91002","59","2","281001059"
"169","2","8","25011","35","25021","30","91002","60","2","281001060"
"171","2","8","25011","35","25021","10","91002","61","2","281001061"
"174","2","8","25011","35","25021","10","91002","62","2","281001062"
"177","2","8","25011","36","25021","10","91002","63","2","281001063"
"180","2","8","25011","36","25021","10","91002","64","2","281001064"
"182","2","8","25011","36","25021","10","91002","65","2","281001065"
"185","2","8","25011","37","25021","10","91002","66","2","281001066"
"187","2","8","25011","37","25021","10","91002","67","2","281001067"
"190","2","8","25011","37","25021","10","91002","68","2","281001068"
"193","2","8","25011","38","25021","10","91002","69","2","281001069"
"196","2","8","25011","38","25021","30","91002","70","2","281001070"
"200","2","8","25011","39","25021","10","91002","71","2","281001071"
"204","2","8","25011","39","25021","10","91002","72","2","281001072"
"208","2","8","25011","40","25021","10","91002","73","2","281001073"
"212","2","8","25011","40","25021","10","91002","74","2","281001074"
"216","2","8","25011","41","25021","10","91002","75","2","281001075"
"220","2","8","25011","41","25021","10","91002","76","2","281001076"
"224","2","8","25011","42","25021","10","91002","77","2","281001077"
"228","2","8","25011","42","25021","10","91002","78","2","281001078"
"232","2","8","25011","43","25021","10","91002","79","2","281001079"
"236","2","8","25011","43","25021","30","91002","80","2","281001080"
"240","2","8","25011","44","25021","10","91002","81","2","281001081"
"244","2","8","25011","44","25021","10","91002","82","2","281001082"
"248","2","8","25011","45","25021","10","91002","83","2","281001083"
"252","2","8","25011","45","25021","10","91002","84","2","281001084"
"256","2","8","25011","46","25021","10","91002","85","2","281001085"
"260","2","8","25011","46","25021","10","91002","86","2","281001086"
"264","2","8","25011","47","25021","10","91002","87","2","281001087"
"268","2","8","25011","47","25021","10","91002","88","2","281001088"
"272","2","8","25011","48","25021","10","91002","89","2","281001089"
"276","2","8","25011","48","25021","30","91002","90","2","281001090"
"280","2","8","25011","49","25021","10","91002","91","2","281001091"
"284","2","8","25011","49","25021","10","91002","92","2","281001092"
"288","2","8","25011","50","25021","10","91002","93","2","281001093"
"292","2","8","25011","50","25021","10","91002","94","2","281001094"
"296","2","8","25011","51","25021","10","91002","95","2","281001095"
"300","2","8","25011","51","25021","10","91002","96","2","281001096"
"304","2","8","25011","52","25021","10","91002","97","2","281001097"
"308","2","8","25011","52","25021","10","91002","98","2","281001098"
"312","2","8","25011","53","25021","10","91002","99","2","281001099"
"316","2","8","25011","53","25021","30","91002","100","2","281001100"
