030b5b3844db594fea456beb62e8dbd09cad147faf42d9af90f6b47ef304ad76,fa77a31d3b52fa99bf6fa003c39e0800dc29127e581cfe50a76d0cbb14d64122,02de0a3aee1d8fcbc30da6f8486c9ba205041448bff32bfc7a870e8e8968c0ab,499ef1a2345bd28366b99621632f5d0f2f8d6eb528cb82ccb8c8d31573bdddf2,f50048da3dacbb90cf71d9121f7f3e62d40c565efce4cb3f0a865dcc3a0ab204,d6f44574bd75f4115e57a646613d363f59fc2ecbfa4ae6f7e26130e476ffa27e
"9","500040","春咲 ひより","0","ランドソル ギルドハウス","100101"
"4","500040","草野 優衣","0","ランドソル ギルドハウス","100201"
"3","500040","士条 怜","0","ランドソル ギルドハウス","100301"
"4","500140","穂高 みそぎ","0","プラノ平原","100401"
"4","500090","織原 茉莉","0","ランドソル 王城入口","100501"
"4","500260","風宮 あかり","0","古城","100601"
"4","500260","出雲 宮子","0","古城","100701"
"4","500140","虹村 雪","0","プラノ平原","100801"
"3","500050","柊杏奈","0","ランドソル 飲食店内","100901"
"4","500060","姫宮 真歩","0","自警団 拠点","101001"
"4","500030","衣之咲 璃乃","0","ランドソル 繁華街","101101"
"3","500180","柏崎 初音","0","エルフの森","101201"
"2","500050","丹野 七々香","0","ランドソル 飲食店内","101301"
"4","500060","霧原 かすみ","0","自警団 拠点","101401"
"4","500180","愛川 美里","0","エルフの森","101501"
"9","500080","美波 鈴奈","0","ルーセント学院","101601"
"4","500060","喜屋武 香織","0","自警団 拠点","101701"
"4","500080","支倉 伊緒","0","ルーセント学院","101801"
"2","500140","茜 ミミ","0","プラノ平原","102001"
"5","500110","栗林 くるみ","0","サレンディア救護院 広間","102101"
"4","500260","風宮 より","0","古城","102201"
"4","500110","北条 綾音","0","サレンディア救護院 広間","102301"
"10","500110","天野 すずめ","0","サレンディア救護院 広間","102501"
"3","500150","森近 鈴","0","牧場 拠点","102601"
"4","500050","倉石 恵理子","0","ランドソル 飲食店内","102701"
"4","500110","佐々木 咲恋","0","サレンディア救護院 広間","102801"
"1","500010","桜井 望","0","ランドソル 市街地","102901"
"4","500140","ニノン・ジュベール","0","プラノ平原","103001"
"4","500260","上喜 しのぶ","0","古城","103101"
"4","500070","藤堂 秋乃","0","メルクリウス財団 拠点","103201"
"9","500150","野戸まひる","0","牧場 拠点","103301"
"4","500070","綾瀬 ゆかり","0","メルクリウス財団 拠点","103401"
"1","500140","氷川 鏡華","0","プラノ平原","103601"
"2","500090","御久間 智","0","ランドソル 王城入口","103701"
"2","500150","柏崎 栞","0","牧場 拠点","103801"
"2","500180","双葉 碧","0","エルフの森","104001"
"4","500010","三角 千歌","0","ランドソル 市街地","104201"
"2","500060","安芸 真琴","0","自警団 拠点","104301"
"4","500260","イリヤ・オーンスタイン","0","古城","104401"
"4","500140","遠見 空花","0","プラノ平原","104501"
"3","500070","宮坂たまき","0","メルクリウス財団 拠点","104601"
"1","500090","白銀 純","0","ランドソル 王城入口","104701"
"2","500070","大神 美冬","0","メルクリウス財団 拠点","104801"
"4","500030","星野静流","0","ランドソル 繁華街","104901"
"2","500080","玉泉美咲","0","ルーセント学院","105001"
"6","500050","宵ヶ浜 深月","0","ランドソル 飲食店内","105101"
"9","500150","リマ","0","牧場 拠点","105201"
"2","500140","モニカ・ヴァイスヴィント","0","プラノ平原","105301"
"9","500010","繭宮つむぎ","0","ランドソル 市街地","105401"
"15","500140","石橋あゆみ","0","プラノ平原","105501"
"3","500050","太刀洗流夏","0","ランドソル 飲食店内","105601"
"4","500200","ジータ","0","ブリザ渓谷","105701"
"3","500130","ペコリーヌ","0","エステレラ街道","105801"
