adbff9b4a424018a68748bf89c34e22b51dd398e4b4a96c24078e8fc5162ff30,7821b09e1b51e9ddb8274726517ea9012b84ab03be99a7292cb82d80a1395b3c,ff8ab0359a36aaf8ac99a52a52eade5c782ffd74e6494541d038287b13af0e4a,d033b825a4be25527f14e8bf5bd4b5d5e7bd689119b17d1236c08d47579ea453,aea25a31bff5a9c071a2efcf9495195e9d7f6b8057094ce92f37a925cd03e8b8,c7703a7755506af7a82285cff18a0d3a1de11de00c2bf35d9d20b02f5ee67a14,80a7786a500ec096f0b9474d5f3189c0c806a8c50833e0e0d444ff44fd8bfaea,275e765c836a95e1ff0769dd2fd275daa35140f4f1c906c5c3c2753bdd26f140,f1ab938215c5d9d6a5f2f0df13ca3dd6c4ae4acb983dea3388b16b1505f75530,7f404d59e24a83bbc6d259a8590270ba0938b35630d0b93b6faaeeffbd127501,16483701fdd67cb26548a88f501bbe3c87a250250f0458be73a24f79120217d4
"1","1","5152061","1.55","110311","idle_normal","1","-280","110","61001","382"
"0","1","5152061","1.55","131911","idle_normal","1","-210","106","61002","145"
"0","1","5152061","1.55","102311","joy_idle_normal","1","-225","107","61003","-50"
"0","1","5152061","1.55","102111","wish_idle","1","-240","108","61004","-245"
"0","1","5152061","1.55","107711","idle_normal","1","-255","109","61005","-440"
"0","1","5152061","1.45","122811","doya_idle","1","-105","103","61006","40"
"0","1","5152061","1.45","122911","idle_normal","1","-120","104","61007","-160"
"0","1","5152061","1.45","122711","idle_normal","1","-135","105","61008","-355"
"","110311","5152061","","210","","13","","","61009",""
"","131911","5152061","","206","","13","","","61010",""
"","107711","5152061","","209","","13","","","61011",""
"","122711","5152061","","205","","13","","","61012",""
"","122811","5152061","","203","","13","","","61013",""
"","122911","5152061","","204","","13","","","61014",""
"","102111","5152061","","208","","13","","","61015",""
"","102311","5152061","","207","","13","","","61016",""
"0","2","5152061","0.75","2","empty","5","160","210","61017","-110"
"0","3","5152061","1","3","empty","5","-45","210","61018","352"
"","1","5152061","1","1","","31","1","0","61019","0"
"","2","5152061","0","2","","31","1","0","61020","0"
"","3","5152061","1","3","","31","1","0","61021","0"
"","11","5152061","0","11","","31","1","0","61022","0"
"","0","5152061","","0","","91","","","61023",""
"","3","5152061","","telop_1","","37","","","61024",""
"","0","5152061","","0","","102","","0","61025",""
"","1","5152061","","0","","93","","","61026",""
"0","110311","5152061","0.2","callout_in","","3","1","0","61027","callout_loop"
"","0.1","5152061","","0","","93","","","61028",""
"","vo_rag","5152061","","vo_rag_6001","","21","","0","61029","0"
"","3","5152061","0","1001_in","","3","","0","61030",""
"","1.9","5152061","","1","","93","","","61031",""
"","3","5152061","0","1001_mid","","3","","0","61032",""
"","","5152061","","","","92","","","61033",""
"","3","5152061","0","1001_out","","3","","0","61034",""
"","0.2","5152061","","0","","93","","","61035",""
"","110311","5152061","0.3","doya_idle_joy1R","","3","","1","61036",""
"0","102311","5152061","0.2","gutsB_in_joy","","3","1","0","61037","gutsB_talk_joy"
"","102111","5152061","0.2","wish_talk","","3","","1","61038",""
"0","131911","5152061","0.2","hello_2","","3","1","0","61039","idle_normal_joy"
"","107711","5152061","0.2","sad_talk_joy","","3","","1","61040",""
"0","122811","5152061","0.2","handsup_in","","3","1","0","61041","handsup_loop"
"","122911","5152061","0.2","leanforward_joy","","3","","1","61042",""
"","122711","5152061","0.2","talk_normal","","3","","1","61043",""
"","vo_rag","5152061","","vo_rag_6002","","21","","0","61044","0"
"","3","5152061","","-110","","2","0","142","61045","0"
"","3","5152061","0","1002_in","","3","","0","61046",""
"","1.9","5152061","","1","","93","","","61047",""
"","3","5152061","0","1002_mid","","3","","0","61048",""
"","","5152061","","","","92","","","61049",""
"","3","5152061","0","1002_out","","3","","0","61050",""
"","102311","5152061","0.2","gutsB_idle","","3","","1","61051",""
"","102111","5152061","0.2","wish_idle","","3","","1","61052",""
"","131911","5152061","0.2","idle_normal","","3","","1","61053",""
"","107711","5152061","0.2","sad_idle_normal","","3","","1","61054",""
"","122811","5152061","0.2","cool_idle","","3","","1","61055",""
