6e87856317065517c4b83cc95a6b30fa35eb5e13cb377ba905c6967233a9a853,18a0fa9decfb70bc94ab341b9d3272d99b7b953e2a593112192aa16fa03f245b,ad4d88c60fade9d83348771ceb50cdf536e84d46bcbbaf2edd64fe89080aa602,450209f20bec94c8cdcf2890c743a60975b0b308b1d342114e46dd25a8864435,7537d08d69553daf321013674c1e7df0a6d0c698cbd55c0e9a9ae04da4b9fe92,f9e63d3e52ed7dc2410168c3a1137bdde38cab5e7bf3a0bea91edbba492ee5c3,1f5cc02e8954b5d5ae39fe4d5269710449637d894cf965b4de61ee85140d65eb,b2b2c26f91a7a9510cf1ba143d517386cafbcd1ef39d6732b84c652920f9a6c7,6709f8df5c8bf228e232a143521d546764bff5b3deaefe2deac19aae70cf708b,08ac3cb876047d8c207646709f21be2787c12a5d097cef10c5d8301ca48f8902,1ff300707ff65704932506dbf112e415674b5fc69acd232b61be4120147c1548
"-100","-250","0","<weapon>_idle","1","55","2","1001","1000001","1.3","110010001"
"0","1","","","31","0","100","1001","100","1","110010002"
"0","1","","","31","0","101","1001","101","0","110010003"
"0","1","","","31","0","4","1001","4","1","110010004"
"0","1","","","31","94.5","5","1001","5","1","110010005"
"","","","","91","","0","1001","0","","110010006"
"","","","","93","","0.4","1001","0","","110010007"
"","","","","3","0","1000001","1001","<weapon>_joy_short","0.2","110010008"
"","","","","93","","1.3","1001","0","","110010009"
"","","","","3","1","1000001","1001","<weapon>_run","0","110010010"
"1","0","","","2","-250","1000001","1001","800","","110010011"
"","","","","93","","0.7","1001","0","","110010012"
"","","","","32","","101","1001","1","","110010013"
"","","","","93","","0.7","1001","0","","110010014"
"-640","-250","0","<weapon>_run","1","55","2","1101","1000001","1.3","111010001"
"0","1","","","31","0","100","1101","100","1","111010002"
"0","1","","","31","0","101","1101","101","0","111010003"
"0","1","","","31","0","4","1101","4","1","111010004"
"","","","","35","","4","1101","0","","111010005"
"0","1","","","31","0","5","1101","5","1","111010006"
"0","1","","","31","0","10","1101","10","1","111010007"
"","","","","91","","0","1101","","","111010008"
"","","","","35","","100","1101","1","","111010009"
"2.1","0","","","2","-250","1000001","1101","640","","111010010"
"","","","","93","","1.7","1101","0","","111010011"
"","","","","32","","101","1101","1","","111010012"
"","","","","93","","0.7","1101","0","","111010013"
"0","-240","0","look_loop","1","55","1","2001","1000001","1.3","120010001"
"0","1","0","","31","0","1","2001","1","0","120010002"
"","","","","35","","1","2001","0","","120010003"
"","","","","32","","1","2001","1","","120010004"
"0","1","0","","31","345.4","2","2001","2","1","120010005"
"","","","","35","","2","2001","0","","120010006"
"0","1","0","","31","345.4","3","2001","3","0","120010007"
"","","","","35","","3","2001","0","","120010008"
"","","","","32","","3","2001","1","","120010009"
"0","1","","","31","-345.4","31000001","2001","31000001","1","120010010"
"0","1","","","31","345.4","31000002","2001","31000002","1","120010011"
"0","1","","","31","0","100","2001","100","1","120010012"
"0","1","","","31","0","101","2001","101","0","120010013"
"","","","","91","","0","2001","","","120010014"
"","","","","35","","100","2001","1","","120010015"
"look_loop","1","0","","3","0","1000001","2001","look_in","0","120010016"
"","","","","93","","1.3","2001","0","","120010017"
"0","1","","","31","0","12","2101","998","0","121010001"
"0","1","","","31","0","14","2101","997","0","121010002"
"0","1","","","31","0","16","2101","996","0","121010003"
"","","","","32","","31000001","2101","0","","121010004"
"","","","","32","","31000002","2101","0","","121010005"
"1","0","","","121","-1","0","2101","0","0","121010006"
"","","","","35","","1","2101","1","","121010007"
"","","","","35","","3","2101","1","","121010008"
"","","","","3","0","1000001","2101","pointing","0","121010009"
"","","","","93","","1","2101","0","","121010010"
"1.47","2","","","121","-1.47","505","2101","100","0","121010011"
"","","","","3","1","1000001","2101","run_talk1","0.2","121010012"
"1","0","","","2","-240","1000001","2101","100","","121010013"
"","","","","23","0","se_travel","2101","se_travel_treasure_cha_run","","121010014"
"","","","","93","","1","2101","0","","121010015"
"0","1","","","31","0","11","2201","998","0","122010001"
"0","1","","","31","0","13","2201","997","0","122010002"
"0","1","","","31","0","15","2201","996","0","122010003"
"","","","","32","","31000001","2201","0","","122010004"
"","","","","32","","31000002","2201","0","","122010005"
"","","","","35","","1","2201","1","","122010006"
"","","","","35","","3","2201","1","","122010007"
"","","","","3","0","1000001","2201","pointing","0","122010008"
"","","","","93","","1","2201","0","","122010009"
"1.47","2","","","121","1.47","-505","2201","100","0","122010010"
"","","","","3","1","1000001","2201","run_talk1","0.2","122010011"
"1","0","","","2","-240","1000001","2201","100","","122010012"
"","","","","23","0","se_travel","2201","se_travel_treasure_cha_run","","122010013"
"","","","","93","","1","2201","0","","122010014"
"0","1","","","31","345.4","300000","3000","300000","0","130000001"
"","","","","91","","0","3000","","","130000002"
"1.05","7.4","","","123","1.05","1.05","3000","1.05","0","130000003"
"","","","","3","0","1000001","3000","wait","0.2","130000004"
"","","","","35","","2","3000","1","","130000005"
"","","","","93","","4.9","3000","0","","130000006"
"0.95","0.4","","","123","0.95","0.95","3000","0.95","0","130000007"
"","","","","32","","300000","3000","1","","130000008"
"","","","","93","","0.1","3000","0","","130000009"
"","","","","32","","2","3000","0","","130000010"
"","","","","93","","0.1","3000","0","","130000011"
"","","","","32","","996","3000","1","","130000012"
"","","","","3","0","1000001","3000","joy_from_wait","0","130000013"
"","","","","93","","1.9","3000","0","","130000014"
"","","","","3","0","1000001","3000","glad_from_joy","0","130000015"
"","","","","93","","1.5","3000","0","","130000016"
"","","","","3","1","1000001","3000","run_gatein","0.2","130000017"
"","","","","23","","se_travel","3000","se_travel_treasure_cha_run","","130000018"
"1","0","","","2","-195","1000001","3000","450","","130000019"
"","","","","93","","0.5","3000","1","","130000020"
"1","0","0","","6","1","1000001","3000","1","0.4","130000021"
"","","","","93","","0.4","3000","0","","130000022"
"","","","","113","","1","3000","","","130000023"
"0","1","","","31","345.4","300100","3001","300100","0","130010001"
"0","1","","","31","345.4","990001","3001","990001","1","130010002"
"","","","","91","","0","3001","","","130010003"
"1.05","7.4","","","123","1.05","1.05","3001","1.05","0","130010004"
"","","","","3","0","1000001","3001","wait","0.2","130010005"
"","","","","35","","2","3001","1","","130010006"
"","","","","93","","5.4","3001","0","","130010007"
"0.95","0.4","","","123","0.95","0.95","3001","0.95","0","130010008"
"","","","","3","0","1000001","3001","glad","0.2","130010009"
"","","","","32","","300100","3001","1","","130010010"
"","","","","32","","996","3001","1","","130010011"
"","","","","93","","0.1","3001","0","","130010012"
"","","","","32","","2","3001","0","","130010013"
"","","","","32","","3","3001","0","","130010014"
"","","","","93","","1.5","3001","0","","130010015"
"","","","","3","0","1000001","3001","joy","0.2","130010016"
"","","","","93","","1.7","3001","0","","130010017"
"","","","","3","1","1000001","3001","run_gatein","0","130010018"
"1","0","","","2","-195","1000001","3001","450","","130010019"
"","","","","93","","0.5","3001","1","","130010020"
"1","0","0","","6","1","1000001","3001","1","0.4","130010021"
"","","","","93","","0.4","3001","0","","130010022"
"","","","","113","","1","3001","","","130010023"
"0","1","","","31","345.4","300100","3002","300100","0","130020001"
"0","1","","","31","345.4","990002","3002","990002","1","130020002"
"","","","","91","","0","3002","","","130020003"
"1.05","7.4","","","123","1.05","1.05","3002","1.05","0","130020004"
"","","","","3","0","1000001","3002","wait","0.2","130020005"
"","","","","35","","2","3002","1","","130020006"
"","","","","93","","5.4","3002","0","","130020007"
"0.95","0.4","","","123","0.95","0.95","3002","0.95","0","130020008"
