38abc003eb29f2ba03ee120d852baf9b51847b5c0aec0001790ec091bb4448ee,42f2d5eae71870fb30f41df3b298c49c4248ce6fbd0e0dd9d3273daaf6ff4c9c,99ffa9b260743b16c8ff0e99966c1721825d46fc1fa1b99a3f358f6ed40399f7,888fbe2688c54c8201d108c162dbb236b8e26ed5ca54c4445ce100efb34377e4,c67e54860f66c17efbfeaeb02bf173633b232cde57fb1880cba9a9ccccfd25cc,2478f43e6209c6953619113a4c91a023b24f1b84a83ebfacda56a9fc4bc6161c,b472c8c14966af4e49df2caa9119d0382ebccb9b76cb3588d85d2b4c12ff23c2,538fee3ed27880c06a02a4dc402f0117d208cbe47aac597e5ebe61dc38e51d79,7e961c4edc358b80b3d50d9589bf7d7281ec357d9b8ead026b40a2fdf24f41ef,d1148fb205d200bb5d0b6c79445629b719c7ce1b7c0d120f0d96f5343fa76fe0,538e2d342a77bc8bbd10b032008fdc8a4460ef4f4a484226cac9a51d354e194f,d94f2f59e5da4edb453d3d33599f22b4c3d1dc075b01f5e58729a6b674f237b1
"0","32","0","24","0","297","1","0","0.05","28","0","0.025"
"0","31","0","23","0","288","2","0","0.05","27","0","0.025"
"0","30","0","22","0","279","3","0","0.05","26","0","0.025"
"0","29","0","21","0","270","4","0","0.05","25","0","0.025"
"0","28","0","20","0","261","5","0","0.05","24","0","0.025"
"0","27","0","19","0","252","6","0","0.05","23","0","0.025"
"0","26","0","18","0","243","7","0","0.05","22","0","0.025"
"0","25","0","17","0","234","8","0","0.05","21","0","0.025"
"0","24","0","16","0","225","9","0","0.05","20","0","0.025"
"0","23","0","15","0","216","10","0","0.05","19","0","0.025"
"0","22","0","14","0","207","11","0","0.05","18","0","0.025"
"0","21","0","13","0","198","12","0","0.05","17","0","0.025"
"0","20","0","12","0","189","13","0","0.05","16","0","0.025"
"0","19","0","11","0","180","14","0","0.05","15","0","0.025"
"0","18","0","10","0","171","15","0","0.05","14","0","0.025"
"0","17","0","9","0","161","16","0","0.05","13","0","0.025"
"0","16","0","8","0","152","17","0","0.05","12","0","0.025"
"0","15","0","7","0","143","18","0","0.05","11","0","0.025"
"0","14","0","6","0","134","19","0","0.05","10","0","0.025"
"0","13","0","5","0","125","20","0","0.05","9","0","0.025"
"0","12","0","4","0","116","21","0","0.05","8","0","0.025"
"0","11","0","3","0","107","22","0","0.05","7","0","0.025"
"0","10","0","2","0","101","23","0","0.05","6","0","0.025"
"0","0","0","0","0","1","24","0","0","0","0","0"
