6a312e6e184e7e28242b0f299c1c7503f260b0758b1e21f1147d02edeb5a8864,79bf658619c4904a61c2ea6d46de0358b427f770da328fc41a695d1efd260f56,7825522b40dd61fd9e86a58c2654cb89648bbf0b34f204dceaca4a1f69200f98,123359a8441e611c7670cabcc7683e53bf3f9fb83537181dc2ea5371ed81fea1,e575541c963b061e98c38485042bb136131288da69245e54c57021757c9211ba
"0","1001","1","0","1"
"0","1002","1","0","2"
"0","1003","1","0","3"
"0","1004","1","0","4"
"0","2001","2","0","1"
"0","2002","2","0","2"
"0","2003","2","0","3"
"0","2004","2","0","4"
"0","2101","2","1","1"
"0","2102","2","1","2"
"0","2103","2","1","3"
"0","2104","2","1","4"
"10001","2111","2","2","11"
"10001","2112","2","2","12"
"10001","2113","2","2","13"
"0","3001","3","0","1"
"0","3002","3","0","2"
"0","3003","3","0","3"
"0","3004","3","0","4"
"0","4001","4","0","1"
"0","4002","4","0","2"
"0","4003","4","0","3"
"0","4004","4","0","4"
"0","4005","4","0","100"
"0","5010","5","1","10101"
"1","5020","5","2","10201"
"2","5021","5","2","10202"
"0","5030","5","3","10301"
"1","5031","5","3","10301"
"0","5040","5","4","10302"
"0","5050","5","5","10303"
"0","5060","5","6","10304"
"0","6001","6","1","90001"
"0","6002","6","2","90001"
"1","6003","6","2","90001"
"0","6006","6","3","90001"
"1","6007","6","3","91101"
"2","6008","6","3","91201"
"3","6009","6","3","91301"
"0","6010","6","4","90001"
"1","6011","6","4","91101"
"2","6012","6","4","91201"
"3","6013","6","4","91301"
"0","6014","6","5","90001"
"1","6015","6","5","91101"
"2","6016","6","5","91201"
"3","6017","6","5","91301"
"0","6018","6","6","90001"
"1","6019","6","6","91101"
"2","6020","6","6","91201"
"3","6021","6","6","91301"
"0","6022","6","7","92001"
"1","6023","6","7","92101"
"2","6024","6","7","92201"
"3","6025","6","7","92301"
"4","6026","6","7","92401"
"0","6027","6","8","92001"
"1","6028","6","8","92101"
"2","6029","6","8","92201"
"3","6030","6","8","92301"
"4","6031","6","8","92401"
"0","6032","6","9","92001"
"1","6033","6","9","92101"
"2","6034","6","9","92201"
"3","6035","6","9","92301"
"4","6036","6","9","92401"
"0","7000","7","0","90002"
"1","7001","7","0","90002"
"2","7002","7","0","90003"
"1","7003","7","2","90002"
"2","7004","7","2","90003"
"1","7005","7","3","91102"
"2","7006","7","3","91103"
"1","7007","7","4","91102"
"2","7008","7","4","91103"
"1","7009","7","5","91102"
"2","7010","7","5","91103"
"1","7011","7","6","91102"
"2","7012","7","6","91103"
"1","7013","7","7","92102"
"2","7014","7","7","92103"
"1","7015","7","8","92102"
"2","7016","7","8","92103"
"1","7017","7","9","92102"
"2","7018","7","9","92103"
"0","9001","9","0","20101"
"0","10001","10","0","20201"
"0","10002","10","1","20202"
"0","10180","101","8","10501"
"0","100001","100","1","1"
"0","100002","100","2","1"
"0","100003","100","3","2"
"0","100004","100","4","2"
"0","100005","100","5","2"
"0","100006","100","6","2"
"0","100007","100","7","3"
"0","100008","100","8","3"
"0","100009","100","9","3"
"0","980001","101","98001","10301"
"2","980002","101","98001","10402"
"1","980011","101","98011","10401"
"2","980012","101","98012","10402"
