1641ad0afc23ab26ba0cb4e9be87799d3d712c5385431957ea3a721ae48f520d,05f74ef65dba6a471257b86bfc23ed1f682cf7d1b9b14fd379918a293a749075,d6f9a191a5d70efac0ad08c13d8991b17227a63fc2a730774a10be30bfb1650f,7f5c05bb74e9a97268d92e40c2680b2ee695031ce258f52efe439b34fa6b25df,eb0f3365055b500bfe9644b9216115e9a641035093fa02a671924bcad3809804,c8b66de1639d1b0d6ac9b7dc52a00928b37923cfe689b9fd1b7c9b08b1a646f2,55793d365a0ec27ab1ee936c0180d385d9a368b180e0a61139f0a06b7ea76a44,e977b7c7c13675540125a5c51d3e1bc3c7430f768e75e8ae62135e16caafcb8f,fd8d6a99c46376b169b934d3735f68842aadd049111b337f877ef4d0d6d2df3a,98b2735ce6b73c4492a4f98c0440ba92575036a5c6c6a6331b825e67994d4ca0
"","126501","0","最大50％割引確定のショップを開く（1品100％割引あり）","","ライラエル","1001","1","1","10001"
"","105301","0","最大1000マイルを入手する","","モニカ","1002","2","2","10001"
"","126401","0","料理を{0}つ入手する","","クローチェ","1003","3","1","1"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","100501","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","マツリ","1004","4","3","1"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","101301","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ナナカ","1005","4","2","2"
"","104301","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","マコト","1006","5","2","4"
"","102701","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","エリコ","1007","5","3","3"
"","100901","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","アンナ","1008","6","1","7"
"","105101","0","最大50％割引確定のショップを開く（1品100％割引あり）","","ミツキ","1009","1","1","10001"
"","101801","0","最大1000マイルを入手する","","イオ","1010","2","2","10001"
"","129701","0","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","ネフィ＝ネラ","1011","8","2","0"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","101601","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","スズナ","1012","4","3","1"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","105601","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ルカ","1013","4","2","2"
"","102001","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","ミミ","1014","5","3","3"
"","129601","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","アネモネ","1015","6","1","7"
"","100401","1","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","ミソギ","1016","10","2","1"
"","127701","1","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める","リンド","1017","13","3","2"
"","127801","1","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","ヴルム","1018","10","2","1"
"","104801","0","最大50％割引確定のショップを開く（1品100％割引あり）","","ミフユ","1019","1","1","10001"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","104701","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ジュン","1020","4","2","2"
"","105001","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","ミサキ","1021","6","1","7"
"","103201","0","最大2000マイルを入手する","","アキノ","1022","2","1","10002"
"","130901","0","福引券を{0}枚入手する","","クルル","1023","12","1","1"
"","102501","0","料理を{0}つ入手する","","スズメ","1024","3","1","1"
"","100801","0","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","ユキ","1025","8","2","0"
"","123301","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","ネア","1026","5","2","4"
"","104601","0","最大50％割引確定のショップを開く（1品100％割引あり）","","タマキ","1027","1","1","10001"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","118101","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ランファ","1028","4","2","2"
"","103401","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","ユカリ","1029","6","1","7"
"","118001","0","最大2000マイルを入手する","","クレジッタ","1030","2","1","10002"
"","102801","0","福引券を{0}枚入手する","","サレン","1031","12","1","1"
"","100201","0","料理を{0}つ入手する","","ユイ","1032","3","1","1"
"","101201","1","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める","ハツネ","1033","13","3","1"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","118201","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ミソラ","1034","4","3","1"
"","106101","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","ムイミ","1035","6","1","7"
"","103101","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","シノブ","1036","5","2","4"
"","103301","0","最大50％割引確定のショップを開く（1品100％割引あり）","","マヒル","1037","1","1","10001"
"","103601","0","最大2000マイルを入手する","","キョウカ","1038","2","1","10002"
"","133001","0","福引券を{0}枚入手する","","グレイス","1039","12","1","1"
"","133101","0","料理を{0}つ入手する","","ヴァイオレット","1040","3","1","1"
"","106801","0","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","ラビリスタ","1041","8","2","0"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","107101","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","クリスティーナ","1042","4","3","1"
"","107001","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","ネネカ","1043","6","1","7"
"","106501","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","カヤ","1044","5","2","4"
"","111001","0","最大50％割引確定のショップを開く（1品100％割引あり）","","ユニ","1045","1","1","10001"
"","134901","0","最大2000マイルを入手する","","カノン","1046","2","1","10002"
"","105401","0","福引券を{0}枚入手する","","ツムギ","1047","12","1","1"
"","134701","0","料理を{0}つ入手する","","ホウオウ","1048","3","1","1"
"","100101","0","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","ヒヨリ","1049","8","2","0"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","100701","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ミヤコ","1050","4","3","1"
"","103001","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","ニノン","1051","6","1","7"
"","101401","1","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める","カスミ","1052","13","3","2"
"","135901","0","最大50％割引確定のショップを開く（1品100％割引あり）","","サツキ","1053","1","1","10001"
"","102601","0","最大2000マイルを入手する","","リン","1054","2","1","10002"
"","132401","0","福引券を{0}枚入手する","","イロハ","1055","12","1","1"
"","135801","0","料理を{0}つ入手する","","ユキノ","1056","3","1","1"
"","100301","0","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","レイ","1057","8","2","0"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","106701","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ホマレ","1058","4","3","1"
"","132301","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","ルイズマリー","1059","6","1","7"
"","105201","1","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める","リマ","1060","13","3","1"
"","102201","0","最大50％割引確定のショップを開く（1品100％割引あり）","","ヨリ","1061","1","1","10001"
"","100601","0","最大2000マイルを入手する","","アカリ","1062","2","1","10002"
"","136201","0","福引券を{0}枚入手する","","ナーナ","1063","12","1","1"
"","110901","0","料理を{0}つ入手する","","チエル","1064","3","1","1"
"","103801","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","シオリ","1065","5","2","4"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","101501","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ミサト","1066","4","3","1"
"","102901","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","ノゾミ","1067","6","1","7"
"","101701","1","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める","カオリ","1068","13","3","2"
"","132501","0","最大50％割引確定のショップを開く（1品100％割引あり）","","ソノ","1069","1","1","10001"
"","104201","0","最大2000マイルを入手する","","チカ","1070","2","1","10002"
"","101101","0","福引券を{0}枚入手する","","リノ","1071","12","1","1"
"","104901","0","料理を{0}つ入手する","","シズル","1072","3","1","1"
