31e1f0456739f907bc2edaee3c6924dbe50d2853020e2847a4031bc5254338a7,79bb533342cd71ebdc91297c766e320d6537a2897af7422e9077ab0d07bdcc1d,56a807df66909ee22b81f1af2327bfd4a6f2f8cdfbf7511b4a9194aea865fd20,1c77cc55ea8b1203bab2bc5b32ca452086dba4fccb3779a0b2f3b396c8ddbcef,435c443092ad45c83ffbb3e641b0c9b079781e362d9adfede010315da7baa6a9,7fc7f0ced83c2757cdfc9e1b885e4fa7f78343795f9323a5a5728b448920a111,5d64f89065df698cd4b5bcd137df5f3ac03fca11be8b244f469d702a119328e8,8c4064699a7de71b429b79a4f64acf56f5d936e0157d1440b62bf43271af3123,c9d80d16c5bdb2f7c3ad70ff441055fb041738b302e68d751178c8bbf39ed212,2a8c69bc688eb9172a7fc8642f9065a828d67b126f37c51b45839ed5371071bb,2cc5831f13380d43642a0079e396563529c97b754656ae0b1dfd6c038ed2d036,65a23932d5917698f778385787ea92b595141fbf7f8db53b77e499778293be0e,30993ca02cbb948d472397d36431d24cfb896d8388d74e3b5a864a5a34f81567,510b7830d9545e9c7e606222d91f0fbd9224915c976e5af2ed2817be4aadcad0,100ec34e929c6ed3a2e53239a784e87153824f28d721142a5f16c4c2a8da1377
"701000101","90110001","100113","bgm_M57","EASY","bgm_M57","90","0","1","110001","1","0","0","1","100113"
"701000102","90110002","100113","bgm_M57","NORMAL","bgm_M57","90","0","2","110001","1","0","0","1","100113"
"701000103","90110003","100113","bgm_M57","HARD","bgm_M57","90","0","3","110001","1","0","0","1","100113"
"701000104","90110004","100113","bgm_M57","VERY HARD","bgm_M57","90","0","4","110001","1","0","0","1","100113"
"701000105","90110005","100113","bgm_M57","EXTREME","bgm_M57","90","0","5","110001","1","0","0","1","100113"
"701000201","90120001","103013","bgm_M169","EASY","bgm_M169","90","0","1","120001","1","0","0","2","103013"
"701000202","90120002","103013","bgm_M169","NORMAL","bgm_M169","90","0","2","120001","1","0","0","2","103013"
"701000203","90120003","103013","bgm_M169","HARD","bgm_M169","90","0","3","120001","1","0","0","2","103013"
"701000204","90120004","103013","bgm_M169","VERY HARD","bgm_M169","90","0","4","120001","1","0","0","2","103013"
"701000205","90120005","103013","bgm_M169","EXTREME","bgm_M169","90","0","5","120001","1","0","0","2","103013"
"701000301","90130001","100113","bgm_M64","EASY","bgm_M64","90","0","1","130001","1","0","0","3","100113"
"701000302","90130002","100113","bgm_M64","NORMAL","bgm_M64","90","0","2","130001","1","0","0","3","100113"
"701000303","90130003","100113","bgm_M64","HARD","bgm_M64","90","0","3","130001","1","0","0","3","100113"
"701000304","90130004","100113","bgm_M64","VERY HARD","bgm_M64","90","0","4","130001","1","0","0","3","100113"
"701000305","90130005","100113","bgm_M64","EXTREME","bgm_M64","90","0","5","130001","1","0","0","3","100113"
"701000401","90140001","100113","bgm_M07","EASY","bgm_M07","90","0","1","140001","1","0","0","4","100113"
"701000402","90140002","100113","bgm_M07","NORMAL","bgm_M07","90","0","2","140001","1","0","0","4","100113"
"701000403","90140003","100113","bgm_M07","HARD","bgm_M07","90","0","3","140001","1","0","0","4","100113"
"701000404","90140004","100113","bgm_M07","VERY HARD","bgm_M07","90","0","4","140001","1","0","0","4","100113"
"701000405","90140005","100113","bgm_M07","EXTREME","bgm_M07","90","0","5","140001","1","0","0","4","100113"
"701000501","90150001","103013","bgm_M170","EASY","bgm_M170","90","0","1","150001","1","0","0","5","103013"
"701000502","90150002","103013","bgm_M170","NORMAL","bgm_M170","90","0","2","150001","1","0","0","5","103013"
"701000503","90150003","103013","bgm_M170","HARD","bgm_M170","90","0","3","150001","1","0","0","5","103013"
"701000504","90150004","103013","bgm_M170","VERY HARD","bgm_M170","90","0","4","150001","1","0","0","5","103013"
"701000505","90150005","103013","bgm_M170","EXTREME","bgm_M170","90","0","5","150001","1","0","0","5","103013"
