849f97333a05a48121f1f12501009b7721ddeb12c5aecb1cce003c850bc5407d,93cf8ba1e94f0d4222248281e0b31f2c153161bab4d0a6be398f4e8b802b76c9,603c64f90d50f45df5663638d3caed402d12cdf7f1f22a39b34404769c3af80a,41c1e17b5a6291a13245051c11cf1393e3aa79cd9f913a626f5a15032d90dc0e,d06e68f4bf21e66fd3a61c753a07e17ba4b039adc8a01772c0ee8a1410a62603,0c1687fc993272aef0d7a0ad0bf429824002b377f479fddcc67d8f1219bc2914,4c0cf3dd1821facea8b88c10d5d23fbfb40bfd0a353bd33ffe51cf0de1f16182,44842f1f249c55d644c8b90194102af3808b42fe3285351dce5878fdc2905de4,6153bbe3aa16984093596ef648d813416b841ee7ae23fe1faefb1944a20496b8
"2","21600","23001","1","","1","1","","2"
"3","19800","23001","2","","1","1","","2"
"3","18000","23001","3","","1","1","","2"
"3","16200","23001","4","","1","1","","2"
"4","14400","23001","5","","1","1","","2"
"4","12960","23001","6","","1","1","","2"
"5","11520","23001","7","","1","1","","2"
"6","10080","23001","8","","1","1","","2"
"7","8640","23001","9","","1","1","","2"
"8","7200","23001","10","","1","1","","2"
"10","5760","23001","11","","1","1","","2"
"12","5040","23001","12","","1","1","","2"
"14","4320","23001","13","","1","1","","2"
"16","7200","23001","14","","2","1","","2"
"18","5400","23001","15","","2","1","","2"
"18","5040","23001","16","","2","1","","2"
"18","4800","23001","17","","2","1","","2"
"20","4500","23001","18","","2","1","","2"
"20","4320","23001","19","","2","1","","2"
"24","6000","23001","20","","3","1","","2"
"48","5700","23001","21","","3","1","","2"
"48","5400","23001","22","","3","1","","2"
"51","5220","23001","23","","3","1","","2"
"54","4980","23001","24","","3","1","","2"
"54","4800","23001","25","","3","1","","2"
"60","4500","23001","26","","3","1","","2"
"60","4320","23001","27","","3","1","","2"
"63","4200","23001","28","","3","1","","2"
"64","5400","23001","29","","4","1","","2"
"68","5220","23001","30","","4","1","","2"
"72","5040","23001","31","","4","1","","2"
"72","4920","23001","32","","4","1","","2"
"72","4800","23001","33","","4","1","","2"
"76","4680","23001","34","","4","1","","2"
"80","4500","23001","35","","4","1","","2"
"80","4320","23001","36","","4","1","","2"
"84","4260","23001","37","","4","1","","2"
"80","21600","93001","1","","20","2","","6"
"96","21600","93001","2","","24","2","","6"
"112","21600","93001","3","","28","2","","6"
"120","21600","93001","4","","30","2","","6"
"128","21600","93001","5","","32","2","","6"
"136","21600","93001","6","","34","2","","6"
"144","21600","93001","7","","36","2","","6"
"152","21600","93001","8","","38","2","","6"
"160","21600","93001","9","","40","2","","6"
"168","21600","93001","10","","42","2","","6"
"176","21600","93001","11","","44","2","","6"
"184","21600","93001","12","","46","2","","6"
"192","21600","93001","13","","48","2","","6"
"200","21600","93001","14","","50","2","","6"
"208","21600","93001","15","","52","2","","6"
"216","21600","93001","16","","54","2","","6"
"224","21600","93001","17","","56","2","","6"
"232","21600","93001","18","","58","2","","6"
"240","21600","93001","19","","60","2","","6"
"248","21600","93001","20","","62","2","","6"
"256","21600","93001","21","","64","2","","6"
"264","21600","93001","22","","66","2","","6"
"272","21600","93001","23","","68","2","","6"
"280","21600","93001","24","","70","2","","6"
"288","21600","93001","25","","72","2","","6"
"296","21600","93001","26","","74","2","","6"
"304","21600","93001","27","","76","2","","6"
"312","21600","93001","28","","78","2","","6"
"320","21600","93001","29","","80","2","","6"
"328","21600","93001","30","","82","2","","6"
"336","21600","93001","31","","84","2","","6"
"340","21600","93001","32","","85","2","","6"
"344","21600","93001","33","","86","2","","6"
"348","21600","93001","34","","87","2","","6"
"352","21600","93001","35","","88","2","","6"
"356","21600","93001","36","","89","2","","6"
"360","21600","93001","37","","90","2","","6"
"3","14400","20001","1","","1","3","","2"
"5","9600","20001","2","","1","3","","2"
"7","7200","20001","3","","1","3","","2"
"10","5400","20001","4","","1","3","","2"
"15","3600","20001","5","","1","3","","2"
"6","9600","20002","6","","1","3","","2"
"8","7200","20002","7","","1","3","","2"
"12","4800","20002","8","","1","3","","2"
"16","3600","20002","9","","1","3","","2"
"20","2700","20002","10","","1","3","","2"
"6","10800","20003","11","","1","3","","2"
"8","9000","20003","12","","1","3","","2"
"12","7200","20003","13","","1","3","","2"
"16","5400","20003","14","","1","3","","2"
"20","3600","20003","15","","1","3","","2"
"30","2880","20003","16","","1","3","","2"
"7","12600","20004","17","","1","3","","2"
"8","11400","20004","18","","1","3","","2"
"9","10200","20004","19","","1","3","","2"
"10","9300","20004","20","","1","3","","2"
"10","8700","20004","21","","1","3","","2"
"13","6600","20004","22","","1","3","","2"
"14","6300","20004","23","","1","3","","2"
"15","6000","20004","24","","1","3","","2"
"15","5700","20004","25","","1","3","","2"
"16","5400","20004","26","","1","3","","2"
"17","5100","20004","27","","1","3","","2"
"18","4860","20004","28","","1","3","","2"
"19","4620","20004","29","","1","3","","2"
"20","4440","20004","30","","1","3","","2"
"21","4260","20004","31","","1","3","","2"
"22","4080","20004","32","","1","3","","2"
"22","3960","20004","33","","1","3","","2"
"23","3840","20004","34","","1","3","","2"
"24","3720","20004","35","","1","3","","2"
"24","3600","20004","36","","1","3","","2"
"25","3480","20004","37","","1","3","","2"
"12000","21600","94002","1","","3000","4","","12"
"18000","21600","94002","2","","4500","4","","12"
"24000","21600","94002","3","","6000","4","","12"
