90a7c8f375faa32a34a0522bedf8d796605ad01542b0fedc2b6b84a7462e0b83,13ae21fc834fbca6f7e926f51b8878825ac5052f3ced2525dd36417b9c16214e,38ace2af347f89d3bbf12f78eedab1d61f3c69a25ff91aaa74e39135d47e8ba2,7d68b0986e1077c9a590dedb9cd2529d21f1e7e35ac8302585b5fb7aafc2414a,95bd1a06eee07be4278d40d2ca2f64341447df7e10e3021eef5356153f5ad777,808827ead1817f1cdf056e348f63669807418e2bd40f7a69b2f2d498c579910d
"1","0","2999180","3000","0","100111"
"1","0","2999101","10000","0","100112"
"1","0","2999167","10000","0","100121"
"1","0","2999168","10000","0","100122"
"1","0","2999172","5000","0","100131"
"1","0","2999182","10000","0","100211"
"1","0","2999102","100000","0","100221"
"1","0","2999103","40000","0","100231"
"1","0","2999102","100000","0","100232"
"1","0","2999185","2000","0","100311"
"1","0","2999186","4000","0","100312"
"1","0","2999187","2000","0","100321"
"1","0","2999188","5000","0","100322"
"1","0","2999189","5000","0","100331"
"1","0","2999104","3000","0","100411"
"1","0","2999177","120","0","100412"
"1","0","2999105","5000","0","100421"
"1","0","2999178","140","0","100422"
"1","0","2999106","7000","0","100431"
"1","0","2999179","170","0","100432"
"1","0","2999190","3300","0","100511"
"1","0","2999107","3000","0","100521"
"1","0","2999108","10000","0","100522"
"1","0","2999112","10000","0","100531"
"1","0","2999113","10000","0","100532"
"14","0","14","5","0","110011"
"1","0","2999117","10000","0","110021"
"1","0","2999120","10000","0","110031"
"14","0","16","2","0","110041"
"1","0","2999101","1000","0","110051"
"14","0","105","2000","0","120011"
"1","0","2999121","5000","0","120021"
"1","0","2999124","5000","0","120031"
"1","0","2999127","1000","0","120041"
"1","0","2999128","1000","0","120051"
"1","0","2999129","1000","0","130011"
"14","0","100","1000","0","130021"
"14","0","101","1000","0","130022"
"14","0","107","3000","0","130031"
"14","0","6","1000","0","130041"
"14","0","7","1000","0","130042"
"14","0","9","10","0","130051"
"14","0","108","3000","0","140011"
"1","0","2999132","5000","0","140021"
"1","0","2999133","5000","0","140031"
"14","0","2","2000","0","140041"
"14","0","4","2000","0","140042"
"14","0","3","1000","0","140051"
"14","0","5","1000","0","140052"
"14","0","110","1000","0","150011"
"14","0","1","1000","0","150021"
"1","0","2999134","50000","0","150031"
"1","0","2999149","50000","0","150041"
"1","0","2999164","5000","0","150051"
"14","0","14","10","0","210011"
"1","0","2999118","20000","0","210021"
"1","0","2999120","20000","0","210031"
"14","0","16","4","0","210041"
"1","0","2999101","2000","0","210051"
"14","0","105","4000","0","220011"
"1","0","2999122","10000","0","220021"
"1","0","2999125","10000","0","220031"
"1","0","2999127","2000","0","220041"
"1","0","2999128","2000","0","220051"
"1","0","2999129","2000","0","230011"
"14","0","100","2000","0","230021"
"14","0","101","2000","0","230022"
"14","0","107","6000","0","230031"
"14","0","6","2000","0","230041"
"14","0","7","2000","0","230042"
"14","0","9","20","0","230051"
"14","0","108","6000","0","240011"
"1","0","2999132","10000","0","240021"
"1","0","2999133","10000","0","240031"
"14","0","2","4000","0","240041"
"14","0","4","4000","0","240042"
"14","0","3","2000","0","240051"
"14","0","5","2000","0","240052"
"14","0","110","2000","0","250011"
"14","0","1","2000","0","250021"
"1","0","2999139","100000","0","250031"
"1","0","2999154","100000","0","250041"
"1","0","2999165","10000","0","250051"
"14","0","104","10000","0","300011"
"14","0","14","15","0","310011"
"1","0","2999119","30000","0","310021"
"1","0","2999120","30000","0","310031"
"14","0","16","6","0","310041"
"1","0","2999101","3000","0","310051"
"14","0","14","100","0","310061"
"14","0","105","6000","0","320011"
"1","0","2999123","15000","0","320021"
"1","0","2999126","15000","0","320031"
"1","0","2999127","3000","0","320041"
"1","0","2999128","3000","0","320051"
"1","0","2999192","2500","0","320061"
"1","0","2999129","3000","0","330011"
"14","0","100","3000","0","330021"
"14","0","101","3000","0","330022"
"14","0","107","9000","0","330031"
"14","0","6","3000","0","330041"
"14","0","7","3000","0","330042"
"14","0","9","30","0","330051"
"14","0","107","50000","0","330061"
"14","0","9","50","0","330062"
"14","0","108","9000","0","340011"
"1","0","2999132","15000","0","340021"
"1","0","2999133","15000","0","340031"
"14","0","2","6000","0","340041"
"14","0","4","6000","0","340042"
"14","0","3","3000","0","340051"
"14","0","5","3000","0","340052"
"1","0","2999191","5000","0","340061"
"14","0","110","3000","0","350011"
"14","0","1","3000","0","350021"
"1","0","2999144","150000","0","350031"
"1","0","2999159","150000","0","350041"
"1","0","2999166","15000","0","350051"
"14","0","1","10000","0","350061"
"14","0","1","1500","0","400011"
"14","0","102","1500","0","400012"
"14","0","103","1500","0","400013"
"14","0","104","5000","0","400021"
"8","0","10","0","0","400031"
"14","0","100","5000","0","400041"
"14","0","101","5000","0","400042"
"14","0","6","-2500","0","400043"
"14","0","7","-2500","0","400044"
"2","0","40005","1","0","400051"
"14","0","2","1500","0","400061"
"14","0","4","1500","0","400062"
"14","0","108","1500","0","400063"
