5eeffbd27884a66230713e6fcfbbad67ed920a5c63fe5ffe9bbdd33f58e6502c,9af523986467f412a10428c43a8eb080e0565d9ce530fb92b71c2c8c299118fb,072dd79ebeadc3383abdf979132c9c59841ae705d282200dc6c1e206b48894f4,bfa6bd89b946dfc608e5b7f9202a2305df778b4e6a99d6ec0799e07ee9afcc43,aace386544ccf69f2dd668dcfb1301468e53d9700624587360cc904fadd9ecda
"1","1001","1","0","0"
"1","1002","2","0","0"
"1","1003","3","0","0"
"1","1004","4","0","0"
"2","2001","1","0","0"
"2","2002","2","0","0"
"2","2003","3","0","0"
"2","2004","4","0","0"
"2","2101","1","0","1"
"2","2102","2","0","1"
"2","2103","3","0","1"
"2","2104","4","0","1"
"2","2111","11","10001","2"
"2","2112","12","10001","2"
"2","2113","13","10001","2"
"3","3001","1","0","0"
"3","3002","2","0","0"
"3","3003","3","0","0"
"3","3004","4","0","0"
"4","4001","1","0","0"
"4","4002","2","0","0"
"4","4003","3","0","0"
"4","4004","4","0","0"
"4","4005","100","0","0"
"5","5010","10101","0","1"
"5","5020","10201","1","2"
"5","5021","10202","2","2"
"5","5030","10301","0","3"
"5","5031","10301","1","3"
"5","5040","10302","0","4"
"5","5050","10303","0","5"
"5","5060","10304","0","6"
"6","6001","90001","0","1"
"6","6002","90001","0","2"
"6","6003","90001","1","2"
"6","6006","90001","0","3"
"6","6007","91101","1","3"
"6","6008","91201","2","3"
"6","6009","91301","3","3"
"6","6010","90001","0","4"
"6","6011","91101","1","4"
"6","6012","91201","2","4"
"6","6013","91301","3","4"
"6","6014","90001","0","5"
"6","6015","91101","1","5"
"6","6016","91201","2","5"
"6","6017","91301","3","5"
"6","6018","90001","0","6"
"6","6019","91101","1","6"
"6","6020","91201","2","6"
"6","6021","91301","3","6"
"6","6022","92001","0","7"
"6","6023","92101","1","7"
"6","6024","92201","2","7"
"6","6025","92301","3","7"
"6","6026","92401","4","7"
"6","6027","92001","0","8"
"6","6028","92101","1","8"
"6","6029","92201","2","8"
"6","6030","92301","3","8"
"6","6031","92401","4","8"
"6","6032","92001","0","9"
"6","6033","92101","1","9"
"6","6034","92201","2","9"
"6","6035","92301","3","9"
"6","6036","92401","4","9"
"6","6037","90001","0","10"
"6","6038","90101","1","10"
"6","6039","90201","2","10"
"6","6040","90301","3","10"
"6","6041","90401","4","10"
"6","6042","90001","0","11"
"6","6043","90101","1","11"
"6","6044","90201","2","11"
"6","6045","90301","3","11"
"6","6046","90401","4","11"
"6","6047","91001","0","12"
"6","6048","91101","1","12"
"6","6049","91201","2","12"
"6","6050","91301","3","12"
"6","6051","91401","4","12"
"6","6052","91001","0","13"
"6","6053","91101","1","13"
"6","6054","91201","2","13"
"6","6055","91301","3","13"
"6","6056","91401","4","13"
"7","7000","90002","0","0"
"7","7001","90002","1","0"
"7","7002","90003","2","0"
"7","7003","90002","1","2"
"7","7004","90003","2","2"
"7","7005","91102","1","3"
"7","7006","91103","2","3"
"7","7007","91102","1","4"
"7","7008","91103","2","4"
"7","7009","91102","1","5"
"7","7010","91103","2","5"
"7","7011","91102","1","6"
"7","7012","91103","2","6"
"7","7013","92102","1","7"
"7","7014","92103","2","7"
"7","7015","92102","1","8"
"7","7016","92103","2","8"
"7","7017","92102","1","9"
"7","7018","92103","2","9"
"7","7019","90102","1","10"
"7","7020","90103","2","10"
"7","7021","90102","1","11"
"7","7022","90103","2","11"
"7","7023","91102","1","12"
"7","7024","91103","2","12"
"7","7025","91102","1","13"
"7","7026","91103","2","13"
"9","9001","20101","0","0"
"10","10001","20201","0","0"
"10","10002","20202","0","1"
"101","10180","10501","0","8"
"100","100001","1","0","1"
"100","100002","1","0","2"
"100","100003","2","0","3"
"100","100004","2","0","4"
"100","100005","2","0","5"
"100","100006","2","0","6"
"100","100007","3","0","7"
"100","100008","3","0","8"
"100","100009","3","0","9"
"100","100010","1","0","10"
"100","100011","1","0","11"
"100","100012","2","0","12"
"100","100013","2","0","13"
"101","980001","10301","0","98001"
"101","980002","10402","2","98001"
"101","980011","10401","1","98011"
"101","980012","10402","2","98012"
