b021d2465c26773b38bfbe8f6ff5043cdfcb704d7ec84fbe1250e932856a5b29,026b8f011d525042f7deaa275ad99f823fb23984dcd5138c22247bdab7dbd23b,8bac593e3888f91e493d052e7842f0ff11b20eb857fcdab0f2e3ca30e5ace153,3560af78d2c87478ae1be9fa9c712f5694a4a86d0559fdebf4fdced2338ea30b,4bbedce9f82952dd8f80a7bea0922909ede58059fc8672a57b255c0498e515ef,7ac47a596a3920a0e84b1e229847ccdcd23874543f212619e982d6b4a28d3445,004e50ed39a55eae9cce6c26ed421742ee79d5765327c2cffcdd6c67dcc32627,580b692fc80a0f0c319c7c2827c4b02bb6d7967b2c9d7d5d867a131a9be8d6b6,492921f5425ee95f35425771e0e4fe577dea8b83e74e285c053d4e2b93d5f8ac
"22","7","6","8","53003","-1","5","1","10001"
"22","7","6","4","53002","-1","5","1","10002"
"22","6","5","6","53003","5","4","1","10101"
"22","6","5","5","53002","5","4","1","10102"
"22","5","4","5","53003","4","3","1","10201"
"22","5","4","5","53002","4","3","1","10202"
"22","4","3","4","53003","3","3","1","10301"
"22","4","3","3","53002","3","3","1","10302"
"22","3","2","3","53003","2","2","1","10401"
"22","3","2","2","53002","2","2","1","10402"
"22","2","1","2","53003","1","1","1","10501"
"22","2","1","1","53002","1","1","1","10502"
"22","1","0","2","53002","0","1","1","10601"
"22","7","6","8","53003","-1","5","2","10701"
"22","7","6","4","53002","-1","5","2","10702"
"22","6","5","6","53003","5","4","2","10801"
"22","6","5","5","53002","5","4","2","10802"
"22","5","4","5","53003","4","3","2","10901"
"22","5","4","5","53002","4","3","2","10902"
"22","4","3","4","53003","3","3","2","11001"
"22","4","3","3","53002","3","3","2","11002"
"22","3","2","3","53003","2","2","2","11101"
"22","3","2","2","53002","2","2","2","11102"
"22","2","1","2","53003","1","1","2","11201"
"22","2","1","1","53002","1","1","2","11202"
"22","1","0","2","53002","0","1","2","11301"
"22","7","6","8","53003","-1","5","3","11401"
"22","7","6","4","53002","-1","5","3","11402"
"22","6","5","6","53003","5","4","3","11501"
"22","6","5","5","53002","5","4","3","11502"
"22","5","4","5","53003","4","3","3","11601"
"22","5","4","5","53002","4","3","3","11602"
"22","4","3","4","53003","3","3","3","11701"
"22","4","3","3","53002","3","3","3","11702"
"22","3","2","3","53003","2","2","3","11801"
"22","3","2","2","53002","2","2","3","11802"
"22","2","1","2","53003","1","1","3","11901"
"22","2","1","1","53002","1","1","3","11902"
"22","1","0","2","53002","0","1","3","12001"
"22","7","6","8","53003","-1","5","4","12101"
"22","7","6","4","53002","-1","5","4","12102"
"22","6","5","6","53003","5","4","4","12201"
"22","6","5","5","53002","5","4","4","12202"
"22","5","4","5","53003","4","3","4","12301"
"22","5","4","5","53002","4","3","4","12302"
"22","4","3","4","53003","3","3","4","12401"
"22","4","3","3","53002","3","3","4","12402"
"22","3","2","3","53003","2","2","4","12501"
"22","3","2","2","53002","2","2","4","12502"
"22","2","1","2","53003","1","1","4","12601"
"22","2","1","1","53002","1","1","4","12602"
"22","1","0","2","53002","0","1","4","12701"
"22","7","6","8","53003","-1","5","5","12801"
"22","7","6","4","53002","-1","5","5","12802"
"22","6","5","6","53003","5","4","5","12901"
"22","6","5","5","53002","5","4","5","12902"
"22","5","4","5","53003","4","3","5","13001"
"22","5","4","5","53002","4","3","5","13002"
"22","4","3","4","53003","3","3","5","13101"
"22","4","3","3","53002","3","3","5","13102"
"22","3","2","3","53003","2","2","5","13201"
"22","3","2","2","53002","2","2","5","13202"
"22","2","1","2","53003","1","1","5","13301"
"22","2","1","1","53002","1","1","5","13302"
"22","1","0","2","53002","0","1","5","13401"
"22","7","6","8","53003","-1","5","6","13501"
"22","7","6","4","53002","-1","5","6","13502"
"22","6","5","6","53003","5","4","6","13601"
"22","6","5","5","53002","5","4","6","13702"
"22","5","4","5","53003","4","3","6","13801"
"22","5","4","5","53002","4","3","6","13902"
"22","4","3","4","53003","3","3","6","14001"
"22","4","3","3","53002","3","3","6","14002"
"22","3","2","3","53003","2","2","6","14101"
"22","3","2","2","53002","2","2","6","14102"
"22","2","1","2","53003","1","1","6","14201"
"22","2","1","1","53002","1","1","6","14202"
"22","1","0","2","53002","0","1","6","14301"
"22","7","6","8","53003","-1","5","7","14401"
"22","7","6","4","53002","-1","5","7","14402"
"22","6","5","6","53003","5","4","7","14501"
"22","6","5","5","53002","5","4","7","14502"
"22","5","4","5","53003","4","3","7","14601"
"22","5","4","5","53002","4","3","7","14701"
"22","4","3","4","53003","3","3","7","14801"
"22","4","3","3","53002","3","3","7","14802"
"22","3","2","3","53003","2","2","7","14901"
"22","3","2","2","53002","2","2","7","14902"
"22","2","1","2","53003","1","1","7","15001"
