10dbb0302d5c8ec2e3886914148fab0db873d242c50e9729ec3dce36524a6a73,4d9455f89980584ee385ead6752cca0e187982b9bdf22b79e39470c487f816b6,5bc1a86829b28477b3a998972550da61ef2523f2da3312fb40c4463e5f74763c,de60487e4b5971ef24459f4bdb7ac38251ad2575216c71db9503346b5c5234e0,8ddfa8c56af9fa6ecbf01caeae25d8379449098710c427a833af6704325f2876,2c51e3de8e80db61719a8fad9f6f6510f80f27e3914cc22112ac3930f59b254f,9cf3af52ae912c5b151ede20c470d93a0bafde31ea478c96341f7048ccd49cfc,075f7a238d8899f86ed9cfa198fa8f8f8fef4fc05842037bf7b3538857671b9c,423564b08a2dd132a0e829718efe7d2c48167006a3f680864ba026c25e6b99c3,82cae13bcffa9fbdd964bdb11107eb281ec76e440270a44b99e21a1b5be5f701,eb64ecabd2209f5b87b5c5dc10f07937411db200bdac7c2214f9a7f98c1270b6,4ff984426fef3dc2f707223becdcb4d2cf234c8cb5b08465204111853390eb11,6cb21df2dc1375e3bf566e723a35640cba6e47b78c8ff02aeeae71ab5131351d,e133e29eb47c493575f5e8d358b93782c7aeb5b048347aa632c719c98d30e3a0,6aea79370ac99af4ff05dab0ad65d0a043e2da733e58212a297c73674d2de857,b68daef5336a7b00fe4ff3383f73ecbf7da35d6afa0645769e7d4992051b2b09,d7b4bd4488f38b64ca1fe1f1ad957ee07f9fda8625101b26139d0de7d158a3fc,6576ba12b613b50a8cfada8229c37d879f053ac0301912bf65f0f233b6401c68,a8c7bf0ee76810cfab7e17e4b9783934f56ac0145eb09ac202bc21d6e185ea1e,3f3b3ff3b139f832e06f2aef345341654871f30b9fb7847bc1299aad58cc9849,f3e1ef53b7ae868be2e8e01aad9b977276cec875ac4f61c418a1affc897960af
"EnemyD","0","SpeedTerritoryA","600","NONE","0","3100","0","NONE","JumpOverTrap","0","1000","0","NONE","AccelBoardA","NONE","2500","NONE","1000","1800","EnemyA"
"SpeedTerritoryA","0","WholeCake","500","NONE","0","3000","0","NONE","AccelBoardA","0","1001","0","NONE","AccelBoardA","NONE","2000","NONE","800","1300","EnemyC"
"SpeedTerritoryA_NoColl","0","EnemyB_NoColl","400","NONE","0","2000","0","NONE","TrapA_NoCall","0","1002","0","NONE","EnemyA_NoColl","NONE","1600","NONE","1000","1300","Balloon"
"EnemyB","0","JumpOverTrap","700","NONE","0","3300","0","NONE","AccelBoardA","0","1003","0","NONE","AccelBoardA","NONE","3000","NONE","1500","2300","JumpOverTrap"
"JumpOverTrap","0","SpeedTerritoryA","800","NONE","0","0","0","NONE","NONE","0","1004","0","NONE","EnemyA","NONE","2700","NONE","1300","1900","JumpOverTrap"
"SpeedTerritoryA","0","AccelBoardA","300","NONE","0","3300","0","NONE","EnemyC","0","1005","0","NONE","JumpOverEnemyC","NONE","2600","NONE","1500","2000","JumpBoard"
"TrapA","0","JumpOverTrap","700","NONE","3700","3000","0","NONE","AccelBoardA","0","1006","0","NONE","TrapA","NONE","2500","TrapA","1300","1800","EnemyA"
"JumpOverTrap","0","EnemyC","500","NONE","0","3100","0","NONE","JumpOverTrap","0","1007","0","NONE","EnemyC","NONE","2400","NONE","1300","1800","AccelBoardA"
"EnemyC","0","AccelBoardA","500","NONE","3700","3400","0","NONE","JumpOverTrap","0","1008","0","NONE","JumpBoard","NONE","2700","EnemyC","1100","2300","AccelBoardA"
"EnemyA_NoColl","0","JumpOverTrap","400","NONE","3700","3300","0","NONE","JumpOverTrap","0","1009","0","NONE","TrapA_NoCall","NONE","2900","SpeedTerritoryA","1000","2000","Balloon"
"JumpOverTrap","0","EnemyB","400","NONE","0","3500","0","NONE","JumpOverTrap","0","1010","0","NONE","SpeedTerritoryA","NONE","3000","NONE","1400","2200","JumpOverTrap"
"JumpBoard","0","JumpOverTrap","400","NONE","3300","2800","0","NONE","EnemyA","0","1011","0","NONE","SpeedTerritoryA","NONE","2400","AccelBoardA","900","1500","EnemyH"
"SpeedTerritoryA_NoColl","0","JumpBoard","300","NONE","0","3750","0","NONE","EnemyB","0","1012","0","NONE","SpeedTerritoryA_NoColl","NONE","2850","NONE","1200","2200","Balloon"
"TrapA","0","EnemyH","900","NONE","0","3300","0","NONE","TrapA","0","1013","0","NONE","AccelBoardA","NONE","2600","NONE","1400","2100","SpeedTerritoryA"
"TrapA","0","JumpOverEnemyB","400","NONE","3000","2600","0","NONE","JumpOverTrap","3500","1014","0","NONE","SpeedTerritoryA","JumpOverEnemyB","2200","AccelBoardA","1400","1800","WholeCake"
"SpeedTerritoryA_NoColl","0","TrapA_NoCall","600","NONE","0","3700","0","NONE","EnemyC","0","1015","0","NONE","EnemyA_NoColl","NONE","2500","NONE","1100","1900","Balloon"
"AccelBoardA","0","TrapA","600","NONE","0","0","0","NONE","NONE","0","1016","0","NONE","EnemyB","NONE","3300","NONE","1400","2300","AccelBoardA"
"WholeCake","0","AccelBoardA","400","NONE","0","3300","0","NONE","TrapA","0","1017","0","NONE","EnemyB","NONE","2500","NONE","1200","1600","AccelBoardA"
"Balloon","0","EnemyB_NoColl","600","NONE","2900","2400","0","NONE","EnemyA_NoColl","0","1018","0","NONE","TrapA","NONE","1900","EnemyB_NoColl","900","1100","TrapA"
"TrapA","0","EnemyA","500","NONE","3800","3000","0","NONE","AccelBoardA","0","1019","0","NONE","TrapA","NONE","2500","TrapA","1200","2000","TrapA"
"TrapA","0","TrapA","400","NONE","3100","2700","0","NONE","TrapA","3700","1020","0","NONE","JumpBoard","EnemyH","2300","EnemyH","900","1900","AccelBoardA"
"EnemyA_NoColl","0","TrapA_NoCall","400","NONE","0","3400","0","NONE","AccelBoardA","0","1021","0","NONE","Balloon","NONE","2400","NONE","700","1550","EnemyB"
"TrapA","0","AccelBoardA","800","NONE","0","3400","0","NONE","SpeedTerritoryA","0","1022","0","NONE","TrapA","NONE","2500","NONE","1200","1800","EnemyC"
"JumpOverEnemyC","0","WholeCake","500","NONE","3500","3000","0","NONE","TrapA","0","1023","0","NONE","TrapA","NONE","2000","TrapA","1000","1500","EnemyD"
"EnemyA_NoColl","0","SpeedTerritoryA_NoColl","400","NONE","3200","2300","0","NONE","EnemyB_NoColl","3700","1024","0","NONE","Balloon","JumpOverEnemyC","1800","TrapA","600","1300","EnemyC"
"AccelBoardA","0","AccelBoardA","900","NONE","0","3400","0","NONE","AccelBoardA","0","1025","0","NONE","AccelBoardA","NONE","2700","NONE","1300","2000","EnemyB"
"WholeCake","0","JumpBoard","400","NONE","0","0","0","NONE","NONE","0","1026","0","NONE","AccelBoardA","NONE","2500","NONE","800","1500","EnemyB"
"Balloon","0","EnemyB_NoColl","400","NONE","3100","2600","0","NONE","EnemyA_NoColl","0","1027","0","NONE","TrapA","NONE","1700","JumpBoard","630","700","SpeedTerritoryA"
"EnemyH","0","TrapA","600","NONE","0","3200","0","NONE","AccelBoardA","0","1028","0","NONE","AccelBoardA","NONE","2700","NONE","1400","2300","SpeedTerritoryA"
"SpeedTerritoryA","0","WarpGateA","500","NONE","0","0","0","NONE","NONE","0","1029","0","NONE","TrapA","NONE","2500","NONE","1000","1700","EnemyD"
"AccelBoardA","0","TrapA","500","NONE","3500","2800","0","NONE","TrapA","0","1030","0","NONE","AccelBoardA","NONE","2500","SpeedTerritoryA","1500","2000","WholeCake"
"SpeedTerritoryA_NoColl","0","TrapA","350","NONE","3500","3200","0","NONE","EnemyH","0","1031","0","NONE","SpeedTerritoryA_NoColl","NONE","2900","AccelBoardA","1200","2200","Balloon"
"EnemyA","0","NONE","700","NONE","0","0","0","NONE","NONE","0","1032","0","NONE","EnemyA","NONE","0","NONE","1500","3000","AccelBoardA"
"EnemyA","0","SpeedTerritoryA","700","NONE","0","0","0","NONE","NONE","0","1033","0","NONE","AccelBoardA","NONE","3100","NONE","1400","2200","TrapA"
"JumpOverEnemyC","0","JumpOverEnemyD","500","NONE","3500","3000","0","NONE","JumpOverEnemyA","0","1034","0","NONE","JumpOverTrap","NONE","2500","SpeedTerritoryB","1000","2000","TrapA"
"TrapA","0","Balloon","400","NONE","2700","2300","0","NONE","EnemyB_NoColl","3100","1035","0","NONE","EnemyD","EnemyB_NoColl","1500","TrapA_NoCall","800","1200","JumpOverTrap"
"TrapA","0","NONE","500","NONE","0","0","0","NONE","NONE","0","1036","0","NONE","SpeedTerritoryA","NONE","0","NONE","1200","2700","AccelBoardA"
"TrapA","0","AccelBoardA","500","NONE","0","0","0","NONE","NONE","0","1037","0","NONE","AccelBoardA","NONE","3000","NONE","1000","2000","EnemyH"
"AccelBoardA","0","EnemyB","500","NONE","3500","3000","0","NONE","AccelBoardA","0","1038","0","NONE","WholeCake","NONE","2700","AccelBoardA","1000","2200","SpeedTerritoryB"
"WarpGateA","0","NONE","800","NONE","0","3100","0","NONE","NONE","0","1039","0","NONE","TrapA","NONE","2400","NONE","1700","2500","SpeedTerritoryA"
"JumpOverEnemyA","0","JumpOverEnemyA","500","NONE","0","2500","0","NONE","WarpGateA","0","1040","0","NONE","EnemyD","NONE","1800","NONE","1000","1400","EnemyB"
"AccelBoardA","0","EnemyD","1000","NONE","0","3300","0","NONE","AccelBoardA","0","1041","0","NONE","TrapA","NONE","2800","NONE","1500","2000","TrapA"
"AccelBoardA","0","WholeCake","500","NONE","3300","2700","0","NONE","JumpOverEnemyA","0","1042","0","NONE","TrapA","NONE","1800","AccelBoardA","900","1300","TrapA"
"AccelBoardA","0","EnemyD","500","NONE","0","2700","0","NONE","TrapA","0","1043","0","NONE","EnemyC","NONE","2200","NONE","1100","1500","AccelBoardA"
"JumpBoard","0","SpeedTerritoryB","500","NONE","0","0","0","NONE","NONE","0","1044","0","NONE","EnemyC","NONE","3300","NONE","1400","2300","AccelBoardA"
"AccelBoardA","0","AccelBoardA","1280","NONE","0","0","0","NONE","NONE","0","1045","0","NONE","AccelBoardA","NONE","2700","NONE","1900","2300","EnemyB"
"AccelBoardA","0","EnemyB","400","NONE","0","2500","0","NONE","JumpBoard","0","1046","0","NONE","AccelBoardA","NONE","2000","NONE","900","1300","AccelBoardA"
"WarpGateA","0","NONE","700","NONE","0","0","0","NONE","NONE","0","1047","0","NONE","AccelBoardA","NONE","0","NONE","1500","2400","SpeedTerritoryB"
"TrapA","0","TrapA","550","NONE","0","0","0","NONE","NONE","0","1048","0","NONE","AccelBoardA","NONE","3100","NONE","1600","2500","EnemyH"
"AccelBoardA","0","JumpOverTrap","500","NONE","3500","3000","0","NONE","TrapA","0","1049","0","NONE","WholeCake","NONE","2500","TrapA","1000","2000","SpeedTerritoryB"
"JumpOverTrap","0","JumpOverTrap","600","NONE","3600","3000","0","NONE","JumpOverTrap","0","1050","0","NONE","JumpOverTrap","NONE","2400","JumpOverTrap","1200","1800","JumpOverTrap"
"JumpBoard","0","JumpBoard","500","NONE","0","0","0","NONE","NONE","0","1051","0","NONE","JumpBoard","NONE","3000","NONE","1300","2200","JumpBoard"
"JumpBoard","0","SpeedTerritoryA","300","NONE","0","0","0","NONE","NONE","0","1052","0","NONE","JumpBoard","NONE","3500","NONE","1200","2100","JumpBoard"
"JumpOverTrap","0","TrapA","600","NONE","3600","3000","0","NONE","TrapA","0","1053","0","NONE","JumpOverTrap","NONE","2400","TrapA","1200","1800","JumpOverTrap"
"NONE","0","NONE","500","NONE","0","0","0","NONE","NONE","0","1054","0","NONE","NONE","NONE","0","NONE","0","0","JumpBoard"
"JumpBoard","0","EnemyB","300","NONE","0","0","0","NONE","NONE","0","1055","0","NONE","JumpBoard","NONE","3500","NONE","1200","2100","JumpBoard"
"JumpOverTrap","0","JumpOverTrap","600","NONE","3600","3000","0","NONE","JumpOverTrap","0","1056","0","NONE","JumpOverTrap","NONE","2400","TrapA","1200","1800","JumpOverTrap"
"JumpBoard","0","NONE","500","NONE","0","0","0","NONE","NONE","0","1057","0","NONE","JumpBoard","NONE","0","NONE","1500","2500","JumpBoard"
"JumpBoard","0","EnemyD","300","NONE","0","0","0","NONE","NONE","0","1058","0","NONE","JumpBoard","NONE","3500","NONE","1200","2100","JumpBoard"
"JumpOverTrap","0","JumpOverTrap","600","NONE","3600","3000","0","NONE","TrapA","0","1059","0","NONE","JumpOverTrap","NONE","2400","TrapA","1200","1800","JumpOverTrap"
"NONE","0","NONE","1300","NONE","0","0","0","NONE","NONE","0","1060","0","NONE","JumpBoard","NONE","0","NONE","2500","0","JumpBoard"
"JumpBoard","0","JumpOverEnemyB","300","NONE","0","0","0","NONE","NONE","0","1061","0","NONE","JumpBoard","NONE","3500","NONE","1200","2100","JumpBoard"
"AccelBoardA","0","JumpOverTrap","500","NONE","0","3300","0","NONE","JumpOverTrap","0","1062","0","NONE","TrapA","NONE","2600","NONE","1200","1800","EnemyH"
"AccelBoardA","0","NONE","700","NONE","0","0","0","NONE","NONE","0","1063","0","NONE","SpeedTerritoryB","NONE","0","NONE","2300","3300","JumpBoard"
"StoneFlyingItem","0","EnemyB","600","NONE","2800","2400","0","NONE","StoneFlyingItem","3200","1064","0","NONE","Onigiri","StoneFlyingItem","2000","EnemyI","1200","1600","SpeedTerritoryB"
"Onigiri","3600","EnemyB","400","NONE","2400","2000","3200","EnemyI","StoneFlyingItem","2800","1065","0","EnemyI","TrapA","StoneFlyingItem","1600","EnemyA","800","1200","EnemyH"
"EnemyI","0","Onigiri","400","NONE","2800","2400","3600","EnemyI","EnemyB","3200","1066","0","NONE","EnemyA_NoColl","EnemyI","2000","EnemyD","800","1600","JumpBoard"
"AccelBoardA","0","SpeedTerritoryA","400","NONE","3200","2800","0","NONE","Onigiri","3600","1067","0","NONE","AccelBoardA","EnemyA","2400","EnemyB","1100","1800","AccelBoardA"
"WholeCake","0","Onigiri","300","NONE","0","0","0","NONE","NONE","0","1068","0","NONE","WholeCake","NONE","2700","NONE","1300","2000","WholeCake"
"WholeCake","0","WholeCake","300","NONE","0","0","0","NONE","NONE","0","1069","0","NONE","WholeCake","NONE","3200","NONE","1200","2200","WholeCake"
"WholeCake","0","Onigiri","300","NONE","0","0","0","NONE","NONE","0","1070","0","NONE","WholeCake","NONE","2550","NONE","1150","1850","WholeCake"
"WholeCake","0","Onigiri","300","NONE","0","0","0","NONE","NONE","0","1071","0","NONE","WholeCake","NONE","2400","NONE","1000","1700","WholeCake"
"EnemyA","0","WholeCake","400","NONE","0","0","0","NONE","NONE","0","1072","0","NONE","SpeedTerritoryB","NONE","1600","NONE","800","1200","TrapA"
"EnemyC","0","Balloon","400","NONE","0","0","0","NONE","NONE","0","1073","0","NONE","SpeedTerritoryB","NONE","1600","NONE","800","1200","TrapA"
