da6e2371125b979f27d57b7f9bbbf49790dd5802d43a6ae9bb04522744886374,3177c82b71ff0aa6361ce7a28f926be04267dfe6313a532e1dff9d882522e4a3,d08b3a21d78b81ce618184a907962d3065a391afa2de6e1e438e5cecd8669ddf,e7d17594e789aba735a369fcdf0902b2e0b022e64f7aeebe97d89802bc2ee159,0d8c0a47de00a76f5163db1ebee35e1f82ec08c0d68c7e06f45b85d7b92b1bd9,f8354e98612f127a53cfb363ea2eef26f4ebf147d307f55b40c2b70e96acac8c,3224d2d28fcf5805cee8a77d627bb9d6b5765b165fc534e2f1dea1aeda78ec24
"2500","50000","5126700","累計スコアを2500pt 獲得しよう","12","94002","1"
"5000","50000","0","累計スコアを5000pt 獲得しよう","12","94002","1"
"7500","50000","0","累計スコアを7500pt 獲得しよう","12","94002","1"
"10000","1","5126701","累計スコアを10000pt 獲得しよう","7","2839","1"
"12500","80000","0","累計スコアを12500pt 獲得しよう","12","94002","1"
"15000","80000","0","累計スコアを15000pt 獲得しよう","12","94002","1"
"17500","80000","0","累計スコアを17500pt 獲得しよう","12","94002","1"
"20000","25","5126702","累計スコアを20000pt 獲得しよう","8","91002","1"
"22500","100000","0","累計スコアを22500pt 獲得しよう","12","94002","1"
"25000","100000","0","累計スコアを25000pt 獲得しよう","12","94002","1"
"27500","100","0","累計スコアを27500pt 獲得しよう","8","91002","1"
"30000","1","5126703","累計スコアを30000pt 獲得しよう","15","11001262","1"
"2500","50000","5126710","累計スコアを2500pt 獲得しよう","12","94002","2"
"5000","50000","0","累計スコアを5000pt 獲得しよう","12","94002","2"
"7500","50000","0","累計スコアを7500pt 獲得しよう","12","94002","2"
"10000","1","5126711","累計スコアを10000pt 獲得しよう","7","2840","2"
"12500","80000","0","累計スコアを12500pt 獲得しよう","12","94002","2"
"15000","80000","0","累計スコアを15000pt 獲得しよう","12","94002","2"
"17500","80000","0","累計スコアを17500pt 獲得しよう","12","94002","2"
"20000","25","5126712","累計スコアを20000pt 獲得しよう","8","91002","2"
"22500","100000","0","累計スコアを22500pt 獲得しよう","12","94002","2"
"25000","100000","0","累計スコアを25000pt 獲得しよう","12","94002","2"
"27500","100","0","累計スコアを27500pt 獲得しよう","8","91002","2"
"30000","1","5126713","累計スコアを30000pt 獲得しよう","15","11001263","2"
