b1129fbf6279bbb11cceb2858c12e488e18fce53394a92cb7bf2c3e3eb535e63,ec05d96e738615ad24a423996fcbc7f0f6768102adcdc39dd8f8d1364d2fe8fd,de6817fd01cf6e0fd085a0810b0e22a495c830b91b781bea6d08713bf48481e4,4e5621b0cdfc8830d446472920414efd7645c269ac77c810bf5bc962a09e04e6,a3a9f1d6e6db3319eb8088558fbc3fc480c99b90eb3bd8e9482e48e7de4eabae,f45c5fd2e5da84ec00b0e37e873852e16c5926254cf0b712fb7d38d355e03903,20c948d815a143d680405bbe6f499b6788c46def81c30d45739fe8ca302efcac,2a38ba9ef20486cd8ff02d82c86f73b739d53cb8601d2ecd60f45d52b8a69d8a,212f520223bcb30ae7fecf0444a4f3119bb7bea8a1517334e004ccf8bd37b370,7fda046b7c66747b1ce9afc229f9ddd4a0150e0b8568e36b5709ca2e67a1b6a1,6aa28d652aa874ab26b7a6ef590600f75cfee85d96b07abcde4ffde1417208bd
"10","2","8","91002","1","2","8","25012","25021","282001001","31"
"10","2","8","91002","2","2","8","25012","25021","282001002","31"
"10","2","8","91002","3","2","8","25012","25021","282001003","32"
"10","2","8","91002","4","2","8","25012","25021","282001004","32"
"10","2","8","91002","5","2","8","25012","25021","282001005","33"
"10","2","8","91002","6","2","9","25012","25021","282001006","33"
"10","2","8","91002","7","2","9","25012","25021","282001007","34"
"10","2","8","91002","8","2","9","25012","25021","282001008","35"
"10","2","8","91002","9","2","9","25012","25021","282001009","35"
"30","2","8","91002","10","2","10","25012","25021","282001010","37"
"10","2","8","91002","11","2","10","25012","25021","282001011","41"
"10","2","8","91002","12","2","11","25012","25021","282001012","43"
"10","2","8","91002","13","2","11","25012","25021","282001013","46"
"10","2","8","91002","14","2","12","25012","25021","282001014","48"
"10","2","8","91002","15","2","12","25012","25021","282001015","50"
"10","2","8","91002","16","2","13","25012","25021","282001016","53"
"10","2","8","91002","17","2","14","25012","25021","282001017","55"
"10","2","8","91002","18","2","14","25012","25021","282001018","58"
"10","2","8","91002","19","2","15","25012","25021","282001019","60"
"30","2","8","91002","20","2","15","25012","25021","282001020","62"
"10","2","8","91002","21","2","16","25012","25021","282001021","68"
"10","2","8","91002","22","2","16","25012","25021","282001022","70"
"10","2","8","91002","23","2","16","25012","25021","282001023","72"
"10","2","8","91002","24","2","17","25012","25021","282001024","75"
"10","2","8","91002","25","2","18","25012","25021","282001025","77"
"10","2","8","91002","26","2","18","25012","25021","282001026","79"
"10","2","8","91002","27","2","19","25012","25021","282001027","82"
"10","2","8","91002","28","2","19","25012","25021","282001028","84"
"10","2","8","91002","29","2","19","25012","25021","282001029","86"
"30","2","8","91002","30","2","20","25012","25021","282001030","89"
"10","2","8","91002","31","2","20","25012","25021","282001031","94"
"10","2","8","91002","32","2","21","25012","25021","282001032","96"
"10","2","8","91002","33","2","21","25012","25021","282001033","99"
"10","2","8","91002","34","2","22","25012","25021","282001034","101"
"10","2","8","91002","35","2","22","25012","25021","282001035","103"
"10","2","8","91002","36","2","23","25012","25021","282001036","106"
"10","2","8","91002","37","2","23","25012","25021","282001037","108"
"10","2","8","91002","38","2","24","25012","25021","282001038","111"
"10","2","8","91002","39","2","25","25012","25021","282001039","113"
"30","2","8","91002","40","2","25","25012","25021","282001040","115"
"10","2","8","91002","41","2","26","25012","25021","282001041","121"
"10","2","8","91002","42","2","27","25012","25021","282001042","123"
"10","2","8","91002","43","2","28","25012","25021","282001043","125"
"10","2","8","91002","44","2","28","25012","25021","282001044","128"
"10","2","8","91002","45","2","29","25012","25021","282001045","130"
"10","2","8","91002","46","2","30","25012","25021","282001046","132"
"10","2","8","91002","47","2","30","25012","25021","282001047","135"
"10","2","8","91002","48","2","31","25012","25021","282001048","137"
"10","2","8","91002","49","2","31","25012","25021","282001049","139"
"30","2","8","91002","50","2","31","25012","25021","282001050","142"
"10","2","8","91002","51","2","32","25012","25021","282001051","144"
"10","2","8","91002","52","2","32","25012","25021","282001052","146"
"10","2","8","91002","53","2","32","25012","25021","282001053","149"
"10","2","8","91002","54","2","33","25012","25021","282001054","152"
"10","2","8","91002","55","2","33","25012","25021","282001055","155"
"10","2","8","91002","56","2","33","25012","25021","282001056","157"
"10","2","8","91002","57","2","34","25012","25021","282001057","160"
"10","2","8","91002","58","2","34","25012","25021","282001058","163"
"10","2","8","91002","59","2","34","25012","25021","282001059","166"
"30","2","8","91002","60","2","35","25012","25021","282001060","169"
"10","2","8","91002","61","2","35","25012","25021","282001061","171"
"10","2","8","91002","62","2","35","25012","25021","282001062","174"
"10","2","8","91002","63","2","36","25012","25021","282001063","177"
"10","2","8","91002","64","2","36","25012","25021","282001064","180"
"10","2","8","91002","65","2","36","25012","25021","282001065","182"
"10","2","8","91002","66","2","37","25012","25021","282001066","185"
"10","2","8","91002","67","2","37","25012","25021","282001067","187"
"10","2","8","91002","68","2","37","25012","25021","282001068","190"
"10","2","8","91002","69","2","38","25012","25021","282001069","193"
"30","2","8","91002","70","2","38","25012","25021","282001070","196"
"10","2","8","91002","71","2","39","25012","25021","282001071","200"
"10","2","8","91002","72","2","39","25012","25021","282001072","204"
"10","2","8","91002","73","2","40","25012","25021","282001073","208"
"10","2","8","91002","74","2","40","25012","25021","282001074","212"
"10","2","8","91002","75","2","41","25012","25021","282001075","216"
"10","2","8","91002","76","2","41","25012","25021","282001076","220"
"10","2","8","91002","77","2","42","25012","25021","282001077","224"
"10","2","8","91002","78","2","42","25012","25021","282001078","228"
"10","2","8","91002","79","2","43","25012","25021","282001079","232"
"30","2","8","91002","80","2","43","25012","25021","282001080","236"
"10","2","8","91002","81","2","44","25012","25021","282001081","240"
"10","2","8","91002","82","2","44","25012","25021","282001082","244"
"10","2","8","91002","83","2","45","25012","25021","282001083","248"
"10","2","8","91002","84","2","45","25012","25021","282001084","252"
"10","2","8","91002","85","2","46","25012","25021","282001085","256"
"10","2","8","91002","86","2","46","25012","25021","282001086","260"
"10","2","8","91002","87","2","47","25012","25021","282001087","264"
"10","2","8","91002","88","2","47","25012","25021","282001088","268"
"10","2","8","91002","89","2","48","25012","25021","282001089","272"
"30","2","8","91002","90","2","48","25012","25021","282001090","276"
