682d6a271246806c9c8a76da3d29d8f0eb6b8ccd86532e3b9ece491cba631520,861bd9b5feb823518ff680292d34dc10bdc824a51b9c51a3f6f3edf46e783f4f,87af04626c8cc1d94b2ed00e711b579ac14e094a0db58943c9f1de2b43c73ed8,91db6af57bd225b03d5d4396364dc9e49ceedd98225a38e29c57735cd8489115,7bc979def5cefb39e85cf614630476bd3e709ac75e3738c9a6bb2cab0d4e033a,1ab9b657a2812b61c2954b38ae3305558545a443640bfce789fc8d32b23cda67,9ff26be097bd7150f92e96f6c27df8a655f99e5947f4067e590e9362ade169ae,9d5fba3430b0573c7f6fca18427c05a4cb21b9e7922a21ebb81851286d18993b,7383c925a4ef5891d740778854c9ddfdaa95a3d72b3ca48cec739936e178a0ea,d72600da89c4d8abbeb7c69691b574daf311e096207bcd19f34423401a1626f8,66325c88b9d685b25157332d07e14e40945c600a9825ae2bb3fe08d4f7ebcf32
"1010001","ttk_idle_def","-120","100","850","1","1","1","102611","1","5"
"1010002","","1","0","0","1","","2","2","1","31"
"1010003","","1","-120","-80","1","","1","1","1","31"
"1010004","","","","","1","","1","","","93"
"1010005","","","0","0","1","","vo_minigame_1005","vo_minigame_1005_top_000","","21"
"1010006","","1","ttk_idle_doya","0","1","0.3","102611","ttk_doya","0.3","3"
"1010007","","","","8","1","0","102611","任された仕事は\nきちんとやるよ","0","11"
"1010008","","","","","1","","0","","","91"
"1020001","ttk_idle_def","-120","100","850","2","1","1","102611","1","5"
"1020002","","1","0","0","2","","2","2","1","31"
"1020003","","1","-120","-80","2","","1","1","1","31"
"1020004","","","","","2","","1","","","93"
"1020005","","","0","0","2","","vo_minigame_1005","vo_minigame_1005_top_001","","21"
"1020006","","1","ttk_idle_def","0","2","0.3","102611","ttk_idle_smile","0.3","3"
"1020007","","","","8","2","0","102611","あたしの前に\n現れたこと\n後悔させてあげる","0","11"
"1020008","","","","","2","","0","","","91"
"1030001","ttk_idle_def","-120","100","850","3","1","1","102611","1","5"
"1030002","","1","0","0","3","","2","2","1","31"
"1030003","","1","-120","-80","3","","1","1","1","31"
"1030004","","","","","3","","1","","","93"
"1030005","","","0","0","3","","vo_minigame_1005","vo_minigame_1005_top_002","","21"
"1030006","","1","ttk_idle_joy","0","3","0.3","102611","ttk_joy","0.1","3"
"1030007","","","","8","3","0","102611","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","0","11"
"1030008","","","","","3","","2.2","","","93"
"1030009","","","","1","3","0.3","102611","ttk_talk_sad","0.3","3"
"1030010","","","","","3","","3","","","93"
"1030011","","","","1","3","0.3","102611","ttk_idle_def","0.3","3"
"1030012","","","","","3","","0","","","91"
"1040001","ttk_idle_def","-120","100","850","4","1","1","102611","1","5"
"1040002","","1","0","0","4","","2","2","1","31"
"1040003","","1","-120","-80","4","","1","1","1","31"
"1040004","","","","","4","","1","","","93"
"1040005","","","0","0","4","","vo_minigame_1005","vo_minigame_1005_top_003","","21"
"1040006","","1","ttk_idle_shock","0","4","0.3","102611","ttk_shock","0.3","3"
"1040007","","","","8","4","0","102611","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","0","11"
"1040008","","","","","4","","5","","","93"
"1040009","","","","1","4","0.3","102611","ttk_idle_def","0.3","3"
"1040010","","","","","4","","0.7","","","93"
"1050001","ttk_idle_def","-120","100","850","5","1","1","102611","1","5"
"1050002","","1","0","0","5","","2","2","1","31"
"1050003","","1","-120","-80","5","","1","1","1","31"
"1050004","","","","","5","","1","","","93"
"1050005","","","0","0","5","","vo_minigame_1005","vo_minigame_1005_top_004","","21"
"1050006","","","","0","5","0.3","102611","ttk_surprise","0.3","3"
"1050007","","","","8","5","0","102611","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","0","11"
"1050008","","","","","5","","0.9","","","93"
"1050009","","","","1","5","0.3","102611","ttk_talk_anger","0.3","3"
"1050010","","","","","5","","0.8","","","93"
"1050011","","1","ttk_talk_sad","0","5","0.3","102611","ttk_sad","0.3","3"
"1050012","","","","","5","","5","","","93"
"1050013","","","","1","5","0.3","102611","ttk_idle_def","0.3","3"
"1050014","","","","","5","","0","","","91"
"1060001","ttk_idle_def","-120","100","850","6","1","1","102611","1","5"
"1060002","","1","0","0","6","","2","2","1","31"
"1060003","","1","-120","-80","6","","1","1","1","31"
"1060004","","","","","6","","1","","","93"
"1060005","","","0","0","6","","vo_minigame_1005","vo_minigame_1005_top_005","","21"
"1060006","","","","1","6","0.3","102611","ttk_idle_worry","0.3","3"
"1060007","","","","8","6","0","102611","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","0","11"
"1060008","","","","","6","","7","","","93"
"1060009","","1","ttk_idle_def","0","6","0.3","102611","ttk_amz","0.3","3"
"1060010","","","","","6","","0","","","91"
