de906607d0af717eef07af5724f4015238bac56ed0aa277aee0b295381773892,bab87deb0b4a46533db12063e2ed8696023cd7acce03e930e4bdbcf0debd22e7,aa506e4d8392a9cd156d8eb5fc0175b1ea796ff7c5c53c77160f4310f64b53b9,f29599f004e8c5d285a0ef475ac593bc9efefc84a496d9076ebf23bed334f881,7d4504a05e615a3d6c606a028ab59886e6f04af6292c07978b3ab20df752673a,66af958aa268e62e01a04c304854cb34606acb70846b5a351dc28dc9d640997f,baf953ef891f13caa1808bb5657fd92f54d7c9dadeff7b8415511b1c0c8e8529,374bb80bd273ade8996b8bb8f5789d92a1cfd6cb0a7beed116e39a58958ff0f4,1f36baa898c90f80cd853335067f03d98382904031428bcaa835ac839b887772,ab3c596285296c1da24d8415490fa2da7b05315353f55263a92d7cecce4bf6c7,cf11b0914866526106a590cc4f2d3af0ec6eee900a493f5e5827aac5595b1df9,adce4f419c9f9edd437de8a14882556de0887cbddb95ed9c9b592c3ac3c57c24,cc23918b06b7cf2a48a4403ecd3db80de1be1826aaca8edf56c020e6568d7a8b,1a014cb3e11c4bc3bca075eb3842d124df8bb0fd26eda5546d038561f00f60e2,714fafedc5d21ae7f830964e44b8b5cea610f32d36f5ee408c2eb656c4db8d71,f133301c8563d4ddb6475389e93ff0b7d8c9677f0bb40f3601e79cc27b725bd7,eb2b1577def6425be08899223d7a4ca25cfc4574173f5e2e51c3a369d480a524,25f2cfe49157dadb62cbd5b1dca1c6521a507c3c1906e8d4661d8d8ad08647ba
"12","0","22003","94002","20003","5","8","2","5","0","1","91002","150","0","2","1","150000","20"
"12","0","22003","94002","20003","9","8","2","2","0","2","91002","145","0","2","6","100000","15"
"12","0","22002","94002","20003","19","8","2","5","0","3","91002","140","0","2","10","80000","11"
"12","0","22002","94002","20003","29","8","2","5","0","4","91002","130","0","2","20","80000","10"
"12","0","22002","94002","20003","39","8","2","4","0","5","91002","120","0","2","30","70000","9"
"12","0","22002","94002","20003","49","8","2","4","0","6","91002","110","0","2","40","70000","8"
"12","0","22002","94002","20003","99","8","2","3","0","7","91002","100","0","2","50","60000","7"
"12","0","22002","94002","20003","499","8","2","2","0","8","91002","80","0","2","100","40000","2"
"12","0","22002","94002","20002","999","8","2","1","0","9","91002","50","0","2","500","20000","7"
"12","0","22001","94002","20002","4999","8","2","3","0","10","91002","20","0","2","1000","16000","4"
"12","0","22001","94002","20002","9999","8","2","2","0","11","91002","15","0","2","5000","9000","3"
"12","0","22001","94002","20001","11999","8","2","1","0","12","91002","10","0","2","10000","4000","8"
"12","0","22001","94002","20001","13999","8","2","1","0","13","91002","5","0","2","12000","3000","7"
"12","0","22001","94002","20001","14999","8","2","1","0","14","91002","4","0","2","14000","2000","6"
"12","0","22001","94002","20001","30000","8","2","1","0","15","91002","3","0","2","15000","1800","5"
