f0d4fc76e76cbaa040eb27d9ffe2d89f88e83c97e993ac8631ed99c98574796e,98f867796a1bd048aa9576a5bff7498ed345e19d65b925440d92c8f358ba3156,e7e62f267e520037dee3e294b25ec892428f0df0022ae9360b1370e74da7b296,69e278448bf78945f9b83a98d6a1fd9e0aec9e8017b91ef9df706492be8679ae,886a64aa453851cdf0551cbd90d234eca87c397452efd3e5f4948ed658732b27,044221ab5d2827ea92e4b260db032e67a562763131218570eb73f512669e813e,bf4c5b907ddd94db0c39e43aca6a645e50b0e62fae69953a9046ffc3549e52df,f7adb720384df7cf9b2a0cb0448ab0555f269edd673c3cc8235f2eee2f352c78,88184edb0adb4906fde86bba9eee7205fd9891e75fa6925c9a38399139e01a3a,42fcae352a17e43862af58852e7ced0e8987267b1a82eeeeba908af659441ef3,af8eb21125d4c47ad25a1b3ab7ff29d6cf2aa7d0e65f14b35a12184884574307,e8b5c85dbe9e55807c92bb180aad547b2ee9adddb01e9aae44353045f302d936,50cf57a790b2da70a7bce025b1a6514d12ea60eb1c8fadcf1f936f33f4fb1479,323aaf7c3371bc23479e85c6a9443b4189b07e73a3d7ddf5db147591399db71f,2450f1178c3f4389010352e97d36c8d0e6276815216f46c1d79788fb9fd7c641,08c96d8a37b881e348fdb5eb7fb5106991604178b29678a634637232e17c3aa2,bc1e394e2dd6e9f39137ac31e03efc7b25545cc2de4bf5f82d34dae5c9941711,0d2c3e88ca182177aca6c0f4c30af2f0778518423310153ad2e9e25b7c5d6e65,f495fdfb301385050cab9e5fb9696f3aa3dd299d59d8acb6737c5e949d237d23,7513a9db526fbf964609a42ff7a76fdb043a0cd6fb7fcaee397ca79056606ff5,f634f37aa50dc7242d9a626d1f7ea601e7ae68d7dc147505e56e73b0d8a0e6eb,378bf3dc2ae0517f63dbd2798b8f92fdef244f4c8ca72a51c091e79db71d03cf
"-30","10","bgm_M64","210","1","0.8","-120","250","1","1001","0.6","101001","0","0","0.7","-480","1","1","-30","1","10010101","101001"
"0","10","bgm_M64","200","2","1.2","-120","0","1","1001","0.75","101001","0","0","1","-260","2","1","-30","1","10010102","101001"
"-10","0","bgm_M64","200","3","1.1","0","100","1","1001","0.75","101001","-50","0","1","-40","3","1","-30","1","10010103","101001"
"0","0","bgm_M64","200","4","1","-50","0","1","1001","0.7","101001","0","0","1","240","4","1","-30","1","10010104","101001"
"0","0","bgm_M55","250","5","1.3","-40","200","1","1001","1.2","101011","0","0","1","480","5","1","-30","1","10010105","101011"
"-30","10","bgm_M64","210","1","0.8","-155","250","1","1002","0.6","101001","0","0","0.7","-480","1","1","-30","1","10020101","101021"
"0","10","bgm_M64","200","2","1.2","-120","250","1","1002","0.75","101001","0","0","1","-265","2","1","-30","1","10020102","101021"
"-10","0","bgm_M64","200","3","1.4","30","100","1","1002","0.9","101001","-30","-15","1","-30","3","1","-30","1","10020103","101021"
"0","0","bgm_M64","200","4","1.5","-90","100","1","1002","1","101001","-30","0","1.25","220","4","1","-30","1","10020104","101021"
"0","0","bgm_M55","250","5","1.8","0","200","1","1002","1.4","101011","0","0","1.6","440","5","1","-30","1","10020105","101031"
"-30","10","bgm_M64","210","1","0.8","-155","250","1","1003","0.6","101041","0","0","0.7","-470","1","1","-30","1","10030101","101041"
"0","10","bgm_M64","200","2","1.2","-95","250","1","1003","0.75","101041","0","0","1","-210","2","1","-30","1","10030102","101041"
"-10","0","bgm_M64","200","3","1.1","-120","100","1","1003","0.75","101041","-50","0","1","50","3","1","-30","1","10030103","101041"
"0","0","bgm_M64","200","4","1.5","35","100","1","1003","0.8","101041","-30","0","1.2","195","4","1","-30","1","10030104","101041"
"0","0","bgm_M55","210","5","1.8","-55","150","1","1003","1.1","101042","-50","0","1.35","450","5","1","-30","1","10030105","101042"
"-30","10","bgm_M64","210","1","0.8","-120","250","1","1004","0.6","101161","0","0","0.7","-480","1","1","-30","1","10040101","101161"
"0","10","bgm_M64","200","2","1.2","-120","0","1","1004","0.75","101161","0","0","1","-260","2","1","-30","1","10040102","101161"
"-10","0","bgm_M64","200","3","1.4","55","100","1","1004","0.9","101161","-30","-15","1","-20","3","1","-30","1","10040103","101161"
"0","0","bgm_M64","200","4","1.3","-30","0","1","1004","0.9","101161","-30","0","1","180","4","1","-30","1","10040104","101161"
"-30","0","bgm_M55","250","5","1.2","-60","200","1","1004","0.9","101162","-50","-40","0.9","470","5","1","-30","1","10040105","101162"
"-30","10","bgm_M64","210","1","0.8","-120","250","1","1005","0.6","101161","0","0","0.7","-480","1","1","-30","1","10050101","101171"
"0","10","bgm_M64","200","2","1.2","-120","0","1","1005","0.75","101161","0","0","1","-260","2","1","-30","1","10050102","101171"
"-10","0","bgm_M64","200","3","1.4","45","100","1","1005","0.9","101161","-30","-15","1","-20","3","1","-30","1","10050103","101171"
"0","0","bgm_M64","200","4","1","-70","0","1","1005","0.7","101161","0","0","1","190","4","1","-30","1","10050104","101171"
"0","0","bgm_M55","240","5","1.3","-25","200","1","1005","1","101162","-30","-40","1","445","5","1","-30","1","10050105","101172"
"-30","10","bgm_M64","210","1","0.8","-120","250","1","1006","0.6","101161","0","0","0.7","-480","1","1","-30","1","10060101","101191"
"0","10","bgm_M64","200","2","1.2","-100","0","1","1006","0.75","101161","0","0","1","-260","2","1","-30","1","10060102","101191"
