54ce4057cd4362f459d227e1d522f3c9d1df6479d774a441cda867cb97bcae1e,c5e4c2b768bec9c9b1df3642ec90006aee7d18a4b57163be77bf13e9d090fe52,cd1470f4289d3277599ae3c5547ad10a3d4bff2c98a616168be0cffc5da4ece5,d335e9661b42730330ce122db2887cbee00ffb50c583666380c0d648b57794b8,a4f28ba3677d203fe12830c5f4eb3749d8252463f64df11fd18c44325b38e3a8,1172084cdcae0046dff0710020aee6e3c926e76920c5d9209b0a7fdb65699376,9804b19e4c1830147928f44b5040e5d9b1c7233f3e8a17a2feea31a37ea0a302,e371290dc688859d272953157a34c67ea515724c3c4b3b43fd9554aa977f405a,25f4ff8ca3dfedecc1a85c9d9956168c2f05a299c8781c4288de9f443558f5ab,582624e4e73ba9f1063033d55dc7cd589efe1e61044ce7c805aba043fa0d1821
"1002","1003","32","1001","1","10590","1","1100001","1","575"
"1005","1006","32","1004","1","10590","1","1100002","1","575"
"1008","1009","32","1007","1","10590","2","1100003","1","575"
"1011","1012","33","1010","1","11820","1","1100004","1","500"
"1014","1015","33","1013","1","11820","1","1100005","1","500"
"1017","1018","33","1016","1","11820","2","1100006","1","500"
"1020","1021","33","1019","1","11820","4","1100007","1","500"
"1023","1024","35","1022","1","13050","1","1100008","1","375"
"1026","1027","35","1025","1","13050","1","1100009","1","375"
"1029","1030","35","1028","1","13050","6","1100010","1","375"
"2002","2003","34","2001","1","10590","1","1200001","2","575"
"2005","2006","34","2004","1","10590","1","1200002","2","575"
"2008","2009","34","2007","1","10590","1","1200003","2","575"
"2011","2012","34","2010","1","10590","1","1200004","2","575"
"2014","2015","34","2013","1","10590","2","1200005","2","575"
"2017","2018","34","2016","1","10590","4","1200006","2","575"
"2020","2021","34","2019","1","10590","6","1200007","2","575"
"2023","2024","35","2022","1","11820","1","1200008","2","500"
"2026","2027","35","2025","1","11820","1","1200009","2","500"
"2029","2030","35","2028","1","11820","1","1200010","2","500"
"2032","2033","35","2031","1","11820","1","1200011","2","500"
"2035","2036","35","2034","1","11820","4","1200012","2","500"
"2038","2039","35","2037","1","11820","6","1200013","2","500"
"2041","2042","38","2040","1","13050","1","1200014","2","375"
"2044","2045","38","2043","1","13050","1","1200015","2","375"
"2047","2048","38","2046","1","13050","1","1200016","2","375"
"2050","2051","38","2049","1","13050","1","1200017","2","375"
"2053","2054","38","2052","1","13050","2","1200018","2","375"
"2056","2057","38","2055","1","13050","4","1200019","2","375"
"2059","2060","38","2058","1","13050","6","1200020","2","375"
"3002","3003","37","3001","1","10590","1","1300001","3","575"
"3005","3006","37","3004","1","10590","1","1300002","3","575"
"3008","3009","37","3007","1","10590","1","1300003","3","575"
"3011","3012","37","3010","1","10590","1","1300004","3","575"
"3014","3015","37","3013","1","10590","1","1300005","3","575"
"3017","3018","37","3016","1","10590","1","1300006","3","575"
"3020","3021","37","3019","1","10590","2","1300007","3","575"
"3023","3024","37","3022","1","10590","2","1300008","3","575"
"3026","3027","37","3025","1","10590","4","1300009","3","575"
"3029","3030","37","3028","1","10590","6","1300010","3","575"
"3032","3033","38","3031","1","11820","1","1300011","3","500"
"3035","3036","38","3034","1","11820","1","1300012","3","500"
"3038","3039","38","3037","1","11820","1","1300013","3","500"
"3041","3042","38","3040","1","11820","1","1300014","3","500"
"3044","3045","38","3043","1","11820","1","1300015","3","500"
"3047","3048","38","3046","1","11820","1","1300016","3","500"
"3050","3051","38","3049","1","11820","2","1300017","3","500"
"3053","3054","38","3052","1","11820","4","1300018","3","500"
"3056","3057","38","3055","1","11820","4","1300019","3","500"
"3059","3060","38","3058","1","11820","6","1300020","3","500"
"3062","3063","40","3061","1","13050","1","1300021","3","375"
"3065","3066","40","3064","1","13050","1","1300022","3","375"
"3068","3069","40","3067","1","13050","1","1300023","3","375"
"3071","3072","40","3070","1","13050","1","1300024","3","375"
"3074","3075","40","3073","1","13050","1","1300025","3","375"
"3077","3078","40","3076","1","13050","1","1300026","3","375"
"3080","3081","40","3079","1","13050","2","1300027","3","375"
"3083","3084","40","3082","1","13050","4","1300028","3","375"
"3086","3087","40","3085","1","13050","6","1300029","3","375"
"3089","3090","40","3088","1","13050","6","1300030","3","375"
"4002","4003","29","4001","2","9360","3","2100001","1","700"
"4005","4006","29","4004","2","9360","5","2100002","1","700"
"4008","4009","29","4007","2","9360","7","2100003","1","700"
"4011","4012","29","4010","2","9360","3","2100004","1","700"
"4014","4015","29","4013","2","9360","5","2100005","1","700"
"4017","4018","29","4016","2","9360","7","2100006","1","700"
"4020","4021","30","4019","2","10590","3","2100007","1","575"
"4023","4024","30","4022","2","10590","5","2100008","1","575"
"4026","4027","30","4025","2","10590","7","2100009","1","575"
"4029","4030","30","4028","2","10590","3","2100010","1","575"
"5002","5003","33","5001","2","9360","3","2200001","2","700"
"5005","5006","33","5004","2","9360","5","2200002","2","700"
"5008","5009","33","5007","2","9360","7","2200003","2","700"
"5011","5012","33","5010","2","9360","3","2200004","2","700"
"5014","5015","33","5013","2","9360","5","2200005","2","700"
"5017","5018","33","5016","2","9360","7","2200006","2","700"
"5020","5021","33","5019","2","9360","3","2200007","2","700"
"5023","5024","33","5022","2","9360","5","2200008","2","700"
"5026","5027","33","5025","2","9360","7","2200009","2","700"
"5029","5030","33","5028","2","9360","3","2200010","2","700"
"5032","5033","33","5031","2","9360","5","2200011","2","700"
"5035","5036","33","5034","2","9360","7","2200012","2","700"
"5038","5039","34","5037","2","10590","3","2200013","2","575"
"5041","5042","34","5040","2","10590","5","2200014","2","575"
"5044","5045","34","5043","2","10590","7","2200015","2","575"
"5047","5048","34","5046","2","10590","3","2200016","2","575"
"5050","5051","34","5049","2","10590","5","2200017","2","575"
"5053","5054","34","5052","2","10590","7","2200018","2","575"
"5056","5057","34","5055","2","10590","5","2200019","2","575"
"5059","5060","34","5058","2","10590","7","2200020","2","575"
"6002","6003","33","6001","2","9360","3","2300001","3","700"
"6005","6006","33","6004","2","9360","5","2300002","3","700"
"6008","6009","33","6007","2","9360","7","2300003","3","700"
"6011","6012","33","6010","2","9360","3","2300004","3","700"
"6014","6015","33","6013","2","9360","5","2300005","3","700"
"6017","6018","33","6016","2","9360","7","2300006","3","700"
"6020","6021","33","6019","2","9360","3","2300007","3","700"
"6023","6024","33","6022","2","9360","5","2300008","3","700"
"6026","6027","33","6025","2","9360","7","2300009","3","700"
