87f146937646abe02649592cc65f5311461d9812e28b6adcfd1d88b3a4384e53,9ca1bf921db025f5f6568a899416633092d4e998c5ddd50dff2660700c5524c0,de503f3ce2a9ff121e6bda29ba3cd07dc648c1d5166735a3f2d7f2a8a9ea0bd0,5cec602654222bb3062cfe0635a9ace0883b355c7cbf240ec602697365489c76,8c2e61550fe06b3d7b83dcb7c2192a13b2945dae39a0c7a80d0d719d30944eab
"-7","-4.5","990001","1","30010001"
"12","-21.5","990001","1","30010003"
"-3","-21.5","990001","1","30010004"
"-5.8","-21.6","1","1","30010007"
"-4.4","-21.6","1","1","30010008"
"-16.7","-8.6","1","1","30010029"
"-7","-13","1","1","30010038"
"-5.5","2.9","990002","1","30010047"
"-8.9","-17.6","1","1","30010055"
"-6.6","-19","1","1","30010056"
"-5","-18.4","1","1","30010060"
"0.6","-20.4","3","1","30010061"
"-3.9","-17.2","3","1","30010062"
"-4.1","-14.9","1","1","30010063"
"2.2","-17","1","1","30010066"
"2.2","-18.5","1","1","30010068"
"2.2","-15.4","1","1","30010070"
"-9.6","-21.7","3","1","30010071"
"-11.9","-21.6","1","1","30010073"
"-12","-20","3","1","30010074"
"-1.9","-21.7","3","1","30010077"
"-4.9","-13.8","3","1","30010079"
"-17","-3.6","2","1","30010081"
"-15","-4.7","2","1","30010083"
"-13.9","-16.8","3","1","30010085"
"-7.1","-11.5","3","1","30010089"
"-8.1","-8.7","2","1","30010091"
"-5.7","-8.7","2","1","30010094"
"-16.3","-4.7","2","1","30010100"
"-13.8","-0.2","2","1","30010104"
"-13.9","2.3","2","1","30010106"
"-15.2","1","2","1","30010107"
"-16.6","2.1","2","1","30010109"
"-16.5","-0.1","2","1","30010110"
"-20","-2","2","1","30010112"
"-20","-0.8","2","1","30010113"
"-20","2","2","1","30010115"
"-20","3.7","2","1","30010116"
"-19.9","0.6","3","1","30010117"
"-18.2","-2.9","3","1","30010119"
"-19.5","-3","3","1","30010120"
"-15","-2.5","991002","1","30010125"
"-16.7","-2.5","991001","1","30010126"
"-8.5","-21.4","991001","1","30010130"
"-18.4","4.8","3","1","30010134"
"-17","5.8","3","1","30010136"
"-17.1","6.9","2","1","30010137"
"-17","8","3","1","30010138"
"-17","9.5","2","1","30010139"
"-13.5","5.3","2","1","30010145"
"-12.1","5.3","2","1","30010146"
"-15.5","8.7","3","1","30010147"
"-14.3","8.8","2","1","30010148"
"-13","8.8","3","1","30010149"
"-12.3","10.2","2","1","30010150"
"-10.8","8.4","2","1","30010152"
"-10.7","10.2","2","1","30010155"
"-6.2","-16.1","1","1","30010156"
"-7.3","6.8","2","1","30010160"
"-6.4","7.9","3","1","30010161"
"-6","6.4","1","1","30010162"
"-6","2","3","1","30010163"
"-6","4.6","1","1","30010164"
"-2.8","3","1","1","30010166"
"-2.2","5.3","1","1","30010168"
"-0.5","5.3","3","1","30010169"
"-4.9","-12.2","1","1","30010170"
"-4.9","-10.9","3","1","30010171"
"-3.8","8","1","1","30010173"
"-2.6","8.7","2","1","30010174"
"-1.5","8","1","1","30010175"
"-0.3","8.7","2","1","30010176"
"0.9","7.9","1","1","30010177"
"-1.9","3.3","2","1","30010178"
"-1.6","-0.8","2","1","30010181"
"1","0.4","1","1","30010182"
"2.4","0.4","2","1","30010183"
"3.6","0.4","1","1","30010184"
"6.4","1.3","1","1","30010186"
"8","1.3","3","1","30010187"
"9.5","1.3","1","1","30010188"
"5.4","4.9","2","1","30010189"
"6.4","5.8","1","1","30010190"
"7.5","4.9","2","1","30010191"
"8.6","5.8","2","1","30010192"
"3.8","5.7","1","1","30010193"
"11.1","0.4","3","1","30010194"
"14","0.2","2","1","30010195"
"15","1.4","3","1","30010196"
"14.1","2.4","2","1","30010197"
"15.1","3.5","1","1","30010198"
"14","4.3","2","1","30010199"
"12","6.3","1","1","30010200"
"10.3","6.3","2","1","30010201"
"12.1","-2.8","1","1","30010202"
"9.1","-1.7","3","1","30010203"
"9","-3","1","1","30010204"
"9","-4.7","3","1","30010205"
"15.9","-1.7","2","1","30010206"
"16.8","-3.2","2","1","30010207"
"15.8","-4.5","2","1","30010208"
"13.1","-2.8","3","1","30010209"
"10.2","-8.8","1","1","30010210"
"10.1","-7.5","2","1","30010211"
"10","-5.9","1","1","30010212"
"15.1","-8.7","3","1","30010213"
"16.2","-7.6","3","1","30010214"
