dd774bd670d9e6e6edc747968643a2cb9efe47f0e549a11e0c60a43309b965fe,375ecc358c6e4abf57dcbf1a375febb583d6dc50057cf66f032d048858653fa8,a5851a29cd2522f2cede25855e25d0a60f969841b14a37a84af7bff17a1a7588,232981a0cb452cbcbd9153a403b1bdc85cda1a1e6790353cba3a9d097b87a964,5df18f0b2a46b49585e0e48112f86c1485ed3c09f93e031656e5ec13f99ba9ff,b27b6e60bb4e7cbc5efcd56300fd677edf16400e10f4bd61512ebe2190b93e29,f803f816cb9461cb9749300b88560f12e81b49a96eeb040b1eb64a46943f4044,847ec5690b3769d4a8366d7af0829d84ff29c81e95ffaf121cd073061ac2d595,affe6c15a30e04c9b0ef958caaee3d9139bbb3798111739f9e10e87f80183ee0,f4a085b12d6ff23449ba71f6bb71ac5b1bc5fc432e224556c787f0516db0cb80,0a18bce3cdb4ca01c6e60cfa4b7eb6203c18e73bab27ac8d3c496ea75d465163,892794efbf921f6bb16e3ec51cea7d8d997eda8e6099f55831472ec3914a6a9e,d0a9225682d1b7133064c9968aee826da7c56a45facc28042d494d967543458d,bc52b36522730cc800ddc754025bad02fc0c649f40dda1a4a19448ae337b426d,6dfcd24d727de9c09dc207cfd017b786cd0975f9570d435224699103043e75bf,28437dc806f81ab6febbc73d151f01a1e1f78a1993363388e64a5a58bc824058,80695719bbd7c78e0d3fb0323c4e466a2726059736285a21a0f53a98e8735696,247e7571cdb395f0182b51c8d04dbb07864368910bc6bf3502d88516b42ea0c7
"5","94002","8","22003","0","150","0","20003","91002","12","0","2","20","150000","1","1","2","5"
"9","94002","8","22003","0","145","0","20003","91002","12","0","2","15","100000","2","6","2","2"
"19","94002","8","22002","0","140","0","20003","91002","12","0","2","11","80000","3","10","2","5"
"29","94002","8","22002","0","130","0","20003","91002","12","0","2","10","80000","4","20","2","5"
"39","94002","8","22002","0","120","0","20003","91002","12","0","2","9","70000","5","30","2","4"
"49","94002","8","22002","0","110","0","20003","91002","12","0","2","8","70000","6","40","2","4"
"99","94002","8","22002","0","100","0","20003","91002","12","0","2","7","60000","7","50","2","3"
"499","94002","8","22002","0","80","0","20003","91002","12","0","2","2","40000","8","100","2","2"
"999","94002","8","22002","0","50","0","20002","91002","12","0","2","7","20000","9","500","2","1"
"4999","94002","8","22001","0","20","0","20002","91002","12","0","2","4","16000","10","1000","2","3"
"9999","94002","8","22001","0","15","0","20002","91002","12","0","2","3","9000","11","5000","2","2"
"11999","94002","8","22001","0","10","0","20001","91002","12","0","2","8","4000","12","10000","2","1"
"13999","94002","8","22001","0","5","0","20001","91002","12","0","2","7","3000","13","12000","2","1"
"14999","94002","8","22001","0","4","0","20001","91002","12","0","2","6","2000","14","14000","2","1"
"30000","94002","8","22001","0","3","0","20001","91002","12","0","2","5","1800","15","15000","2","1"
