71c08a4afb198c5948ff359c1fd98cae32919f2730cdb9764d187a95bf525e1a,33adcff94c0d87555d715dd51c9e543988ce13cce54bbdb5e356b9f33ffadb7b,0ce3d28823cffe7f2a598cc2646f59e613f741198ce02d1e3aeb8c6f2653e9f1,4fcdb14f410b07ab64d0319fc11e5d044dbc747c41b31a7dac8fb5b927d117fe,3b42c705ef31a2651ef4cd8dd3ee57493512f935fabfc554ab6b593fb33b6969,ab0573ff752d451fc1a5c79e54a95ddbaec65de7de451c00a541e2c3198c579f,3578203ebae94f299628bbc99e5768e4c24665b4bf2b7279338f179b201bbb55,6964fa16efc4e910e16a27bbb8db3f1c9b9ce42be2eeb511e8f717f2edea6fcb,5e4b945b222d9967bda7d63b35fa3b7aaff722396360973ef428852019e5c0a2,2a100ea49ef10cd0911985edfd2f75727d77a0e1cdd869bad4fe8cd8f5ddc235,8cd82d26010399320062c51a363df95f735965b0486bae0f0a8740c471840920,6819b6918fbcb51ebd8ac9ecb33c38fc7aae595516744e62e4c90ce8b34b79e5,b094deced6e46602d27b3ab3998557fecf6065fce5a19b13f6b018b08ef844c7,1c9ba51549221ba616ebb2d71f1e46c4b4b67df417b9f0fe17ad95be6c1878ee,cdd752095729fe28bf4079db123c8c0e4b8fcda2cadb8510eba850baafebc9b8,b1f604ae0ebd2498aca3e673e3bbc00357fc3f0d1b8eb387d806b9ac7bec8f23,0eb1efb93f646ab14ac2b57125b1a355d5b3a06d301ba191610c8a2077f93de5,a32b1a104668938f4be38f1141987bdc589682cdfb2c522f05fcd213a09fc396,ff1fdd3dacae405aaa9a3392ad47a874e8936822862376cd2e43b44f82e2a9aa,e02f3620d5bb1485e56b8499a39b555de7b1eeb7cdf866f7c9efe9563b80c3dc,4ec6e00b4f36ecac317f185349cce54422c8fd33ca659f3617f6d0272fde4ad5,71b8602731485f3f9bc011bcc901c608dcf1344e8f013ef0470acf844bd17423,2e4195177d49dbe3837b54053d2f0cf347044384575bf060d71095507f0149b3,3db9467efb0cffaa0411afef8adbf942bc61a7922f70bca1139b33bab46037ea,a7c0393d09249957d36e82d1b8230822dac467ad7b47ec05a84050d2d1faa66e,ede6892870f06fd56c5ed8bcb066eb6a6643866656a908134ceedc9d9a5c2fae,e043668f5d35692179583872b042f02c00df80b40923e0b1d9dc23b2f8136e7f,9ae0c834d043ade9c0c7e8b5dca95e1b7be339d2a20e47ea0204a7f29eabed10,d6382ecb2c860e712e567c68c6f9356eeb115fdd59e11372ce5d7b3dd0d61241,2a50ff2307370b87df0317c9539a723bb1cb08e5156ba11d6ee480adf8838bdf,1db5523c0c14ee507ecc22db4b320c1213bf90538667ef367ff452bb9327476a,b1a85b5c05bb0d55973788d4bf45bc27d6eeda58440c983322a0d270c229eb00,dc4bd74f53f579a5b853a3e37d01f92da09163dbb9c9dc61260412e63b317c3e,ac4941380c41c1440c3a5128da7f618a2ee45af8dba5f9ae5eb9ac2929c11510
"650001011","770","20001","1.5","20001101","ボスバトル（NORMAL）","0.6","81000105","1","340","0","1","0","-50","90","bgm_M47","1","796","270","0","0","81000105","660001001","0","-40","-76","1","bgm_M47","1","2000101","200010","0","0","0"
"650001021","60","20001","1.5","20001201","ボスバトル（HARD）","0.6","81000106","1","341","0","1","0","-50","90","bgm_M47","1","70","270","0","0","81000106","660001002","0","-210","-180","2","bgm_M47","1","2000102","200010","0","0","0"
"650001031","470","20001","1.5","20001201","ボスバトル（VERYHARD）","0.6","81000106","1","344","0","1","0","-50","90","bgm_M47","1","520","270","0","0","81000106","660001003","0","-40","10","3","bgm_M47","1","2000103","200010","0","0","0"
"650002011","750","20002","1.3","20002101","ボスバトル（NORMAL）","0.6","81000205","1","5002301","0","1","0","0","90","bgm_M102","1","850","40","0","0","81000205","660002001","0","-30","20","1","bgm_M102","1","2000201","510021","0","0","0"
"650002021","140","20002","1.3","20002201","ボスバトル（HARD）","0.6","81000207","1","5002302","0","1","0","0","90","bgm_M102","1","-250","40","0","0","81000207","660002002","0","20","125","2","bgm_M102","1","2000202","510022","0","0","0"
"650002031","450","20002","1.3","20002201","ボスバトル（VERYHARD）","0.6","81000207","1","344","0","1","0","0","90","bgm_M102","1","500","40","0","345","81000207","660002003","0","-40","10","3","bgm_M102","1","2000203","510022","0","0","0"
"650003011","730","20003","1.1","20003101","ボスバトル（NORMAL）","0.6","81000305","1","5003302","0","1","0","30","90","bgm_M109","1","830","20","0","0","81000305","660003001","0","-40","10","1","bgm_M109","1","2000301","510031","0","0","0"
"650003021","180","20003","1.1","20003201","ボスバトル（HARD）","0.6","81000306","1","5003301","0","1","0","30","90","bgm_M109","1","210","20","0","0","81000306","660003002","0","20","90","2","bgm_M109","1","2000302","510032","0","0","0"
"650003031","450","20003","1.1","20003201","ボスバトル（VERY HARD）","0.6","81000306","1","344","0","1","0","30","90","bgm_M109","1","500","20","0","345","81000306","660003003","0","-40","10","3","bgm_M109","1","2000303","510032","0","0","0"
"650004011","770","20004","1.1","20004101","ボスバトル（NORMAL）","0.6","81000405","1","5004301","0","1","0","30","90","bgm_M116","1","870","20","0","0","81000405","660004001","0","-40","10","1","bgm_M116","1","2000401","510041","0","0","0"
"650004021","450","20004","1.1","20004201","ボスバトル（HARD）","0.6","81000406","1","5004302","0","1","0","30","90","bgm_M116","1","-30","20","0","0","81000406","660004002","0","-40","10","2","bgm_M116","1","2000402","510042","0","0","0"
"650004031","450","20004","1.1","20004201","ボスバトル（VERYHARD）","0.6","81000406","1","5004308","0","1","0","30","90","bgm_M116","1","500","20","0","0","81000406","660004003","0","-40","-10","3","bgm_M116","1","2000403","510042","0","0","0"
"650005011","770","20005","1.3","20005101","ボスバトル（NORMAL）","0.6","81000505","1","5005301","0","1","0","90","90","bgm_M124","1","870","90","0","0","81000505","660005001","0","-40","10","1","bgm_M124","1","2000501","510051","0","0","0"
