7db4431246b5f705d23faf9444cb39b190bf8bc4bd9258a08abfb16a10fc1f7d,24eb83d2964b40adc3a2b8aa87a0346944a0e6e0c80619efe738f243e4c81ac0,b8625aee99b2996e43b14fdb0e4ca6c6c8900cc7f142823077e2a85f6710e202,9a07411bad75f3988135d54867e2c9cd6fea50297e6eaff327f074711757e586,4853f45cf408ac759db04e07a9ba62be17476c084473e10c413ed31e4dd33082,3920fc33151462cba14f8b6d286aa3501a0d14771a2c77cd1bd2baff94c986be,d93c0b007dfb8d50cefa042e609a579d8eba9d90f6abf6a8f1db6f62663fb3a5,7fd3377146c6e2bc7951afad9312d899e2761c1fe071c096712060e7f9641cc5,b3bc3c66089b63fbb228487c1ec139bf94f82fca2ecfce94403c96bdbc6104d5,2b7ce959f25ec81441e976a0db3c09d85eb43c133b52a5879462994fb4b89591,3cf67d3f456e5437aaf02db4ceca208e46daf79994bd0d61651e7ff00ea2fd16,1d28d8f94557b49a78455e910d18ac3b3fdb8fea8e37be9938e31541452d99ce,eec80be3f8785cd67f16e847da41ab5eb8e9cfd92ea8559c06149d63d4c3062e,5b2b5edd3e380b8012cdb7aa4aeaa3d37d40dad8930b54c7b0c7a978faff8036,7e44f5b3d6edce8c260a002021104b4e689dc42e48d44a7fb88fdee12bff7588,64cd33ce7b0f05092c9ae07492d88d19752bdcbcaf1dc5b94fe3061d6a43e7a1,5fb6f10491e46c8db686ec6bea22c2bc7ccc2274fcd499bdf00bfcf3035a5718,165d799b1b407bfc855eef28a1acaa98e837efe6d982269cfaa00d74433c4ee3
"1001","2","4","3","12","1","94002","150003","300000","2","30","3","8","100","20004","91002","90005","8"
"1001","4","4","3","12","2","94002","150004","400000","2","30","3","8","150","140001","91002","90005","60"
"1001","2","4","3","12","3","94002","150005","500000","2","30","3","8","150","20004","91002","90005","10"
"1001","4","4","3","12","4","94002","150006","750000","2","30","3","8","200","140001","91002","90005","90"
"1001","2","4","3","12","5","94002","150007","1000000","2","30","3","8","200","21951","91002","90005","1"
"1002","2","4","3","12","1","94002","150003","300000","2","30","3","8","100","20004","91002","90005","8"
"1002","4","4","3","12","2","94002","150004","400000","2","30","3","8","150","140001","91002","90005","60"
"1002","2","4","3","12","3","94002","150005","500000","2","30","3","8","150","20004","91002","90005","10"
"1002","4","4","3","12","4","94002","150006","750000","2","30","3","8","200","140001","91002","90005","90"
"1002","2","4","3","12","5","94002","150007","1000000","2","30","3","8","200","21951","91002","90005","1"
"1003","2","4","3","12","1","94002","150003","300000","4","100","100","8","50","20004","91002","150004","8"
"1003","4","4","3","12","2","94002","150005","400000","2","50","5","8","100","140001","91002","90005","60"
"1003","2","4","3","0","3","0","150006","0","12","50","500000","8","100","20004","91002","94002","10"
"1003","4","4","3","12","4","94002","150007","750000","2","50","10","8","150","140001","91002","90005","90"
"1003","2","4","3","0","5","0","150008","0","12","50","1000000","8","150","21951","91002","94002","1"
"1004","2","4","3","12","1","94002","150003","300000","4","100","100","8","50","20004","91002","150004","8"
"1004","4","4","3","12","2","94002","150005","400000","2","50","5","8","100","140001","91002","90005","60"
"1004","2","4","3","0","3","0","150006","0","12","50","500000","8","100","20004","91002","94002","10"
"1004","4","4","3","12","4","94002","150007","750000","2","50","10","8","150","140001","91002","90005","90"
"1004","2","4","3","0","5","0","150008","0","12","50","1000000","8","150","21951","91002","94002","1"
"1005","2","4","3","12","1","94002","150003","300000","4","100","100","8","50","20004","91002","150004","8"
"1005","4","4","3","12","2","94002","150005","400000","2","50","5","8","100","140001","91002","90005","60"
"1005","2","4","3","0","3","0","150006","0","12","50","500000","8","100","20004","91002","94002","10"
"1005","4","4","3","12","4","94002","150007","750000","2","50","10","8","150","140001","91002","90005","90"
"1005","2","4","3","0","5","0","150008","0","12","50","1000000","8","150","21951","91002","94002","1"
"1006","2","4","3","12","1","94002","150004","300000","4","100","100","8","50","20004","91002","150005","8"
"1006","4","4","3","12","2","94002","150006","400000","2","50","5","8","100","140001","91002","90005","60"
"1006","2","4","3","0","3","0","150007","0","12","50","500000","8","100","20004","91002","94002","10"
"1006","4","4","3","12","4","94002","150008","750000","2","50","10","8","150","140001","91002","90005","90"
"1006","2","4","3","0","5","0","150009","0","12","50","1000000","8","150","21951","91002","94002","1"
