7ad44ca14052184fa2258a578257f10769f63c19ebc65f9df76344038a393d9f,d5499cdf468efc6c088573f361c1724dfa61a2a530b3e3cd4db1d6bd1b01ec5e,c54e0c5c58f1a6ad4230c3e0a39ee1c437e92f57099c3d5ecf873d2cb33caf02,a928bdb650fe76ec3485dc6678dd606c364da8bffd54cdc735e2072a2c437127,8657297d5d9c9a76cc76a3c89cfd794119a139fbef9d51352ffbda22628d17fd,4ce8b13bce7f4d0bdf0a0e1a145cd043393079711adebaad787f73c55a82b951,a4f8eb9b2f16f5ef9488df9da0532269011d77e430c6b028baecfb9564b45772,b00b6e68bbba515ce5e011ef588286b9e8e3c7d202859407eb9a32b590fed8ae,d2599f13b8c20854824ad4382b9346e1988c206695d8207c9d3b721df6d936b2,124c0c0231ccd0374521cce47897f96a4198ce4dd4f3e069e065889e3fa8ceaf,9eac7188f788774b827a8749bf7aed675aceb91e86ac352a050fd44da50ddf99,63b8ade077901b52dc34ec95de53d81262f84cf6f642f299421cd77df1d74d22,13afb93c1694ef1a149103c502d3ae5e1cf011e2d8a4f7816ec208d67330296d,3036fda6d97d9aa3193e9a48417b1477c205cc1fd5eb96c3be053e001bfbda77,794bf917420db6a5860f6f59cd7f0324b9997c0d5951d1b36078a2d3afc45aa3,d86ea97bdf21de325b227b202be34a81b1cc32e9ea66fae97ce30e47a407b8f5
"40","90006","0","1001101","22002","0","40","2","91002","0","0","0","1","8","2","0"
"60","90006","0","1001102","22002","0","50","2","91002","0","0","0","2","8","2","0"
"80","90006","0","1001103","22002","0","60","2","91002","0","0","0","3","8","2","0"
"100","90006","0","1001104","22002","0","80","2","91002","0","0","0","4","8","2","0"
"200","90006","0","1001105","22003","0","150","2","91002","0","0","0","2","8","2","0"
"20","22002","0","1001106","0","0","1","2","90006","0","0","0","0","2","0","0"
"20","22002","0","1001107","0","0","1","2","90006","0","0","0","0","2","0","0"
"20","22002","0","1001108","0","0","1","2","90006","0","0","0","0","2","0","0"
"20","22002","0","1001109","0","0","1","2","90006","0","0","0","0","2","0","0"
"20","22003","0","1001110","0","0","1","2","90006","0","0","0","0","2","0","0"
"40","90006","0","1002101","22002","0","40","2","91002","0","0","0","1","8","2","0"
"60","90006","0","1002102","22002","0","50","2","91002","0","0","0","2","8","2","0"
"80","90006","0","1002103","22002","0","60","2","91002","0","0","0","3","8","2","0"
"100","90006","0","1002104","22002","0","80","2","91002","0","0","0","4","8","2","0"
"200","90006","0","1002105","22003","0","150","2","91002","0","0","0","2","8","2","0"
"40","22002","0","1002106","0","0","1","2","90006","0","0","0","0","2","0","0"
"40","22002","0","1002107","0","0","1","2","90006","0","0","0","0","2","0","0"
"40","22002","0","1002108","0","0","1","2","90006","0","0","0","0","2","0","0"
"40","22002","0","1002109","0","0","1","2","90006","0","0","0","0","2","0","0"
"40","22003","0","1002110","0","0","1","2","90006","0","0","0","0","2","0","0"
"40","90006","0","1003101","22002","0","40","2","91002","0","0","0","1","8","2","0"
"60","90006","0","1003102","22002","0","50","2","91002","0","0","0","2","8","2","0"
"80","90006","0","1003103","22002","0","60","2","91002","0","0","0","3","8","2","0"
"100","90006","0","1003104","22002","0","80","2","91002","0","0","0","4","8","2","0"
"200","90006","0","1003105","22003","0","150","2","91002","0","0","0","2","8","2","0"
"40","22002","0","1003106","0","0","1","2","90006","0","0","0","0","2","0","0"
"40","22002","0","1003107","0","0","1","2","90006","0","0","0","0","2","0","0"
"40","22002","0","1003108","0","0","1","2","90006","0","0","0","0","2","0","0"
"40","22002","0","1003109","0","0","1","2","90006","0","0","0","0","2","0","0"
"40","22003","0","1003110","0","0","1","2","90006","0","0","0","0","2","0","0"
"40","90006","0","1004101","22002","0","40","2","91002","0","0","0","1","8","2","0"
"60","90006","0","1004102","22002","0","50","2","91002","0","0","0","2","8","2","0"
"80","90006","0","1004103","22002","0","60","2","91002","0","0","0","3","8","2","0"
"100","90006","0","1004104","22002","0","80","2","91002","0","0","0","4","8","2","0"
"200","90006","0","1004105","22003","0","150","2","91002","0","0","0","2","8","2","0"
"40","22002","0","1004106","0","0","1","2","90006","0","0","0","0","2","0","0"
"40","22002","0","1004107","0","0","1","2","90006","0","0","0","0","2","0","0"
"40","22002","0","1004108","0","0","1","2","90006","0","0","0","0","2","0","0"
"40","22002","0","1004109","0","0","1","2","90006","0","0","0","0","2","0","0"
"40","22003","0","1004110","0","0","1","2","90006","0","0","0","0","2","0","0"
