60398ddfe081503289631d1bf85164587553480e5d221493655bf93fe6ba645f,55e70181ad7159fdab4e24856c9b747502d58fdc4e4cc64524b22fb7a1aa22e3,38232df3f7fd95c6305b7d007d9dce1780f6afb2a6d8a236f43a5d368c9683f1,3895d331b4e081545b4b3a2475ee028eb353e803c215fd2acd50fcd66b7c3ea7,2f057673ce3febe9e0de23f116279ad50158f4f2cbc9e633da971cebfc55f49e,42fd036b9df28205b78703b6cae39e387343281bbd4861865ef9ed8d02a231ee,dcc358207f9f44ef53ded661a9a856468adb48e43c46291a92aeabeea663d552,60af063725ae196fb44f3ffd1a16cde03957f0b27dbb0acc1f8b31078a57fd1e,e22303df1b532ba58ab79e34388a658dde28e532ce4d3d6c8af6e9f1ae46ebf2,907d869bdb6bf69467d98eeff114245615b94529d546fe98b02bcc76fda42252,fa179dd99843473c4704757fa6a5cef754d96144152c4bb1e73c7967a957f5fe,0a161bc1b5fac1189c146d543bee11e8c0ddddc8196cdb9ed237f391c0e3f85c,ba339da5f0845f83d5fbe8ee89df3f865a7064de29c20a58fde95b56bce30158,8c65854f34665d796f472c17c07849186ab84976fe192f0431277fa07afe8295,807c0281b1c4c9ba36893bfedc9bf9c6e39d8ddec670cc4f6ae4b5107d1e677f,8a43be5111401c73f62c1b6b211e546a79ad7f23b8948db3e464701d130147e7,d31c73e185a71f71550f0c989713521213bef6eaebb360b2c65e862a698da7ad,45a8ac25525d7addcc9c99600524a1e630ebee2c6a05853e089f8b6ad9d7facd,0a0eb4ef51e96ad9e31e3bda33dcf7f51491785153036de33686839ee816612a,a70c9d99b650fb2ad0a225a25c8436c9b617936f85a992581ad1e6acbde47fa4,52037f9c95b69e8b84ff775df10538f1c51de9d0a205df7b57c42b65672ac9a2,a5a224e61464aa4e25bf29753fb17636290625a1891c9515b5fafeb0154e1b61,c3e3a79d2d4bc60f0630415b6f7c4413e25c0b57a10608594f3477d933b41ee9,ecc86125dc319c00446dd04c76b5cbaaebd29d835220cc3a1c6f92b3879cc880,79b6886809b6e0f1efb8309d65c57fcf0a078d800b2dcee2d407cc8f20b7c9ea,212ce2b5cf1067d5f8b0f89668ef4255dbd5df5bdc068d75c982d6d167d11dae,b503da34f71cff2cdc4ae6f4c95e389d053f3629426ffb676d514882d9e01951,bd8931e9132f440a3533d54f3611e480f259cae5cfdcd4d776eb2ed175fc247c,3b2ab4d37063cb3f9e11d065413fbe906b9e3d88eabd187201235a2caa19f997,77adf7bb1c9b432f837032cbc3206a6ffd03bb3302248769d7e4b0ef52686fd0,fadbff904699caf4c1e7a77d9a3297056e5019e4ee7fb2a0a9ad4d5c5059e0ee,ab51b440066884467200de23348ab473c66910560a0bfb289b19090314689e26,423dfdd89d0a82aa1ef45b3f99b8b874f2ef8505ec0949a0c87d99f32c81cdcd,dc9f53341db5ea2701fe43ba4fe81f41687ecfa4d1f76ef3fae33ee34f888ac1,aa5db613653909f2ec880ef7920c6d7f55641d1283ed830ae11d78b1d5734812,036f9085dcfa3392225908002d0f528040cc16a014c09c85b5db1d2abb6d0265,a2a42fb6736572656a22340815c84ba581c9a659cbe7442a750767c8ee9642d4,489dca6730535afc74622642cf93e4734af709486bbe8b500e1d3581606eaf0f,8d68243fb4da3191a5749422d15521ff01acb839ba59386f24174ae65a803ffa,38c8a09ab1f8f0035b5b34fa742fd0ce3ef7adc2d391d17c2036018f8f117666,a4655504611eb537b6cb0c9d114637a13c13b8255a742bf4722848fe31236a2b,ccda6426c324e5061f1e52305249de54141a7394d9c9993e1f5d254d710f1b82,17c772478c813d0e4a138d4431b190153f16caa282f180501ff3216de128bf88,460f538ef0acb0955b0f40586e91cf73484007d34dfa695c7b6761be827a4a60
"1510","3010","0","0","0","0","0","301","1","0","224","3010","0","0","0","0","0","0","0","0","0","0","3010","0","1660167","0","3010","0","251100","0","0","0","0","0","0","42","0","810100101","2265","200000001","タートルタイラント","0","3010","3010"
"604","3010","0","0","0","0","0","301","1","0","292","3010","0","0","0","0","0","0","0","0","0","0","3010","0","2397387","0","3010","0","250800","0","0","0","0","0","0","42","0","810100102","3624","200000001","ブルーゴーレム","0","3010","3010"
"1208","3010","0","0","0","0","0","301","1","0","660","3010","0","0","0","0","0","0","0","0","0","0","3010","0","1693693","0","3010","0","251000","0","0","0","0","0","0","42","0","810100103","2718","200000001","動く剣士","0","3010","3010"
"2554","301","0","0","6","0","0","301","32","0","4756","301","0","69","0","0","26","0","0","0","0","0","301","0","1190448","5","301","0","604701","0","0","0","536","0","0","42","1","810100104","2929","200000001","ジュンのシャドウ","30","301","301"
"1224","301","0","0","6","0","0","301","32","0","9894","301","0","55","0","0","34","0","0","0","0","0","301","0","565544","2","301","0","604001","0","0","0","1165","0","0","67","1","810100105","1238","200000001","アオイのシャドウ","29","301","301"
"0","0","0","0","1","0","0","301","1","0","0","0","0","0","0","0","1","150","0","0","0","0","100","0","1000000000","0","0","0","217300","0","5000","0","0","0","0","100","0","810100106","0","300000008","バーストエネミー","0","100","0"
"0","0","0","0","1","0","0","301","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1000000000","0","0","0","217301","0","0","0","0","0","0","100","0","810100107","0","300000008","バーストエネミー","0","0","100"
"1510","3010","0","0","0","0","0","301","1","0","0","3010","0","0","0","0","0","0","0","0","15693","0","3010","0","5862568","0","3010","0","251500","0","0","0","0","0","0","42","0","810100201","2265","200000001","ゲートキーパー","0","3010","3010"
"906","3010","0","0","0","0","0","301","1","0","5318","3010","0","0","0","0","0","0","0","0","0","0","3010","0","7557183","0","3010","0","252900","0","0","0","0","0","0","42","0","810100202","2265","200000001","ハイオーク","0","3010","3010"
"604","3010","0","0","0","0","0","301","1","0","0","3010","0","0","0","0","0","0","0","0","3487","0","3010","0","8817438","0","3010","0","250600","0","0","0","0","0","0","42","0","810100203","906","200000001","ワッパダヌキ","0","3010","3010"
"2191","301","120","0","5","0","0","301","32","0","0","301","0","207","0","0","12","0","0","0","13901","0","301","0","5287114","20","301","0","609501","0","0","0","0","0","0","42","1","810100204","3031","200000001","クウカ（オーエド）のシャドウ","19","301","301"
"385","301","2239","0","5","0","0","301","32","0","0","301","0","45","0","0","0","0","0","0","33886","0","301","0","3292795","17","301","0","612001","0","0","0","0","0","0","42","1","810100205","457","200000001","キャル（ニューイヤー）のシャドウ","24","301","301"
"906","3010","0","0","0","0","0","301","1","0","8814","3010","0","0","0","0","0","0","0","0","0","0","3010","0","8734904","0","3010","0","251300","0","0","0","0","0","0","42","0","810100301","2265","200000001","ジャングルガード","0","3010","3010"
"476","301","0","0","5","0","0","301","32","0","43840","301","0","30","0","0","3","0","0","0","0","0","301","0","5186139","1","301","0","611502","0","0","0","2062","0","0","44","1","810100302","406","200000001","クリスティーナ（クリスマス）のシャドウ","27","301","301"
"646","301","0","0","6","0","0","301","32","0","45320","301","0","35","0","0","12","0","0","0","0","0","301","0","4764712","0","301","0","603801","0","0","0","1921","0","0","65","1","810100303","853","200000001","シオリのシャドウ","38","301","301"
"489","301","0","0","5","0","0","301","32","0","42130","301","0","30","0","0","5","0","0","0","0","0","301","0","4300082","0","301","0","612901","0","0","0","2026","0","0","65","1","810100304","700","200000001","リノ（ワンダー）のシャドウ","34","301","301"
