c60e1e3a678da6326eb585935667c98dd36be418dcf1f4500da5199c9cd12599,877d7c383b1b8c70d6fc3263001c6fdf505b11697cee756811b18a93e554760a,197937fcfac1784c2c25f92ff824c3dcd152caf2400ca6e3c8340f1fdb507556
"10074","4","10201"
"91101","1","10211"
"91101","2","10211"
"91101","3","10211"
"91101","2","10211101"
"91101","3","10211101"
"91101","2","10211201"
"91101","3","10211201"
"91101","2","10211501"
"91101","3","10211501"
"91201","1","10212"
"91201","2","10212"
"91201","3","10212"
"91201","2","10212101"
"91201","3","10212101"
"91201","2","10212201"
"91201","3","10212201"
"91201","2","10212501"
"91201","3","10212501"
