993c79a354c1c0f5dd422e19b7e570a03a62392ac750a0f376a5afaac1af6a13,a6eb7e36da91e895153aea6e4f9cddba2a9f1452c2ce2cb6a28913b7a3066506,c5d29cf7cf000e42a2d29276b80011dfc5e530a340a25849c4b5c6a140e84e62,f9fbf87a341f8050d267cdf2f3a86dcef3274ced86a162bce4e00f7addeaa8df
"938","-354","100101","1.6"
"952","-499","100201","1.6"
"1014","-523","100301","1.6"
"894","-488","100401","1.6"
"980","-628","100601","1.6"
"983","-573","100701","1.6"
"1019","-544","100801","1.6"
"985","-510","100901","1.6"
"1115","-660","101001","1.6"
"1128","-415","101101","1.6"
"1042","-589","101201","1.6"
"1050","-501","101601","1.6"
"1038","-598","101701","1.6"
"985","-356","101801","1.6"
"1114","-494","102001","1.6"
"1003","-392","102101","1.6"
"1057","-407","102201","1.6"
"997","-388","102501","1.6"
"1090","-490","102701","1.6"
"987","-554","102801","1.6"
"976","-526","102901","1.6"
"994","-879","103001","1.6"
"1056","-560","103101","1.6"
"1018","-453","103301","1.6"
"1017","-345","103401","1.6"
"961","-674","103801","1.6"
"1095","-499","104001","1.6"
"955","-521","104201","1.6"
"1079","-581","104301","1.6"
"980","-538","104501","1.6"
"954","-364","104601","1.6"
"1107","-777","104801","1.6"
"973","-795","104901","1.6"
"1122","-492","105001","1.6"
"1035","-607","105201","1.6"
"885","-490","105301","1.6"
