1b80efb7a848e7eabfd1d60c4ec30648f6b26968e56f374aedacd03182dd0bab,82620b6a2e0d4838773b3d662bfd9c3eb7b271c2e28f0193d7d6607a7cadf2a8,b9093c17ef9d077538da4fd00fff73524d54f6dc802561ab6f2d90cb6907e875,e3d141e596657638568d4bea0ecde4bb9b0b7c101520f40a9048199bd9b6d0e9,922a6f2449a5d32f4cfecddca2c4f7a08bdde56cd05857dbe15d02b5ac5aa874
"1","0","3030100","1","0"
"2","0","3050100","1","0"
"3","0","3040100","1","0"
"4","0","3020100","1","0"
"5","0","2040100","1","0"
"5","0","2040100","2","0"
"6","0","2020100","1","0"
"6","0","2020100","2","0"
"7","0","1030100","1","314"
"8","0","4030100","1","0"
"9","0","1050100","1","502"
"10","0","4020100","1","0"
"11","0","2030100","1","0"
"11","0","2030100","2","0"
"12","10301010","3040100","1","0"
"13","0","1020100","1","202"
"14","20201010","1040102","1","406"
"15","0","1010200","1","105"
"15","0","2010200","2","0"
"15","0","2010200","3","0"
"16","0","3050200","1","0"
"17","0","3040200","1","0"
"18","0","3020200","1","0"
"19","0","2040200","1","0"
"19","0","2040200","2","0"
"20","0","2020200","1","0"
"20","0","2020200","2","0"
"21","0","1030200","1","315"
"22","0","1020200","1","205"
"23","0","1050200","1","509"
"24","0","4020200","1","0"
"25","0","2030200","1","0"
"25","0","2030200","2","0"
"26","0","4030200","1","0"
"27","10101020","3020200","1","0"
"28","20201020","1040200","1","408"
"29","10101020","3040200","1","0"
"30","10101020","3010200","1","0"
"31","0","1010300","1","102"
"31","0","2010300","2","0"
"31","0","2010300","3","0"
"32","0","3050300","1","0"
"33","0","3040300","1","0"
"34","0","3020300","1","0"
"35","0","2040300","1","0"
"35","0","2040300","2","0"
"36","0","2020300","1","0"
"36","0","2020300","2","0"
"37","0","1030300","1","306"
"38","0","1020300","1","206"
"39","0","1050300","1","502"
"40","0","4020300","1","0"
"41","0","2030300","1","0"
"41","0","2030300","2","0"
"42","0","4030300","1","0"
"43","10101030","3020300","1","0"
"44","20201030","1040300","1","406"
"45","10101050","3010300","1","0"
"46","10101050","3040300","1","0"
"47","10101050","3030300","1","0"
"48","10101050","3010300","1","0"
"49","10101050","3020300","1","0"
"50","30102050","1010300","1","112"
