26e975be049021f249df9ce6c98b68d7fb846a33a4d47fe176db828d1af928c0,e7636b7b55755971bdb9891b715a8610920fb82276a281c5e2ef4b989fffc50a,2080b5959c6a343a78fda5b334aa42f9c4444757ee4f783fa116070ca65f4570,433549dc28156201e9a37428f1ddb511f1aa56c6e4e25801cace426df4915b9e,0f1e117429d98b7fbeb17a1bd23e866b6a2e75c92dc95b9d603972f8078a0749,a4d12acdb120488cd141ec60d4aaaab2531e15cf641dc0c4c564843f96063a7e,a980c7ef4d8fb6eaec7de51e3ba521fb8d5fee88265775edc61a52667bb22cdc,5ea2767b57a32f283fde5a7a086892ab9e7630491408be58e8f9accd2d28e998,693097c25575a3d0a160efcedae3b43f8d122c3b8991784e535c8e78f5be086d,b715597a67293ce58b09bc14d9a937a65b7890772ffcde67da4b9321ed890b37,61944e86aafa01eae106749344fcf108acd9c2a59ab5397c1b11c940fd22d75d
"1","40","1","1001","1.65","sjr_talk_idle","100","122611","1","1","-194"
"1","","","1002","0.2","","1","sjr_talk_wish_look","122611","3",""
"1","0","","1003","","","0","vo_minigame_1010_top_talk_1_001","vo_minigame_1010","21",""
"1","1","0","1004","0","1","10","騎士クン…見ててね\nわたし、頑張って\n走るから…！","122611","11","0"
"1","","","1005","","","","","0","91",""
"1","","","1006","0.2","","1","sjr_talk_idle","122611","3",""
"2","40","1","2001","1.65","sjr_talk_idle","100","122611","1","1","-194"
"2","","","2002","0.2","","1","sjr_talk_mouth_hidden_shy","122611","3",""
"2","0","","2003","","","0","vo_minigame_1010_top_talk_1_002","vo_minigame_1010","21",""
"2","1","0","2004","0","1","7","水着のまま走るの…？\nうぅ…恥ずかしい…\nもし、外れたりしたら\nどうしよう…","122611","11","0"
"2","","","2005","","","","","0","91",""
"2","","","2006","0.2","","1","sjr_talk_idle","122611","3",""
"3","40","1","3001","1.65","sjr_talk_idle","100","122611","1","1","-194"
"3","sjr_talk_stepback_worry","0","3002","0.2","","0","sjr_talk_stepback_surprise_worry","122611","3","1"
"3","0","","3003","","","0","vo_minigame_1010_top_talk_1_003","vo_minigame_1010","21",""
"3","1","0","3004","0","1","8","あ、あの人すごく\n速そう…！\nわたし、勝てるかな…","122611","11","0"
"3","","","3005","","","","","0","91",""
"3","","","3006","0.2","","1","sjr_talk_idle","122611","3",""
"4","40","1","4001","1.65","sjr_talk_idle","100","122611","1","1","-194"
"4","","","4002","0.2","","1","sjr_talk_thinking_surprise","122611","3",""
"4","0","","4003","","","0","vo_minigame_1010_top_talk_1_004","vo_minigame_1010","21",""
"4","1","0","4004","0","1","6","変わったコースが\nいっぱいあるね\nどれに出ようかな…","122611","11","0"
"4","","","4005","","","","","0","91",""
"4","","","4006","0.2","","1","sjr_talk_idle","122611","3",""
"5","40","1","5001","1.65","sjr_talk_idle","100","122611","1","1","-194"
"5","sjr_talk_guts2_anger_loop","0","5002","0.2","","0","sjr_talk_guts2_anger","122611","3","1"
"5","0","","5003","","","0","vo_minigame_1010_top_talk_1_005","vo_minigame_1010","21",""
"5","1","0","5004","0","1","7","レイちゃんと\nヒヨリちゃん…\n二人に負けないよう\nわたしも全力で…！","122611","11","0"
"5","","","5005","","","","","0","91",""
"5","","","5006","0.2","","1","sjr_talk_idle","122611","3",""
"6","40","1","6001","1.65","sjr_talk_idle","100","122511","1","1","-194"
"6","sjr_talk_arm_crossed_look_loop","0","6002","0.2","","0","sjr_talk_arm_crossed_joy_look","122511","3","1"
"6","0","","6003","","","0","vo_minigame_1010_top_talk_1_006","vo_minigame_1010","21",""
"6","1","0","6004","0","1","6","こうして競い合うのも\nいいものだね\nキミも応援\nよろしく頼むよ","122511","11","0"
"6","","","6005","","","","","0","91",""
"6","","","6006","0.2","","1","sjr_talk_idle","122511","3",""
"7","40","1","7001","1.65","sjr_talk_idle","100","122511","1","1","-194"
"7","","","7002","0.2","","1","sjr_talk_mouth_hidden2_shy","122511","3",""
"7","0","","7003","","","0","vo_minigame_1010_top_talk_1_007","vo_minigame_1010","21",""
"7","1","0","7004","0","1","6","この格好で走るのは\n気恥ずかしいな…\nあまり見ないでくれ…","122511","11","0"
"7","","","7005","","","","","0","91",""
"7","","","7006","0.2","","1","sjr_talk_idle","122511","3",""
"8","40","1","8001","1.65","sjr_talk_idle","100","122511","1","1","-194"
"8","","","8002","0.2","","1","sjr_talk_mouth_hidden","122511","3",""
"8","0","","8003","","","0","vo_minigame_1010_top_talk_1_008","vo_minigame_1010","21",""
"8","1","0","8004","0","1","6","へぇ、強者が揃って\nいるようだね\nこれは私も全力で\n挑まないと…！","122511","11","0"
"8","","","8005","","","","","0","91",""
"8","","","8006","0.2","","1","sjr_talk_idle","122511","3",""
"9","40","1","9001","1.65","sjr_talk_idle","100","122511","1","1","-194"
"9","","","9002","0.2","","1","sjr_talk_stepback_surprise","122511","3",""
"9","0","","9003","","","0","vo_minigame_1010_top_talk_1_009","vo_minigame_1010","21",""
"9","1","0","9004","0","1","6","コースには障害物や\n魔物が…？\nビーチフラッグスとは\nこんな競技だったかな","122511","11","0"
"9","","","9005","","","","","0","91",""
"9","","","9006","0.2","","1","sjr_talk_idle","122511","3",""
"10","40","1","10001","1.65","sjr_talk_idle","100","122511","1","1","-194"
"10","","","10002","0.2","","1","sjr_talk_thinking_blink","122511","3",""
"10","0","","10003","","","0","vo_minigame_1010_top_talk_1_010","vo_minigame_1010","21",""
"10","1","0","10004","0","1","5","ユイは大丈夫だろうか\nヒヨリは喜んでそう\nだけど…\nいや、信じるのみ、か","122511","11","0"
"10","","","10005","","","","","0","91",""
"10","","","10006","0.2","","1","sjr_talk_idle","122511","3",""
"11","40","1","11001","1.65","sjr_talk_idle","100","122411","1","1","-194"
"11","sjr_talk_eieio_loop","0","11002","0.2","","0","sjr_talk_eieio","122411","3","1"
"11","0","","11003","","","0","vo_minigame_1010_top_talk_1_011","vo_minigame_1010","21",""
"11","1","0","11004","0","1","6","準備運動も完璧っ！\nあたしが一番\nとっちゃうからねー！","122411","11","0"
"11","","","11005","","","","","0","91",""
"11","","","11006","0.2","","1","sjr_talk_idle","122411","3",""
"12","40","1","12001","1.65","sjr_talk_idle","100","122411","1","1","-194"
"12","","","12002","0.2","","1","sjr_talk_arm_opened_wink","122411","3",""
"12","0","","12003","","","0","vo_minigame_1010_top_talk_1_012","vo_minigame_1010","21",""
"12","1","0","12004","0","1","6","えっへへー！\n水着って動きやすくて\nいいよねー！\n調子出てきたー！","122411","11","0"
"12","","","12005","","","","","0","91",""
"12","","","12006","0.2","","1","sjr_talk_idle","122411","3",""
"13","40","1","13001","1.65","sjr_talk_idle","100","122411","1","1","-194"
"13","sjr_talk_doya_loop","0","13002","0.2","","0","sjr_talk_doya","122411","3","1"
"13","0","","13003","","","0","vo_minigame_1010_top_talk_1_013","vo_minigame_1010","21",""
"13","1","0","13004","0","1","8","あ、困ってる人\nはっけーん！\n困った時はお互い\nさまさまっ♪","122411","11","0"
"13","","","13005","","","","","0","91",""
"13","","","13006","0.2","","1","sjr_talk_idle","122411","3",""
"14","40","1","14001","1.65","sjr_talk_idle","100","122411","1","1","-194"
"14","sjr_talk_swing_joy","0","14002","0.2","","0","sjr_talk_watch_arm_opened","122411","3","1"
"14","0","","14003","","","0","vo_minigame_1010_top_talk_1_014","vo_minigame_1010","21",""
"14","1","0","14004","0","1","7","どのコースを\n走ろうかなー♪\nどれもおもしろそー！\nウズウズしてきたー！","122411","11","0"
"14","","","14005","","","","","0","91",""
"14","","","14006","0.2","","1","sjr_talk_idle","122411","3",""
"15","40","1","15001","1.65","sjr_talk_idle","100","122411","1","1","-194"
"15","","","15002","0.2","","1","sjr_talk_wish_doya","122411","3",""
"15","0","","15003","","","0","vo_minigame_1010_top_talk_1_015","vo_minigame_1010","21",""
"15","1","0","15004","0","1","7","ユイちゃんとレイさん\n二人と一緒に\n競い合いたいな！","122411","11","0"
"15","","","15005","","","","","0","91",""
"15","","","15006","0.2","","1","sjr_talk_idle","122411","3",""
"16","72","1","16001","1.65","sjr_talk_idle","100","122611","1","1","-194"
"16","-72","0","16002","1.65","sjr_talk_idle","100","122511","1","1","-194"
"16","","","16003","0.2","","1","sjr_talk_wish_doya","122611","3",""
"16","0","","16004","","","0","vo_minigame_1010_top_talk_2_001","vo_minigame_1010","21",""
"16","1","0","16005","0","1","5","レイちゃん\nお互い全力で走ろうね\nわたし本気で挑むから","122611","11","0"
"16","","","16006","","","","","0","91",""
"16","","","16007","0.2","","1","sjr_talk_idle","122611","3",""
"16","sjr_talk_arm_crossed_joy_loop","0","16008","0.2","","0","sjr_talk_arm_crossed_normal_joy","122511","3","1"
"16","0","","16009","","","0","vo_minigame_1010_top_talk_2_002","vo_minigame_1010","21",""
"16","1","0","16010","0","0.5","6","ユイ…言うように\nなったじゃないか\nふふっ、だったら私も\nその意気に応えよう","122511","11","0"
"16","","","16011","","","","","0","91",""
"16","","","16012","0.2","","1","sjr_talk_idle","122511","3",""
"17","72","1","17001","1.65","sjr_talk_idle","100","122611","1","1","-194"
"17","-72","0","17002","1.65","sjr_talk_idle","100","122511","1","1","-194"
"17","","","17003","0.2","","1","sjr_talk_worry_shy","122511","3",""
"17","0","","17004","","","0","vo_minigame_1010_top_talk_2_003","vo_minigame_1010","21",""
"17","1","0","17005","0","0.5","6","ねぇユイ\n水着で走るのって\nちょっと…","122511","11","0"
"17","","","17006","","","","","0","91",""
"17","","","17007","0.2","","1","sjr_talk_idle","122511","3",""
"17","","","17008","0.2","","1","sjr_talk_wish_shy","122611","3",""
"17","0","","17009","","","0","vo_minigame_1010_top_talk_2_004","vo_minigame_1010","21",""
"17","1","0","17010","0","0.5","5","うん、恥ずかしいよね\n騎士クンに\n見られてると思うと…\n…うぅ～～～！","122611","11","0"
"17","","","17011","","","","","0","91",""
"17","","","17012","0.2","","1","sjr_talk_idle","122611","3",""
"17","sjr_talk_thinking_light","0","17013","0.2","","0","sjr_talk_thinking_blink_light","122511","3","1"
"17","0","","17014","","","0","vo_minigame_1010_top_talk_2_005","vo_minigame_1010","21",""
