c7913458788f19071a2b757b9f79d6bd95ab78aa5a8c921c2f85f064f0ab18e6,5a1c28b446b410354724fbcf93ac9fbda6f21a9cbbc5f0b2f10b848255d20313,122ff9151183ad9fd8ebe739995a8cd07e065766f63da69332e047aabe4bb66e,820c49b921871e343735d1d69108770769cd03630baaef20a1466a86199d8cd3,b898befc3651e461de3d9f22d05eccc4c3e48615ec8c219b22bd2accadca9dc3,982c85cd6eaa8695e9bd0274005d56992b08c5a9207ea25d933e51bcfd7c95e1,b14fea9ca871c2e808cc8ebdf262302fd5d525397eed15647b7f43c4d899b606,f6bb3a892b30d304eb64a47832cd8f0d504f64e79f66bc617d92923490812a50,a3a3e5cca875a913b87fd5ecbe7fe1db316b8099f9c718bc8309674f71a6d01c
"6","1","1","2","3","2","2","100101","3"
"5","3","2","1","3","1","1","100201","2"
"7","1","3","1","2","2","3","100301","3"
"13","1","3","2","2","2","2","100401","3"
"18","2","2","2","3","3","2","100501","1"
"25","1","2","1","3","3","2","100601","2"
"26","3","2","2","3","1","3","100701","2"
"40","3","3","2","2","1","3","100801","1"
"34","1","2","1","2","3","3","100901","3"
"8","3","2","1","3","1","1","101001","2"
"56","2","2","3","3","1","2","101101","2"
"43","1","2","3","1","2","2","101201","3"
"33","1","3","1","3","3","2","101301","1"
"11","3","2","1","2","2","1","101401","1"
"42","3","3","1","2","1","1","101501","2"
"46","2","3","3","3","1","2","101601","1"
"10","1","2","3","3","2","2","101701","1"
"45","3","3","1","2","2","1","101801","1"
"12","2","1","2","3","2","1","102001","3"
"30","1","3","1","3","2","1","102101","2"
"24","1","3","3","1","2","1","102201","2"
"31","1","1","2","3","3","2","102301","3"
"29","3","2","3","2","1","1","102501","1"
"51","3","1","2","3","1","1","102601","2"
"36","2","3","2","1","1","3","102701","3"
"28","2","3","2","2","1","1","102801","1"
"52","2","2","2","3","1","1","102901","2"
"39","2","3","1","3","2","2","103001","1"
"27","3","1","2","2","1","3","103101","3"
"19","3","2","2","1","1","2","103201","3"
"48","2","1","1","3","2","2","103301","3"
"20","2","2","2","1","3","1","103401","2"
"14","3","2","2","1","3","3","103601","1"
"17","1","3","2","2","3","3","103701","1"
"49","3","1","1","2","3","3","103801","2"
"44","2","1","3","1","3","1","104001","2"
"53","3","2","2","2","2","3","104201","1"
"9","1","2","3","2","1","3","104301","3"
"23","3","1","1","2","2","3","104401","3"
"38","2","2","1","2","3","1","104501","2"
"21","3","1","3","2","1","2","104601","2"
"15","1","2","3","2","3","3","104701","1"
"22","1","3","3","1","2","3","104801","2"
"55","2","2","2","2","1","1","104901","3"
"47","2","2","3","3","2","1","105001","1"
"35","3","1","3","1","2","3","105101","1"
"50","2","2","2","3","1","2","105201","2"
"37","1","3","2","2","1","3","105301","3"
"54","2","1","3","3","1","2","105401","2"
"41","2","1","1","2","3","1","105501","3"
"32","1","2","3","3","1","3","105601","2"
"67","1","2","2","3","2","1","105701","2"
"1","2","2","2","3","1","2","105801","2"
"2","3","2","1","2","2","1","105901","2"
"3","2","1","3","2","3","3","106001","1"
"58","1","2","2","3","2","2","106101","3"
"68","1","1","2","3","2","1","106301","3"
"4","1","2","2","3","3","1","106401","2"
"61","1","2","2","3","3","3","106501","1"
"62","3","1","2","3","3","2","106601","1"
"60","2","2","1","2","2","3","106701","1"
"57","1","2","2","1","3","1","106801","1"
"59","3","1","1","1","2","3","107001","2"
"16","1","3","2","1","2","3","107101","2"
"70","2","2","1","2","2","1","109201","2"
"72","2","2","3","3","1","2","109301","2"
"71","1","3","3","2","2","3","109401","1"
"64","1","2","3","2","2","1","110801","2"
"65","2","3","2","2","1","2","110901","1"
"63","3","1","1","3","2","3","111001","1"
"69","2","1","3","2","3","2","111401","2"
"66","3","2","3","1","2","2","118001","1"
