9288aab90c85bf053ee725f6cb8016d724a1f46e2e5f38e92f4e9c2690381ab1,5de1baad54ecbab234712b90998f114aeef0f774ea40e491dfb2e332f7491961,7636d99695eb7e68449630a04ce408cc686e3d03912871f9df2c0189ce850a31,e456580d171dbec757308168fce6bfbf7cb154d8979812d3c1dcdf5f805487e4,ceb4d8f2ca6c306c7734c8a6086e97c34cd577449704e61a53e9a636033fb1da,b89d24dd300016dfaff42cb79c1af2d521f946333329b433e56ba45ed500b278,264842b0a45c8fde587c564cb6300a882d828e1f327ea6db77c75060dfa7ba41,c1d04d422ed03f226718f2ea81c7d0fe64eee328fe2be10f9a1bed36896f317d,49edcc5c756a3906757e2160caafa6a76a82f2d93a9bb6893b184507485d1089,656b74c25df59319ec55300a2eeb36292c8c2cd05939b31426d40e1ac81e4cf5,70689b7c86b3789e702c13471960a1404f32dd72ce209c62230731e209c7cf3a
"23","","","0","","","1001","","se_travel_finish_assemble","se_travel","1010010001"
"1","travel_exdrama_r_100_run","-275","1","0","1.46","1001","-160","1000001","1","1010010002"
"1","travel_exdrama_r_100_run","-575","2","0","1.46","1001","-200","1000002","1","1010010003"
"1","travel_exdrama_r_100_run","-750","3","0","1.46","1001","-250","1000003","1","1010010004"
"1","travel_exdrama_r_100_run","575","4","1","1.46","1001","-175","1000004","1","1010010005"
"1","travel_exdrama_r_100_run","750","5","1","1.46","1001","-250","1000005","1","1010010006"
"2","","1","-160","","","1001","0","-100","1000001","1010010007"
"2","","1","-200","","","1001","0","-275","1000002","1010010008"
"2","","1","-250","","","1001","0","-450","1000003","1010010009"
"2","","1","-175","","","1001","0","275","1000004","1010010010"
"2","","1","-250","","","1001","0","450","1000005","1010010011"
"93","","0","0","","","1001","0","0","1","1010010012"
"3","","","0","0","0.2","1001","0","travel_exdrama_r_100_raiseup","1000001","1010010013"
"3","","","1","0","0","1001","0","travel_exdrama_r_100_idle","1000002","1010010014"
"3","","","1","0","0","1001","0","travel_exdrama_r_100_idle","1000003","1010010015"
"3","","","1","0","0","1001","0","travel_exdrama_r_100_idle","1000004","1010010016"
"3","","","1","0","0","1001","0","travel_exdrama_r_100_idle","1000005","1010010017"
"5","travel_exdrama_r_100_raiseup","-100","11","0","1.46","1001","-160","1","1","1010010018"
"93","","","","","","1001","","0","1","1010010019"
"6","","","","","0.12","1001","0","","1000001","1010010020"
"6","","","","","0.12","1001","0","","1000002","1010010021"
"6","","","","","0.12","1001","0","","1000003","1010010022"
"6","","","","","0.12","1001","0","","1000004","1010010023"
"6","","","","","0.12","1001","0","","1000005","1010010024"
"6","","","","","0.12","1001","0","","1","1010010025"
"93","","","","","","1001","","0","0.12","1010010026"
"91","","","","","","1001","","","0","1010010027"
"23","","","0","","","1002","","se_travel_finish_assemble","se_travel","1010020001"
"1","travel_exdrama_r_100_run","-275","1","0","1.46","1002","-160","1000001","1","1010020002"
"1","travel_exdrama_r_100_run","-575","2","0","1.46","1002","-200","1000002","1","1010020003"
"1","travel_exdrama_r_100_run","-750","3","0","1.46","1002","-250","1000003","1","1010020004"
"1","travel_exdrama_r_100_run","575","4","1","1.46","1002","-175","1000004","1","1010020005"
"1","travel_exdrama_r_100_run","750","5","1","1.46","1002","-250","1000005","1","1010020006"
"31","","20","-40","","0","1002","1","10000","10000","1010020007"
"2","","1","-160","","","1002","0","-100","1000001","1010020008"
"2","","1","-200","","","1002","0","-275","1000002","1010020009"
"2","","1","-250","","","1002","0","-450","1000003","1010020010"
"2","","1","-175","","","1002","0","275","1000004","1010020011"
"2","","1","-250","","","1002","0","450","1000005","1010020012"
"93","","0","0","","","1002","0","0","1","1010020013"
"3","","","0","0","0.2","1002","0","travel_exdrama_r_100_raiseup","1000001","1010020014"
"3","","","1","0","0","1002","0","travel_exdrama_r_100_idle","1000002","1010020015"
"3","","","1","0","0","1002","0","travel_exdrama_r_100_idle","1000003","1010020016"
"3","","","1","0","0","1002","0","travel_exdrama_r_100_idle","1000004","1010020017"
"3","","","1","0","0","1002","0","travel_exdrama_r_100_idle","1000005","1010020018"
"5","travel_exdrama_r_100_raiseup","-100","11","0","1.46","1002","-160","1","1","1010020019"
"93","","0","0","","0","1002","0","0","0.4","1010020020"
"32","","","","","","1002","0","1","10000","1010020021"
"93","","","","","","1002","","0","0.6","1010020022"
"6","","","","","0.12","1002","0","","1000001","1010020023"
"6","","","","","0.12","1002","0","","1000002","1010020024"
"6","","","","","0.12","1002","0","","1000003","1010020025"
"6","","","","","0.12","1002","0","","1000004","1010020026"
"6","","","","","0.12","1002","0","","1000005","1010020027"
"6","","","","","0.12","1002","0","","1","1010020028"
"93","","","","","","1002","","0","0.12","1010020029"
"91","","","","","","1002","","","0","1010020030"
"31","","5","-350","","1","1011","1","10100","10100","1010110001"
"31","","50","-525","","0","1011","1","10002","10002","1010110002"
"31","","-121","-184","","1","1011","1","10101","10101","1010110003"
"31","","5","-350","","0","1011","1","10102","10102","1010110004"
"31","","5","-350","","0","1011","1","10103","10103","1010110005"
"31","","5","-350","","0","1011","1","10104","10104","1010110006"
"1","travel_exdrama_r_101_walk","-470","11","0","1.46","1011","-200","1000001","1","1010110007"
"1","travel_exdrama_r_101_walk","-320","1","0","1.46","1011","-150","1000002","1","1010110008"
"5","travel_exdrama_r_101_walk","-470","12","0","1.46","1011","-200","1","1","1010110009"
"5","travel_exdrama_r_101_walk","-320","2","0","1.46","1011","-150","2","1","1010110010"
"23","","","0","","","1012","","se_travel_finish_cave_rare","se_travel","1010120001"
"2","","0.1","-200","","","1012","0","-500","1000001","1010120002"
"2","","0.1","-150","","","1012","0","-350","1000002","1010120003"
"2","","0.1","-200","","","1012","0","-500","1","1010120004"
"2","","0.1","-150","","","1012","0","-350","2","1010120005"
"3","","travel_exdrama_r_101_walk","0","0.2","0.2","1012","1","travel_exdrama_r_101_joy","1000001","1010120006"
"3","","travel_exdrama_r_101_walk","0","0.2","0.2","1012","1","travel_exdrama_r_101_joy","1000002","1010120007"
"3","","travel_exdrama_r_101_walk","0","0.2","0.2","1012","1","travel_exdrama_r_101_joy","1","1010120008"
"3","","travel_exdrama_r_101_walk","0","0.2","0.2","1012","1","travel_exdrama_r_101_joy","2","1010120009"
"32","","","0","","","1012","","0","10101","1010120010"
"32","","","0","","","1012","","1","10102","1010120011"
"93","","","","","","1012","","0","1.66","1010120012"
"32","","","0","","","1012","","1","10101","1010120013"
"32","","","0","","","1012","","0","10102","1010120014"
"2","","0.2","-200","","","1012","0","-470","1000001","1010120015"
"2","","0.2","-150","","","1012","0","-320","1000002","1010120016"
"2","","0.2","-200","","","1012","0","-470","1","1010120017"
"2","","0.2","-150","","","1012","0","-320","2","1010120018"
"23","","","0","","","1013","","se_travel_finish_cave_event","se_travel","1010130001"
"3","","travel_exdrama_r_101_walk","0","0","0.2","1013","1","travel_exdrama_r_101_panic_A","1000001","1010130002"
"3","","travel_exdrama_r_101_walk","0","0","0.2","1013","1","travel_exdrama_r_101_panic_B","1000002","1010130003"
"3","","travel_exdrama_r_101_walk","0","0","0.2","1013","1","travel_exdrama_r_101_panic_A","1","1010130004"
"3","","travel_exdrama_r_101_walk","0","0","0.2","1013","1","travel_exdrama_r_101_panic_B","2","1010130005"
"32","","","","","","1013","","1","10002","1010130006"
"32","","","","","","1013","","1","10103","1010130007"
"93","","","","","","1013","","0","3","1010130008"
"32","","","","","","1013","","0","10002","1010130009"
"32","","","","","","1013","","0","10103","1010130010"
"2","","0.1","-200","0","0","1014","0","-500","1000001","1010140001"
"2","","0.1","-150","0","0","1014","0","-350","1000002","1010140002"
"2","","0.1","-200","0","0","1014","0","-500","1","1010140003"
"2","","0.1","-150","0","0","1014","0","-350","2","1010140004"
"3","","","0","0","0","1014","0","travel_exdrama_r_finish_B_hand","1000001","1010140005"
"3","","","0","0","0","1014","0","travel_exdrama_r_finish_B_hand","1000002","1010140006"
"3","","","0","0","0","1014","0","travel_exdrama_r_101_finish","1","1010140007"
"3","","","0","0","0","1014","0","travel_exdrama_r_101_finish","2","1010140008"
"32","","","0","","","1014","","0","10101","1010140009"
"32","","","0","","","1014","","1","10104","1010140010"
"31","","5","-350","","1","1021","1","10200","10200","1010210001"
"31","","5","-350","","0","1021","1","10201","10201","1010210002"
"31","","5","-350","","0","1021","1","10202","10202","1010210003"
"31","","86","-490","","0","1021","1","10203","10203","1010210004"
"31","","105","-200","","0","1021","1","10204","10204","1010210005"
"31","","50","-525","","0","1021","1","10001","10001","1010210006"
"1","travel_exdrama_r_102_book","-490","1","0","1.46","1021","-180","1000001","1","1010210007"
"1","travel_exdrama_r_102_loupe","-200","2","0","1.46","1021","-180","1000002","1","1010210008"
"5","travel_exdrama_r_102_book","-490","11","0","1.46","1021","-180","1","1","1010210009"
"5","travel_exdrama_r_102_loupe","-200","12","0","1.46","1021","-180","2","1","1010210010"
"5","reliclight_none","-339","13","0","2","1021","-136","5","5","1010210011"
"23","","","0","","","1022","","se_travel_finish_ruins_rare","se_travel","1010220001"
"3","","travel_exdrama_r_102_book","0","0.2","0.2","1022","1","travel_exdrama_r_102_bookFind_A","1000001","1010220002"
"3","","travel_exdrama_r_102_loupe","0","0.2","0.2","1022","1","travel_exdrama_r_102_loupeFind_A","1000002","1010220003"
"3","","travel_exdrama_r_102_book","0","0.2","0.2","1022","1","travel_exdrama_r_102_bookFind_A","1","1010220004"
"3","","travel_exdrama_r_102_loupe","0","0.2","0.2","1022","1","travel_exdrama_r_102_loupeFind_A","2","1010220005"
"32","","","","","","1022","","1","10202","1010220006"
"32","","","","","","1022","","1","10203","1010220007"
"32","","","","","","1022","","1","10204","1010220008"
"93","","","","","","1022","","0","1.66","1010220009"
"32","","","","","","1022","","0","10202","1010220010"
"32","","","","","","1022","","0","10203","1010220011"
"32","","","","","","1022","","0","10204","1010220012"
"23","","","0","","","1023","","se_travel_finish_ruins_event","se_travel","1010230001"
"3","","travel_exdrama_r_102_book","0","0","0.2","1023","1","travel_exdrama_r_102_bookFind_B","1000001","1010230002"
"3","","travel_exdrama_r_102_loupe","0","0","0.2","1023","1","travel_exdrama_r_102_loupeFind_B","1000002","1010230003"
"3","","travel_exdrama_r_102_book","0","0","0.2","1023","1","travel_exdrama_r_102_bookFind_B","1","1010230004"
"3","","travel_exdrama_r_102_loupe","0","0","0.2","1023","1","travel_exdrama_r_102_loupeFind_B","2","1010230005"
"3","","","0","","","1023","","reliclight_on","5","1010230006"
"32","","","","","","1023","","1","10201","1010230007"
"32","","","","","","1023","","1","10001","1010230008"
"93","","","","","","1023","","0","3","1010230009"
"32","","","","","","1023","","0","10201","1010230010"
"32","","","","","","1023","","0","10001","1010230011"
"3","","","0","","","1023","","reliclight_none","5","1010230012"
"4","","","0","0","0","1024","0","1","1000002","1010240001"
"4","","","0","0","0","1024","0","1","2","1010240002"
"3","","","0","0","0","1024","0","travel_exdrama_r_finish_A","1000001","1010240003"
"3","","","0","0","0","1024","0","travel_exdrama_r_finish_A_front","1000002","1010240004"
"3","","","0","0","0","1024","0","travel_exdrama_r_102_book_finish","1","1010240005"
