07b50604724e6153628e7fec143019d4b22a489f6091afebf3f19e304998215e,ff8fb8beb45082d5152dd3d7d90305e826b3da5fda98da2a5a3b9719cf5d493e,64b7da137ecef7cff02f67ca3359b3fceea13db334e325d55f19b5646dce8c82,15c18dfd35c1423b8af515d6837f646ee5935f0f8db2a391813415c77b18ae17,f7282e5c99ef620cf2ef65784e9d98e930c28ade7dc99c3cecc5e9da1e7a58a6,e1a28e10df4f5d9f388827a07da34d30423134c771205e712d2bf3ef1e1ad9fd,8059b0bb8dd13c16283c31767fdcdf6a5e2cf7a73e423ee5d05af36c5adc4994,87f25c0ebe3de3d1c81dffebe9f58b555f8211c71dae14e3bc1ffeedaa51af9f,ca3596fb208960aef3f6a075e731518e91243a19cc43c9441a6826beac545e8c
"10","12000","0","90043","30000","1","10000","90001","1"
"20","24000","0","90047","30000","2","10000","90002","2"
"20","24000","0","90047","30000","3","10000","90002","3"
"20","24000","0","90047","30000","4","10000","90002","4"
"20","24000","0","90047","30000","5","10000","90002","5"
"20","24000","0","90047","30000","6","10000","90002","6"
"20","24000","0","90047","30000","7","10000","90002","7"
"20","24000","0","90047","30000","8","10000","90002","8"
"20","24000","0","90047","30000","9","10000","90002","9"
"20","24000","0","90047","30000","10","10000","90002","10"
"40","48000","90011","90051","30000","11","10000","90003","11"
"40","48000","90011","90051","30000","12","10000","90003","12"
"40","48000","90011","90051","30000","13","10000","90003","13"
"40","48000","90011","90051","30000","14","10000","90003","14"
"40","48000","90011","90051","30000","15","10000","90003","15"
"40","48000","90011","90051","30000","16","10000","90003","16"
"40","48000","90011","90051","30000","17","10000","90003","17"
"40","48000","90011","90051","30000","18","10000","90003","18"
"40","48000","90011","90051","30000","19","10000","90003","19"
"40","48000","90011","90051","30000","20","10000","90003","20"
"60","72000","90015","90055","30000","21","10000","90004","21"
"60","72000","90015","90055","30000","22","10000","90004","22"
"60","72000","90015","90055","30000","23","10000","90004","23"
"60","72000","90015","90055","30000","24","10000","90004","24"
"60","72000","90015","90055","30000","25","10000","90004","25"
"60","72000","90015","90055","30000","26","10000","90004","26"
"60","72000","90015","90055","30000","27","10000","90004","27"
"60","72000","90015","90055","30000","28","10000","90004","28"
"60","72000","90015","90055","30000","29","10000","90004","29"
"60","72000","90015","90055","30000","30","10000","90004","30"
"80","96000","90015","90059","30000","31","10000","90005","31"
"80","96000","90015","90059","30000","32","10000","90005","32"
"80","96000","90015","90059","30000","33","10000","90005","33"
"80","96000","90015","90059","30000","34","10000","90005","34"
"80","96000","90015","90059","30000","35","10000","90005","35"
"80","96000","90015","90059","30000","36","10000","90005","36"
"80","96000","90015","90059","30000","37","10000","90005","37"
"80","96000","90015","90059","30000","38","10000","90005","38"
"80","96000","90015","90059","30000","39","10000","90005","39"
"80","96000","90015","90059","30000","40","10000","90005","40"
"120","144000","90017","90063","30000","41","10000","90005","41"
"120","144000","90017","90063","30000","42","10000","90005","42"
"120","144000","90017","90063","30000","43","10000","90005","43"
"120","144000","90017","90063","30000","44","10000","90005","44"
"120","144000","90017","90063","30000","45","10000","90005","45"
"120","144000","90017","90063","30000","46","10000","90005","46"
"120","144000","90017","90063","30000","47","10000","90005","47"
"120","144000","90017","90063","30000","48","10000","90005","48"
"120","144000","90017","90063","30000","49","10000","90005","49"
"120","144000","90017","90063","30000","50","10000","90005","50"
"150","180000","90019","90067","30000","51","10000","90006","51"
"150","180000","90019","90067","30000","52","10000","90006","52"
"150","180000","90019","90067","30000","53","10000","90006","53"
"150","180000","90019","90067","30000","54","10000","90006","54"
"150","180000","90019","90067","30000","55","10000","90006","55"
"150","180000","90019","90067","30000","56","10000","90006","56"
"150","180000","90019","90067","30000","57","10000","90006","57"
"150","180000","90019","90067","30000","58","10000","90006","58"
"150","180000","90019","90067","30000","59","10000","90006","59"
"150","180000","90019","90067","30000","60","10000","90006","60"
"180","216000","90021","90071","30000","61","10000","90007","61"
"180","216000","90021","90071","30000","62","10000","90007","62"
"180","216000","90021","90071","30000","63","10000","90007","63"
"180","216000","90021","90071","30000","64","10000","90007","64"
"180","216000","90021","90071","30000","65","10000","90007","65"
"180","216000","90021","90071","30000","66","10000","90007","66"
"180","216000","90021","90071","30000","67","10000","90007","67"
"180","216000","90021","90071","30000","68","10000","90007","68"
"180","216000","90021","90071","30000","69","10000","90007","69"
"180","216000","90021","90071","30000","70","10000","90007","70"
