236f7d207a0bc59eb07b37476dbe9ab61433f6d9123b1c425f6ff2d7a22aef49,294db284e760588267f294fda17f0699b22b3408ac9b05d61f79856c04c4cf9b,14433c45aa7a9ccbd2efa26e36fec4b1efb9d3b15f65868bd48ec223a0d3dd14,ce3417d4afa4441771dea12697fd903f3ca87d6bc94c3ceeb44820a6490402f0,a7ece90b9223824a33e6c61d12d2f5b6994dd56598b75388dd3de3a74c3557ba,0da21f77f6be894e991adb496b314564805154acb96cd49091ac917cfb87dcf8,9edb646b2f4fc513e5adcaf33bc8d05f2bb22360d7a0537213341d55a99bd903,0e1de620154da2fef88e56c30d9da108e9b5088a48546bbe7ccc65695faf6c0d,620c3c99ff444738e3c590b0f242ede76e719c01868f6aa9c5493478f7b5e766,0638f20a6411de00722426f17c955781a84931021f4be9d14db9e8a469729e92,ae91d1587bfb844fd1b60e0b60d88f6b7f382553931f5fac9530c98e51e95332,1721124bb45fd2e8ec136bc20963438da540af812257e1d229e47a87493dce08,b575531a11a31400832d4ff3d2de11457872135251fb2c4149cc61bdd5d75148,8b6d196dadbb5e77a6ac4a953f241cafa265807524a1b7b4d73d60bfcc3b84e6,0dfab695c6d7ad2ab26b19b9eafb3a5c9b7c365f59a0fd2dbcfc7dbfbb0a6f9c,3237b61d4f7b10008d3e2bf8bfdf6d302bd0d52b4a1f4822fb1d41c46c27948e,a1a7292e0264874a7d31fb7388e6acfba93fde118c40356ad031bb7fcd1273fa,082947c21856f2929b9bb59c037002a753a79a889956494a0e06b43523bda5b6,a7b0da6cc828d228cc3a067b8ac26957ec59d8e9c973bf8c449960fbffdef25d
"240701","25015","25021","0","1000","1000000000","200","1000","2","2","92407","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25014"
"240702","25013","25011","0","1000","2000000000","1000","1000","2","2","92407","2","0","2","25021","0","abyss_reward_icon_astralshard","300","25012"
"240703","25015","25021","0","1000","3000000000","500","1000","2","2","92407","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25014"
"240704","25013","25011","0","1000","4000000000","1000","1000","2","2","92407","2","0","2","25021","0","abyss_reward_icon_astralshard","500","25012"
"240705","25015","25021","0","1000","5000000000","1000","1000","2","2","92407","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25014"
"240706","25013","25011","0","1000","6000000000","1000","1000","2","2","92407","2","0","2","25021","0","abyss_reward_icon_astralshard","1000","25012"
"240707","25015","25021","0","3000","7000000000","1000","3000","2","2","92407","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25014"
"240708","25013","25011","0","3000","8000000000","3000","3000","2","2","92407","2","0","2","25021","0","abyss_reward_icon_astralshard","1000","25012"
"240709","25015","25021","0","3000","9000000000","1000","3000","2","2","92407","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25014"
"240710","25012","25021","0","3000","10000000000","1000","3000","2","2","92407","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25011"
"240711","25015","25021","0","3000","12000000000","1000","3000","2","2","92407","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25013"
"240712","25014","25011","0","3000","16000000000","3000","3000","2","2","92407","2","0","2","25021","0","abyss_reward_icon_astralshard","1000","25012"
"240713","25015","25013","0","3000","20000000000","3000","3000","2","2","92407","2","0","2","25021","0","abyss_reward_icon_astralshard","1000","25014"
"240714","25013","25011","0","3000","25000000000","3000","3000","2","2","92407","2","0","2","25021","0","abyss_reward_icon_astralshard","1000","25012"
"240715","0","0","0","0","30000000000","0","0","0","0","92407","0","0","2","90005","0","abyss_reward_icon_hiseki","10","0"
"240716","0","0","0","0","35000000000","0","0","0","0","92407","0","0","2","90005","0","abyss_reward_icon_hiseki","20","0"
"240717","0","0","0","0","40000000000","0","0","0","0","92407","0","0","2","90005","0","abyss_reward_icon_hiseki","30","0"
"240718","0","0","0","0","50000000000","0","0","0","0","92407","0","0","2","90005","0","abyss_reward_icon_hiseki","50","0"
"240801","25015","25021","0","1000","1000000000","200","1000","2","2","92408","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25014"
"240802","25013","25011","0","1000","2000000000","1000","1000","2","2","92408","2","0","2","25021","0","abyss_reward_icon_astralshard","300","25012"
"240803","25015","25021","0","1000","3000000000","500","1000","2","2","92408","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25014"
"240804","25013","25011","0","1000","4000000000","1000","1000","2","2","92408","2","0","2","25021","0","abyss_reward_icon_astralshard","500","25012"
"240805","25015","25021","0","1000","5000000000","1000","1000","2","2","92408","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25014"
"240806","25013","25011","0","1000","6000000000","1000","1000","2","2","92408","2","0","2","25021","0","abyss_reward_icon_astralshard","1000","25012"
"240807","25015","25021","0","3000","7000000000","1000","3000","2","2","92408","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25014"
"240808","25013","25011","0","3000","8000000000","3000","3000","2","2","92408","2","0","2","25021","0","abyss_reward_icon_astralshard","1000","25012"
"240809","25015","25021","0","3000","9000000000","1000","3000","2","2","92408","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25014"
"240810","25012","25021","0","3000","10000000000","1000","3000","2","2","92408","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25011"
"240811","25015","25021","0","3000","12000000000","1000","3000","2","2","92408","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25013"
"240812","25014","25011","0","3000","16000000000","3000","3000","2","2","92408","2","0","2","25021","0","abyss_reward_icon_astralshard","1000","25012"
"240813","25015","25013","0","3000","20000000000","3000","3000","2","2","92408","2","0","2","25021","0","abyss_reward_icon_astralshard","1000","25014"
"240814","25013","25011","0","3000","25000000000","3000","3000","2","2","92408","2","0","2","25021","0","abyss_reward_icon_astralshard","1000","25012"
"240815","0","0","0","0","30000000000","0","0","0","0","92408","0","0","2","90005","0","abyss_reward_icon_hiseki","10","0"
"240816","0","0","0","0","35000000000","0","0","0","0","92408","0","0","2","90005","0","abyss_reward_icon_hiseki","20","0"
"240817","0","0","0","0","40000000000","0","0","0","0","92408","0","0","2","90005","0","abyss_reward_icon_hiseki","30","0"
"240818","0","0","0","0","50000000000","0","0","0","0","92408","0","0","2","90005","0","abyss_reward_icon_hiseki","50","0"
"240901","25015","25021","0","1000","1000000000","200","1000","2","2","92409","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25014"
"240902","25013","25011","0","1000","2000000000","1000","1000","2","2","92409","2","0","2","25021","0","abyss_reward_icon_astralshard","300","25012"
"240903","25015","25021","0","1000","3000000000","500","1000","2","2","92409","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25014"
"240904","25013","25011","0","1000","4000000000","1000","1000","2","2","92409","2","0","2","25021","0","abyss_reward_icon_astralshard","500","25012"
"240905","25015","25021","0","1000","5000000000","1000","1000","2","2","92409","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25014"
"240906","25013","25011","0","1000","6000000000","1000","1000","2","2","92409","2","0","2","25021","0","abyss_reward_icon_astralshard","1000","25012"
"240907","25015","25021","0","3000","7000000000","1000","3000","2","2","92409","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25014"
"240908","25013","25011","0","3000","8000000000","3000","3000","2","2","92409","2","0","2","25021","0","abyss_reward_icon_astralshard","1000","25012"
"240909","25015","25021","0","3000","9000000000","1000","3000","2","2","92409","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25014"
"240910","25012","25021","0","3000","10000000000","1000","3000","2","2","92409","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25011"
"240911","25015","25021","0","3000","12000000000","1000","3000","2","2","92409","2","0","2","25102","0","abyss_reward_icon_masterpieces_piece","10","25013"
"240912","25014","25011","0","3000","16000000000","3000","3000","2","2","92409","2","0","2","25021","0","abyss_reward_icon_astralshard","1000","25012"
