907fad2ee87327e1f7b3b6946cfde839d3b33398f7c3ec9c9ca2a02d73315a57,b4a7de63af766431bce4a2d3ae8e684fe20c00d799a6a9cefc9840cb10f8479e,866f3ab18c31960fac3098bd4bcbc53ea6ddb955931f95cf9f7771dde83c298e,3f28a1e7294ea408ec5d382e579969636499f96a11996a2295b3f7e6bf68e572,095d817c4734483a05a4558c406da000333d669e3c9d86cbc7aa60f9c2da8d29,0e1994da694e78c30f092af857ca7ff4b8002329dc442c920fb4d740b62bda19,8d103d909c525e402eb185d54d99bfb2a0354f961d878280c00565d13210e988,44ef8a92a4caa5f424170ab93a465eb75d9e114db712bc2c2d860942a11b510a,283340f9a4f7cea23fa8f0e7f9b762b375a6fc2ff15fff69cde1e53794884507,6e77b7b0065464bc73f1df3db3abaad602de53da4818bd9d53719de72444c085,15dc1b739e7a6b5a36000f0f2bb36e5b10b0272b77050b6b41bde064fa6377bb,a058c07aa678a4e6c67062f2bfd667265af3476bfe45a7303dfc3b8a56f61f88
"100700101","1007001","0","4","0","1","0","0","1","0","0","0.8"
"100700102","1007001","0","2","0","2","vo_svd","0","0","vo_svd_0101","0","0"
"100700103","1007001","300","1","1","3","0","1.684","0","0","0","0"
"100700104","1007001","0","4","0","4","0","0","1","0","0","1.949"
"100700105","1007001","327","1","2","5","0","1.363","0","0","15","0"
"100700106","1007001","0","4","0","6","0","0","1","0","0","3.027"
"100700107","1007001","0","2","0","7","vo_svd","0","0","vo_svd_0102","0","0"
"100700108","1007001","441","1","3","8","0","1.69","0","0","0","0"
"100700109","1007001","0","4","0","9","0","0","1","0","0","1.7"
"100700110","1007001","221","1","4","10","0","1.446","0","0","0","0"
"100700111","1007001","0","4","0","11","0","0","1","0","0","1.722"
"100700112","1007001","478","1","4","12","0","1.245","0","0","221","0"
"100700113","1007001","0","4","0","13","0","0","1","0","0","0.417"
"100700114","1007001","208","1","5","14","0","0.864","0","0","0","0"
"100700115","1007001","0","4","0","15","0","0","1","0","0","2.482"
"100700116","1007001","0","2","0","16","vo_svd","0","0","vo_svd_0103","0","0"
"100700117","1007001","420","1","6","17","0","2.352","0","0","0","0"
"100700118","1007001","0","4","0","18","0","0","1","0","0","1.694"
"100700119","1007001","268","1","7","19","0","0.953","0","0","0","0"
"100700120","1007001","0","4","0","20","0","0","1","0","0","2.5"
