dc3d1a724f787909f6db1ca6fcee27be0aaf0e59b71223bf98a76c5371ec3042,f6e6488b5ec9fa8b04191ec5aeedbf125e46a541a5d75c37e49fd69211ebbfe6,eca950955280ed7b3584030f7abecae392505d54d3daf81b5efb7398d13d3026,727a03da9e4a000c5489348a97ba16ab5a68890b5599027f10413fa1bc73bd7c,8810a8427c5c724da24b4177f05682b2609e069fa9b3489c650bb8e041f4f310
"2020/03/02 4:59:59","27001","2020/02/15 15:00:00","28","27001"
"2021/03/05 11:59:59","27002","2021/02/15 23:00:00","33","27001"
"2021/09/05 11:59:59","27003","2021/08/15 15:00:00","42","27001"
"2022/01/21 11:59:59","27004","2021/12/31 12:00:00","43","27001"
"2022/03/05 14:59:59","27005","2022/02/15 15:00:00","44","27005"
"2022/09/05 11:59:59","27006","2022/08/15 15:00:00","55","27001"
"2023/01/21 11:59:59","27007","2022/12/31 12:00:00","81","27001"
"2023/03/05 14:59:59","27008","2023/02/15 15:00:00","82","27005"
"2023/05/25 14:59:59","27009","2023/04/30 12:00:00","85","27009"
"2023/09/04 14:59:59","27010","2023/08/15 15:00:00","113","27001"
"2024/01/21 11:59:59","27012","2023/12/31 12:00:00","115","27012"
"2024/03/05 14:59:59","27013","2024/02/15 00:00:00","118","27005"
"2024/05/30 23:59:59","27014","2024/04/30 12:00:00","119","27012"
