4ce2be5183a510ddc5fe0cf87c4d472fd7f3c98eb813374a499cd2b395092577,fe709392bc4d8532db8f8e1755bbbf808c0aa9a0b25e82fa38e8bff647c0934d,f665e4d20096a133ad46e9c86b81d9d0ebbd3a53a01ad9fcd954af4b9187621d,926695ace53869fa1bae335b8a684ee57e64111bff4a8365438d4f87cfc83f57,5cdf5a5e667af5868d90b96ee5b2ff1aa6d711978011aca649d307a6bece298f,7ac5a0ed35f1fa952605a7560a445508a76aa0329b455ec4bce9b44aa42df350,a587d8a8a0f9748fe4120d375571b75453281ccce9e9c13ac9d68ff2db24e377,3dffd5848ffe5db188f44ff554987c23c0703ef79c55f15d8950ece485a17a44,861a4c92d40a0a0eacf6a7950f4a4f8b896a4d4b366abf4d5d2c975f0322abd6,ef7d327d7db5ad843bfb9f776224fe4f61e451b836e0c05d6a42a966e316b8f3
"1003","1002","32","10590","1","575","1001","1","1","1100001"
"1006","1005","32","10590","1","575","1004","1","1","1100002"
"1009","1008","32","10590","2","575","1007","1","1","1100003"
"1012","1011","33","11820","1","500","1010","1","1","1100004"
"1015","1014","33","11820","1","500","1013","1","1","1100005"
"1018","1017","33","11820","2","500","1016","1","1","1100006"
"1021","1020","33","11820","4","500","1019","1","1","1100007"
"1024","1023","35","13050","1","375","1022","1","1","1100008"
"1027","1026","35","13050","1","375","1025","1","1","1100009"
"1030","1029","35","13050","6","375","1028","1","1","1100010"
"2003","2002","34","10590","1","575","2001","1","2","1200001"
"2006","2005","34","10590","1","575","2004","1","2","1200002"
"2009","2008","34","10590","1","575","2007","1","2","1200003"
"2012","2011","34","10590","1","575","2010","1","2","1200004"
"2015","2014","34","10590","2","575","2013","1","2","1200005"
"2018","2017","34","10590","4","575","2016","1","2","1200006"
"2021","2020","34","10590","6","575","2019","1","2","1200007"
"2024","2023","35","11820","1","500","2022","1","2","1200008"
"2027","2026","35","11820","1","500","2025","1","2","1200009"
"2030","2029","35","11820","1","500","2028","1","2","1200010"
"2033","2032","35","11820","1","500","2031","1","2","1200011"
"2036","2035","35","11820","4","500","2034","1","2","1200012"
"2039","2038","35","11820","6","500","2037","1","2","1200013"
"2042","2041","38","13050","1","375","2040","1","2","1200014"
"2045","2044","38","13050","1","375","2043","1","2","1200015"
"2048","2047","38","13050","1","375","2046","1","2","1200016"
"2051","2050","38","13050","1","375","2049","1","2","1200017"
"2054","2053","38","13050","2","375","2052","1","2","1200018"
"2057","2056","38","13050","4","375","2055","1","2","1200019"
"2060","2059","38","13050","6","375","2058","1","2","1200020"
"3003","3002","37","10590","1","575","3001","1","3","1300001"
"3006","3005","37","10590","1","575","3004","1","3","1300002"
"3009","3008","37","10590","1","575","3007","1","3","1300003"
"3012","3011","37","10590","1","575","3010","1","3","1300004"
"3015","3014","37","10590","1","575","3013","1","3","1300005"
"3018","3017","37","10590","1","575","3016","1","3","1300006"
"3021","3020","37","10590","2","575","3019","1","3","1300007"
"3024","3023","37","10590","2","575","3022","1","3","1300008"
"3027","3026","37","10590","4","575","3025","1","3","1300009"
"3030","3029","37","10590","6","575","3028","1","3","1300010"
"3033","3032","38","11820","1","500","3031","1","3","1300011"
"3036","3035","38","11820","1","500","3034","1","3","1300012"
"3039","3038","38","11820","1","500","3037","1","3","1300013"
"3042","3041","38","11820","1","500","3040","1","3","1300014"
"3045","3044","38","11820","1","500","3043","1","3","1300015"
"3048","3047","38","11820","1","500","3046","1","3","1300016"
"3051","3050","38","11820","2","500","3049","1","3","1300017"
"3054","3053","38","11820","4","500","3052","1","3","1300018"
"3057","3056","38","11820","4","500","3055","1","3","1300019"
"3060","3059","38","11820","6","500","3058","1","3","1300020"
"3063","3062","40","13050","1","375","3061","1","3","1300021"
"3066","3065","40","13050","1","375","3064","1","3","1300022"
"3069","3068","40","13050","1","375","3067","1","3","1300023"
"3072","3071","40","13050","1","375","3070","1","3","1300024"
"3075","3074","40","13050","1","375","3073","1","3","1300025"
"3078","3077","40","13050","1","375","3076","1","3","1300026"
"3081","3080","40","13050","2","375","3079","1","3","1300027"
"3084","3083","40","13050","4","375","3082","1","3","1300028"
"3087","3086","40","13050","6","375","3085","1","3","1300029"
"3090","3089","40","13050","6","375","3088","1","3","1300030"
"4003","4002","29","9360","3","700","4001","2","1","2100001"
"4006","4005","29","9360","5","700","4004","2","1","2100002"
"4009","4008","29","9360","7","700","4007","2","1","2100003"
"4012","4011","29","9360","3","700","4010","2","1","2100004"
"4015","4014","29","9360","5","700","4013","2","1","2100005"
"4018","4017","29","9360","7","700","4016","2","1","2100006"
