bf4378f8e5855d2cbed7a3fe9d1f6911481c87c61193f4282b5352596798d131,9f3bd248b19ca6989d7d85a0a4f69d1378a63d93e36ebcb48316c7fad0c77f80,5e667ab54f5c7d6ef0c9fc1b4abed422232ab8d7e1761fcd502fb77d480c50f7,1f754db0675adab6e34203ab6e3947ca4eadef92dcac70ef872c125a03a41906,86523c260130d2308bc537b7bb10e6b53b508a1d3a8ec5c0443a5a6088bb84dd,233da15610a1008a95d38d3167d8f325da949c3d6b55677f03cfbe4c732572a7,fed920630efb73664aeeeefb295d6a4c80dc795f854be9bf44e8459a3d22c320,68023c6c90cc33c610832d1c7071ac6376ca7dfdf4a763a53629f2f5c5eb72e2,4577cf63fafe1aba9efbfcd92bac61ce74168294b8d7d5dd209c9f34af79436f
"100111","50","20000","0","0","30000","0","0","5000"
"100112","50","20000","0","0","30000","0","0","5000"
"100113","50","20000","0","0","30000","0","0","5000"
"100121","125","30000","0","0","45000","0","0","12500"
"100122","125","30000","0","0","45000","0","0","12500"
"100123","125","30000","0","0","45000","0","0","12500"
"100131","200","40000","0","0","60000","0","0","20000"
"100132","200","40000","0","0","60000","0","0","20000"
"100133","200","40000","0","0","60000","0","0","20000"
"100211","50","20000","0","0","30000","0","0","5000"
"100212","50","20000","0","0","30000","0","0","5000"
"100213","50","20000","0","0","30000","0","0","5000"
"100221","125","30000","0","0","45000","0","0","12500"
"100222","125","30000","0","0","45000","0","0","12500"
"100223","125","30000","0","0","45000","0","0","12500"
"100231","200","40000","0","0","60000","0","0","20000"
"100232","200","40000","0","0","60000","0","0","20000"
"100233","200","40000","0","0","60000","0","0","20000"
"100311","50","20000","0","0","30000","0","0","5000"
"100312","50","20000","0","0","30000","0","0","5000"
"100313","50","20000","0","0","30000","0","0","5000"
"100321","125","30000","0","0","45000","0","0","12500"
"100322","125","30000","0","0","45000","0","0","12500"
"100323","125","30000","0","0","45000","0","0","12500"
"100331","200","40000","0","0","60000","0","0","20000"
"100332","200","40000","0","0","60000","0","0","20000"
"100333","200","40000","0","0","60000","0","0","20000"
"100411","50","20000","0","0","30000","0","0","5000"
"100412","50","20000","0","0","30000","0","0","5000"
"100413","50","20000","0","0","30000","0","0","5000"
"100421","125","30000","0","0","45000","0","0","12500"
"100422","125","30000","0","0","45000","0","0","12500"
"100423","125","30000","0","0","45000","0","0","12500"
"100431","200","40000","0","0","60000","0","0","20000"
"100432","200","40000","0","0","60000","0","0","20000"
"100433","200","40000","0","0","60000","0","0","20000"
"100511","50","20000","0","0","30000","0","0","5000"
"100512","50","20000","0","0","30000","0","0","5000"
"100513","50","20000","0","0","30000","0","0","5000"
"100521","125","30000","0","0","45000","0","0","12500"
"100522","125","30000","0","0","45000","0","0","12500"
"100523","125","30000","0","0","45000","0","0","12500"
"100531","200","40000","0","0","60000","0","0","20000"
"100532","200","40000","0","0","60000","0","0","20000"
"100533","200","40000","0","0","60000","0","0","20000"
"100611","50","20000","0","0","30000","0","0","5000"
"100612","50","20000","0","0","30000","0","0","5000"
"100613","50","20000","0","0","30000","0","0","5000"
"100621","125","30000","0","0","45000","0","0","12500"
"100622","125","30000","0","0","45000","0","0","12500"
"100623","125","30000","0","0","45000","0","0","12500"
"100631","200","40000","0","0","60000","0","0","20000"
"100632","200","40000","0","0","60000","0","0","20000"
"100633","200","40000","0","0","60000","0","0","20000"
"100711","50","20000","0","0","30000","0","0","5000"
"100712","50","20000","0","0","30000","0","0","5000"
"100713","50","20000","0","0","30000","0","0","5000"
"100721","125","30000","0","0","45000","0","0","12500"
"100722","125","30000","0","0","45000","0","0","12500"
"100723","125","30000","0","0","45000","0","0","12500"
"100731","200","40000","0","0","60000","0","0","20000"
"100732","200","40000","0","0","60000","0","0","20000"
"100733","200","40000","0","0","60000","0","0","20000"
"100811","50","20000","0","0","30000","0","0","5000"
"100812","50","20000","0","0","30000","0","0","5000"
"100813","50","20000","0","0","30000","0","0","5000"
"100821","125","30000","0","0","45000","0","0","12500"
"100822","125","30000","0","0","45000","0","0","12500"
"100823","125","30000","0","0","45000","0","0","12500"
"100831","200","40000","0","0","60000","0","0","20000"
"100832","200","40000","0","0","60000","0","0","20000"
"100833","200","40000","0","0","60000","0","0","20000"
"100911","50","20000","0","0","30000","0","0","5000"
"100912","50","20000","0","0","30000","0","0","5000"
"100913","50","20000","0","0","30000","0","0","5000"
"100921","125","30000","0","0","45000","0","0","12500"
"100922","125","30000","0","0","45000","0","0","12500"
"100923","125","30000","0","0","45000","0","0","12500"
"100931","200","40000","0","0","60000","0","0","20000"
"100932","200","40000","0","0","60000","0","0","20000"
"100933","200","40000","0","0","60000","0","0","20000"
