6375f446d08fa035c7a440b0970f151b6a5bddfbba8e39126eca4d59ac8c00a6,8bf343c98ee1380b01aa0ed4ed44a40a7a9482a79a0751d87cce70cb776b7d69,f4ab29c24c9526bf209ddb4a673299aae3b9e8201824bf2885e18524a3c1d5ae,3d76fe1fe3d22112c81d7db11f31c88396bea561d576b9f86b7bc2a9882373ff,6495a3bd3928fed7476b76004fcf2752c141562c55a90012d020e4610dae5def,c32035adee8158eff45c9d16169ea67f71264e73b1e48df433588aa595d29926,6667205167e7a8f4ea2fae92186c32a527d65f54060198defd8e7306a629233e,7fe83f160a2b07c6cf3e310c11829bd1093d204b456b21bb3afa46bc8754a3f1,a3d0c7083c86a6bd2230fc6289f2aa8ce0c9e055f98845a1110f9ac09718dd87,9479add050f862faee59b4a2065d74f3de113da9ef2a58cd7298d649eea047cc,5689319b14912fa05619aba09e098b43ebc0f8374be27b11d19c689ae59bc8b3,f934ba2474a634551c5f5ad5230669d781c7eeaaccf03f65b1ac509f81cfa365
"1","0","0","0","0","0","0","0","0","0","0","0"
"11002","1","2","3","0","0","0","1","800","0","0","0"
"12001","1","1","1","0","0","0","1","500","0","0","0"
"12002","1","1","1","0","0","0","1","700","0","0","0"
"13001","1","2","1","0","0","0","1","600","0","0","0"
"13002","1","2","1","0","0","0","1","700","0","0","0"
"14002","1","2","1","0","0","0","1","600","0","0","0"
"21001","1","2","3","0","0","0","2","900","0","0","0"
"22001","2","0","0","0","0","0","8000","0","0","0","0"
"23001","3","1","99","0","0","0","5","1","0","1","0"
"23002","3","1","99","0","0","0","7","1","0","1","0"
"25001","5","4","0","0","0","0","0","3","0","1","0"
"25002","5","1","0","0","0","0","0","0","1","0","0"
"25003","5","4","0","0","0","0","1","3","0","1","0"
"25004","5","1","0","0","0","0","1","0","1","0","0"
"26001","6","0","0","0","0","0","76","37","40","0","0"
"27001","7","0","0","0","0","0","2","1","1","0","0"
"27002","7","0","0","0","0","0","3","1","1","0","0"
"28001","8","0","0","0","0","0","0","0","0","0","0"
