95186f666ac590a7683648a93e90847f2f3c387b589c2747f906f1b88438fb8e,7d63c6123688091b6b43b68c35dd400f09fe584cc78f4b6d93c5d8d53b15119a,ac3a87cf2a062fa513c982e275c3ad261daa3240a3e875804c72e399b977a7a6,4b63121e513294d660bf0c949af181f4a09f6e177efff2e1efebc88f61a349ba,de064882a15f98193bbce5632c54e02eb16ce77cbf64e47e22f6b43548fb3cab,86298da113700ea474c08825bcac2058177a7106a912b8f4063a0759b27f11e2,2b9313fa3d2c6b13f3f4549be8e14156356bc9c5853b18171d7d38760eaf4fc4,1e4b5d3baad9b0109098bceac37e573c39c09910d3911c162a38f7f112e9640d
"11001","bgm_M61","bgm_M61","1.ジュノー平野","2030/12/17 14:59:59","1.ジュノー平野","2015/12/17 15:00:00","101"
"11002","bgm_M61","bgm_M61_02","2.パラス高原","2030/12/17 14:59:59","2.パラス高原","2015/12/17 15:00:00","101"
"11003","bgm_M61","bgm_M61_03","3.ヘーベ丘陵","2030/12/17 14:59:59","3.ヘーベ丘陵","2015/12/17 15:00:00","101"
"11004","bgm_M61","bgm_M61_04","4.ベスタ渓谷","2030/12/17 14:59:59","4.ベスタ渓谷","2015/12/17 15:00:00","101"
"11005","bgm_M62","bgm_M62_01","5.ケレス森林","2030/12/17 14:59:59","5.ケレス森林","2015/12/17 15:00:00","101"
"11006","bgm_M62","bgm_M62_02","6.フローラ湖畔","2030/12/17 14:59:59","6.フローラ湖畔","2015/12/17 15:00:00","101"
"11007","bgm_M62","bgm_M62_03","7.メティス大瀑布","2030/12/17 14:59:59","7.メティス大瀑布","2015/12/17 15:00:00","101"
"11008","bgm_M42","bgm_M42_02","8.イリス樹海","2030/12/17 14:59:59","8.イリス樹海","2015/12/17 15:00:00","101"
"11009","bgm_M58","bgm_M58","9.フリガ雪原","2030/12/17 14:59:59","9.フリガ雪原","2015/12/17 15:00:00","101"
"11010","bgm_M101","bgm_M101","10.ロレッタ海岸","2030/12/17 14:59:59","10.ロレッタ海岸","2015/12/17 15:00:00","101"
"11011","bgm_M93","bgm_M93","11.ゲヌア砂漠","2030/12/17 14:59:59","11.ゲヌア砂漠","2015/12/17 15:00:00","101"
"11012","bgm_M94","bgm_M94","12.ボノニア砂丘","2030/12/17 14:59:59","12.ボノニア砂丘","2015/12/17 15:00:00","101"
"11013","bgm_M118","bgm_M118","13.ドロテア湿地","2030/12/17 14:59:59","13.ドロテア湿地","2015/12/17 15:00:00","101"
"11014","bgm_M95","bgm_M95","14.ウジェニア熱地","2030/12/17 14:59:59","14.ウジェニア熱地","2015/12/17 15:00:00","101"
"11015","bgm_M96","bgm_M96","15.タリア火山","2030/12/17 14:59:59","15.タリア火山","2015/12/17 15:00:00","101"
"11016","bgm_M140","bgm_M140","16.テミス銀嶺","2030/12/17 14:59:59","16.テミス銀嶺","2015/12/17 15:00:00","101"
"11017","bgm_M141","bgm_M141","17.フィデス氷原","2030/12/17 14:59:59","17.フィデス氷原","2015/12/17 15:00:00","101"
"11018","bgm_M179","bgm_M179","18.ファエトン原野・北部","2030/12/17 14:59:59","18.ファエトン\n　　　　　原野・北部","2015/12/17 15:00:00","102"
"11019","bgm_M179","bgm_M179","19.ファエトン原野・南部","2030/12/17 14:59:59","19.ファエトン\n　　　　　原野・南部","2015/12/17 15:00:00","102"
"11020","bgm_M180","bgm_M180","20.カスタリア樹林・西部","2030/12/17 14:59:59","20.カスタリア\n　　　　　樹林・西部","2015/12/17 15:00:00","102"
"11021","bgm_M180","bgm_M180","21.カスタリア樹林・東部","2030/12/17 14:59:59","21.カスタリア\n　　　　　樹林・東部","2015/12/17 15:00:00","102"
"11022","bgm_M232","bgm_M232","22.マティルド岩峯・南部","2030/12/17 14:59:59","22.マティルド\n　　　　　岩峯・南部","2015/12/17 15:00:00","102"
"11023","bgm_M232","bgm_M232","23.マティルド岩峯・北部","2030/12/17 14:59:59","23.マティルド\n　　　　　岩峯・北部","2015/12/17 15:00:00","102"
"11024","bgm_M233","bgm_M233","24.レディウス群峰・西麓","2030/12/17 14:59:59","24.レディウス\n　　　　　群峰・西麓","2015/12/17 15:00:00","102"
"11025","bgm_M233","bgm_M233","25.レディウス群峰・東麓","2030/12/17 14:59:59","25.レディウス\n　　　　　群峰・東麓","2015/12/17 15:00:00","102"
"11026","bgm_M260","bgm_M260","26.ペテロ大森林・西部","2030/12/17 14:59:59","26.ペテロ大森林・西部","2015/12/17 15:00:00","102"
"11027","bgm_M260","bgm_M260","27.ペテロ大森林・東部","2030/12/17 14:59:59","27.ペテロ大森林・東部","2015/12/17 15:00:00","102"
"11028","bgm_M278","bgm_M278_E28","28.ディズタル河食岸・北部","2030/12/17 14:59:59","28.ディズタル\n　　　　　河食岸・北部","2015/12/17 15:00:00","102"
"11029","bgm_M278","bgm_M278_E29","29.ディズタル河食岸・南部","2030/12/17 14:59:59","29.ディズタル\n　　　　　河食岸・南部","2015/12/17 15:00:00","102"
"11030","bgm_M293","bgm_M293","30.フテラ断崖・北部","2030/12/17 14:59:59","30.フテラ断崖・北部","2015/12/17 15:00:00","102"
"11031","bgm_M293","bgm_M293","31.フテラ断崖・南部","2030/12/17 14:59:59","31.フテラ断崖・南部","2015/12/17 15:00:00","102"
