ec3b253880f136dbd557a0a118e507c90158cfebc4c5b0db3eaff5064053b05b,5fa30b53638ac712c39accbfb7ef6ce45ee511270244318888e4f3641da4cb65,03f98c7fda4b195c5ddcd73479c1f346f253245b043849876c743a3cf367c3b5,2d5b258201cfd1e248ac1549575838e2522cbc738a2fc256329c29b0a9f19e56,7cc785921af82ebce3b392c41aa61e2badf25cb126100a059c47a1468b042432,ccb8242ef698887cda2f1877f30fe66057fe53ce78dae717b5f748aded8e9128,64245b2eb445ad9ca1f6f5e7cafecff11cea48c73f5a87ea67a07095281de3e1,979612b6b85593b47bfaf9cadc3ebc3bdd0c2aff50af36d43a8e67ff6032ae5c,c25305f875c458f4a27f9d834b439d83076ffc3626abe266f97a532ebffffb2e,4ed8e175c92d6983235d2cf6d8e32e9165eeb3b255cd5bdeec9ad0dc83fdd565,460dbdf3bb914896272c866ca1b6d1e7f3e9c4d56aee8d4b253383c5a8bc850f
"1","1","40","1001","100","-194","sjr_talk_idle","1.65","1","1","122611"
"122611","3","","1002","1","","","0.2","","1","sjr_talk_wish_look"
"vo_minigame_1010","21","0","1003","0","","","","","1","vo_minigame_1010_top_talk_1_001"
"122611","11","1","1004","10","0","1","0","0","1","騎士クン…見ててね\nわたし、頑張って\n走るから…！"
"0","91","","1005","","","","","","1",""
"122611","3","","1006","1","","","0.2","","1","sjr_talk_idle"
"1","1","40","2001","100","-194","sjr_talk_idle","1.65","1","2","122611"
"122611","3","","2002","1","","","0.2","","2","sjr_talk_mouth_hidden_shy"
"vo_minigame_1010","21","0","2003","0","","","","","2","vo_minigame_1010_top_talk_1_002"
"122611","11","1","2004","7","0","1","0","0","2","水着のまま走るの…？\nうぅ…恥ずかしい…\nもし、外れたりしたら\nどうしよう…"
"0","91","","2005","","","","","","2",""
"122611","3","","2006","1","","","0.2","","2","sjr_talk_idle"
"1","1","40","3001","100","-194","sjr_talk_idle","1.65","1","3","122611"
"122611","3","sjr_talk_stepback_worry","3002","0","1","","0.2","0","3","sjr_talk_stepback_surprise_worry"
"vo_minigame_1010","21","0","3003","0","","","","","3","vo_minigame_1010_top_talk_1_003"
"122611","11","1","3004","8","0","1","0","0","3","あ、あの人すごく\n速そう…！\nわたし、勝てるかな…"
"0","91","","3005","","","","","","3",""
"122611","3","","3006","1","","","0.2","","3","sjr_talk_idle"
"1","1","40","4001","100","-194","sjr_talk_idle","1.65","1","4","122611"
"122611","3","","4002","1","","","0.2","","4","sjr_talk_thinking_surprise"
"vo_minigame_1010","21","0","4003","0","","","","","4","vo_minigame_1010_top_talk_1_004"
"122611","11","1","4004","6","0","1","0","0","4","変わったコースが\nいっぱいあるね\nどれに出ようかな…"
"0","91","","4005","","","","","","4",""
"122611","3","","4006","1","","","0.2","","4","sjr_talk_idle"
"1","1","40","5001","100","-194","sjr_talk_idle","1.65","1","5","122611"
"122611","3","sjr_talk_guts2_anger_loop","5002","0","1","","0.2","0","5","sjr_talk_guts2_anger"
"vo_minigame_1010","21","0","5003","0","","","","","5","vo_minigame_1010_top_talk_1_005"
"122611","11","1","5004","7","0","1","0","0","5","レイちゃんと\nヒヨリちゃん…\n二人に負けないよう\nわたしも全力で…！"
"0","91","","5005","","","","","","5",""
"122611","3","","5006","1","","","0.2","","5","sjr_talk_idle"
"1","1","40","6001","100","-194","sjr_talk_idle","1.65","1","6","122511"
"122511","3","sjr_talk_arm_crossed_look_loop","6002","0","1","","0.2","0","6","sjr_talk_arm_crossed_joy_look"
"vo_minigame_1010","21","0","6003","0","","","","","6","vo_minigame_1010_top_talk_1_006"
